0;Кэп? Капитан? *Сара стучит пальцем по объективу камеры. Камера трясется.*;engineer_dialog;;
;Фронтц, прекрати. Хрупкое оборудование, сломаешь.;1;;
1;Да какое оно хрупкое? *смеется* Им корову убить можно… Я серьезно, можно.;engineer_dialog;;
;Верю. Что-то еще?;2;;
2;Есть. *кивает* Я вам сейчас покажу. *Сара щелкает какой-то кнопкой, и сразу же тихий ранее эфир наполняется забористой боркской руганью. Фронтц заливисто хохочет, впрочем, отключив микрофон. Она возвращает линию в нормальное состояние через несколько секунд.*;engineer_dialog;;
;И что это такое?;3;;
3;А это то, чем у нас почти все линии связи забиты. Какие-то борки переговоры ведут. Шифровать они их, конечно же, нужным не считают. С любого конца системы услышать можно.;engineer_dialog;;
;Выведи-ка их ко мне снова. Интересно, что они там обсуждают.;6;;
;Это очень полезная информация, Сара. О-о-очень полезная. Я прямо сейчас напишу рапорт о представлении тебя к ордену… ммм… ордену Галактики.;4;;
;Спасибо за информацию, Сара, но мне это неинтересно. Конец связи.;-1;;1
4;А разве такой есть?;engineer_dialog;;
;Специально для тебя — будет.;5;;
5;Не загадывая вдаль, так скажу: зачем мне орден? *улыбается* Я согласна на медаль. ;engineer_dialog;;
;Вот за что тебя стоит любить Фронтц, так это за скромность. Ладно. Конец связи.;-1;;1
6;Конечно, кэп. Только вы в микрофон не того, ни-ни! Вы их слышите, а они тоже смогут слышать вас.;engineer_dialog;;
;Понятно. Давай, приступай.;7;;
7;*Снова щелчок, Сара быстро тарабанит пальцами по клавиатуре, что-то настраивая. Как итог, теперь борков слышно гораздо лучше. Уже можно понять, что это два разных голоса, пусть и очень похожих.* Мой! Он мой! Я заслужил его больше!! НЕТ Я! МОЯ! МОЙ!;engineer_dialog;;
;*слушать дальше*;8;;
8;*Трудно сказать, что значит следующая фраза. Переводчик не справляется, и вместо понятной речи слышно природное грохотанье боркского наречия. Видимо это были особо изощренные ругательства. С последующим переводом проблем нет.* Ты напрашиваешься! Разнесу в клочья! *второй голос отвечает сразу же* Я СТАРШИЙ! И Я ВСЕГДА ТЕБЯ БИЛ!;;;
;*слушать дальше*;9;;
9;*первый голос сразу же отзывается* А я этого не забыл! У меня корабль лучше! ЛУЧШИЙ КОРАБЛЬ ВСЕ РАВНО БЫЛ У ПАПЫ! Да! Потому я и хочу его себе!  Я ВСПОМНИЛ! ОН ОСТАВИЛ ЗАПИСКА! ТАМ СКАЗАНО, ЧТО КОРАБЛЬ МОЙ! Он не умел писать! Аррррр! АРРРРРРРРРРРРР! Арррррррррр! АРРРРРРРРРРРРРРР! *Определенно, такие боркские крики не к добру. Если не вмешаться, то начнется бой.*;;;
;*молчать*;10;;
;Прием? Меня слышно?;13;;
10;*Линия отключается. Судя по всему, братья атакуют друг друга.*;;;
;Инопланетяне тоже не лишены проблем с наследованием.;11;;
11;Вы что-то сказали, кэп?;engineer_dialog;;
;Да так. Мысли вслух. И, Сара, пожалуйста, прекращай сидеть на моей личной линии.;12;;
12;*улыбнувшись, Сара отключается*;engineer_dialog;;
;*Вздохнуть. Налить в стакан немного вина. Посетовать на тяжелую командирскую долю и заняться другими делами.*;-1;;1
13;ЫА?! ЧТО? Заткнись. Эй. Ты кто? Как ты… ааа. Ты, идиот, опять отключил шифрование канала связи? ЧТО ТАКОЕ ШИФРОВАНИЕ?! Заткнись. Так. Кто ты, и что забыл на нашем канале?;;;
;Кто я? Я… хм… Я — Бог. Вот.;14;;
;Просто мимо пролетал.;37;;
;Я ваш отец. Кто же еще?;63;;
;Да никто я. Улетаю уже. Продолжайте ссориться.;-1;;1
14;Ы. ЧТО ТАКОЕ БОГ?! Ээ-э… да. Что такое бог?;;;
;А вы не знаете? Бог — могущественное, сверхъестественное высшее существо. Вот, это я и есть.;15;;
15;МОГУ…СВЕРХ…СЕВРХ… ТЬФУ! *второй голос молчит*;;;
;Короче, это означает, что я сильнее вас обоих вместе взятых.;16;;
16;ЧТО?! НИКТО НЕ СИЛЬНЕЕ МЕНЯ! Я СИЛЬНЕЕ ВСЕХ СИЛЬНЫХ И ДАЖЕ САМЫХ СИЛЬНЫХ! НАЗОВИ СВОЕ ИМЯ?!! КТО ТЫ ТАКОЙ?! ЧЕМ ТЫ СИЛЕН?!!;;;
;Будда. Типа, я вечен, и вообще. А еще у меня проблемы с лишним весом.;17;;
;Аллах. Да, я сильнее вас. И хорошо взрываю. Когда-то я был силен в науках, но сейчас… я хорошо взрываю.;18;;
;Иисус (католический). Ну… По крайней мере, я хорошо переношу удары по щекам. И люблю детей.;19;;
;Иисус (православный). Ну… По крайней мере, я хорошо переношу удары по щекам. И люблю деньги.;20;;
;Иисус (протестантский). Ну… По крайней мере, я хорошо переношу удары по щекам. И люблю умерщвлять плоть... к сожалению, свою. Но вас это не спасет.;21;;
;Иисус (мормонский). По крайней мере, я хорошо переношу удары по щекам. И еще люблю дураков. О-о-о, вы представить себе не можете, как же я люблю дураков!;22;;
;Кришна. Даже не знаю, что и добавить. Я хорошо пою. И могу петь долго.;24;;
;Сатана. В то время, как вы подчинялись своему бате, я попытался дать своему по морде. Ни к чему хорошему это не привело, но каков же сам факт!;27;;
;Тор. Ну… э… сила молнии! Ву-у-у-у-у!;32;;
;Сет. У меня голова шакала. Хотя, вряд ли вы знаете, кто такой шакал…;33
;Тетраграмматон. Мне дозволено все. И я очень — вы слышали? — ОЧЕНЬ люблю деньги. ;34
;Опустошитель. Вообще-то, вряд ли меня можно назвать богом. Но я сильный.;36
;Меня зовут Рон Хаббард… и это очень долгая история. Она про религию, или науку, под названием саентология. Нет, серьезно, вам не понять.;78
17;ВЕЧЕН?! ЧТО ОН ИМЕЕТ В ВИДУ?! Ты тупой. Он говорит, что типа бессмертен. ДА?! ТАК Я ЕГО УБЬЮ. Я тоже. *обрыв связи*;
;Мда. Ну, будем считать, что я пытался. Генри, у нас боевая тревога.;-1
18;ВЗОРВАТЬ?! МЕНЯ?! АХА-ХА. Я РАЗОБЬЮ ТВОЙ КОРАБЛЬ И ЗАДУШУ ТЕБЯ!! Он будет уже мертв. НЕВАЖНО. *обрыв связи*;
;Глупые борки. Никакого уважения к чужой культуре. Эх… Лишкевич, у нас боевая тревога. Активировать орудия.;-1
19;А ПРИ ЧЕМ ТУТ ДЕТИ?! Я этого тоже не понял. Как-то странно прозвучало… Мне кажется, он считает нас тупыми. МЕНЯ?! УБЬЮ! Да, вперед. Я помогу. *обрыв связи*;
;Аминь. Генри, у нас тут битва намечается. Боевая тревога.;-1
20;ДЕНЬГИ?! ЗАБРАТЬ МОИ ДЕНЬГИ?! АХ, ТЫ… АРРРРРРРРРР! *отключается* Кто бы ты ни был, тебе конец. Когда этот дурак злится, лучше прятаться. А когда злюсь я — лучше убиться самому.;
;Никакого уважения к чувствам верующих. Генри, активируй орудийные системы. Будет бой.;-1
21;УМЕРЩВ…УМ… АРРРРРРРРРРР! *Не выдержав несовершенства мира, брат, что потупее, ринулся в атаку. Тот, что более умный, тоже отключился и перешел в наступление.*;
;Мда. Генри, нас ждет бой.;-1
22;ЧТО?! Я НЕ ПОНЯЛ. Он сказал, что типа ты ему нравишься. ОН НАЗВАЛ МЕНЯ ДУРАКОМ?!! Да. МЕНЯ, ДУРАКОМ?!! А еще полным придурком. И еще сказал, что… АРРРРРРРРРРРРРРРРРРРРРРРРР! *обрыв связи*;
;Мне кажется, что они мне не поверили. Как, впрочем, и люди на Земле… Эти борки умнее, чем кажутся. Да, Генри?;23
23;*Генри, который, как и положено, заблаговременно висел на срочной линии, отвечает* Да, капитан. Судя по показаниям радара, они идут в атаку.;marine_dialog
;В таком случае боевая тревога. Будто бы у нас есть выбор, а?;-1
24;А?! ПЕТЬ? ХМ… *борк тихо сопит* СПОЙ. Я ЛЮБЛЮ ПЕНИЕ. Ты с ума сошел?! ЗАТКНИСЬ. Я ХОЧУ ПОСЛУШАТЬ ПЕСНЮ.;
;Да пожалуйста: Харе Кришна Харе Кришна Кришна Кришна Харе Харе Харе Рама Харе Рама Рама Рама Харе Харе. Я и еще могу: Харе Рама Харе Рама Рама Рама Харе Харе Харе Кришна Харе Кришна Кришна Кришна Харе Харе. Как вам?;25
25;*Пару секунд борк осмысливает текст. А потом дико грохочет.* ЧТО ЭТО ЗА… АРРРРРРРРРРРРРРР! *отключается, идет в атаку, судя по радару* Ты странный. Но я буду рад тебя убить. *заключает второй голос*;
;Как я и ожидал, им не понравилось. Генри, боевая тревога.;26
26;Запущена несколько секунд назад, капитан. *отвечает Генри, который, как и положено, заблаговременно висел на срочной линии* А откуда вы знаете текст этой мантры?;marine_dialog
;Ах, не спрашивай. Думаю, стоит готовиться к бою. Харе-ха… тьфу, черт, привязалось.;-1
27;БИТЬ МОРДУ ПАПЕ?! УУУУ. ЭТО СМЕЛО. *одобрительно грохочет голос* А КЕМ БЫЛ ТВОЙ ПАПА?;
;Он создал место, где мы жили. И вообще, у него была куча друзей. Когда я захотел дать ему в морду, некоторые его друзья захотели мне помочь… В общем, это долгая история. Но, поверь, иначе я не мог.;28
28;И ЧТО ТЕПЕРЬ?;
;А теперь мы с отцом не в ладах. Хотя говорят, что он по-прежнему меня любит. Я же его сын, в конце-то концов.;29
29;ДА. СЛЫШЬ, УМНИК… МЫ ЖЕ ТОЖЕ СЫНОВЬЯ СВОЕГО ПАПЫ. *второй голос осторожен* Ты это к чему? ОН ТОЖЕ НАС ЛЮБИЛ. ОН НЕ ХОТЕЛ, ЧТОБЫ МЫ ДРАЛИСЬ. Он называл тебя дураком, а меня придурком. ДА, ОН НАС ЛЮБИЛ. ОН БЫЛ ХОРОШИЙ. Возможно. И что ты предлагаешь? Я НЕ ХОЧУ КОРАБЛЬ ПАПЫ. Я ХОЧУ К МАМЕ. ОНА ТОЖЕ МЕНЯ ЛЮБИТ. Мда. То есть... я могу забрать корабль себе? *Первый голос не отвечает. Его обладатель, судя по радару, прыгнул в гипер и покинул систему.* Мда. Сатана, я не знаю, кто ты такой, но спасибо тебе. Ты сплавил отсюда этого придурка. Вот уж умора...;
;Не за что. Всегда пожалуйста. Сатана всегда рад помочь, так сказать.;-1
;Э, не. Я тоже хочу себе этот корабль. ;31
31;Ты его не получишь!;
;Тебе же хуже. Лишкевич, боевая тревога!;-1
32;*Обрыв связи. Судя по всему, борки идут в атаку. Очевидно, они не сочли нужным отвечать на такой идиотизм.*;
;Генри, у нас тут бой намечается.;-1
