0;Cap? Captain? *Sarah knocks on the camera lens with her finger. The camera shakes.;engineer_dialog;;
;Frontz, quit it. The equipment is fragile, you'll break it.;1;;
1;This thing, fragile? *laughs* You can kill a cow with that. I'm serious, you can.;engineer_dialog;;
;I believe you. Is there anything else?;2;;
2;There is. *She nods.* Let me show you. *Sarah presses some button, and the previously quiet radio is instantly filled with dense Bork cursing. You can see Frontz laughing heartily, though she has turned off her microphone. She returns the communication line back to normal in a few seconds.*;engineer_dialog;;
;So, what was it?;3;;
3;This is what's on all of our comm lines. Some Borks are negotiating. They don't think it's necessary to encode it, of course. You can hear it from whichever end of the system.;engineer_dialog;;
;Give them to me again. I want to know what they're talking about.;6;;
;This is very useful information, Sarah. Veeeery useful. I'll get right to writing up a report about putting you forward to a decoration. Let's say, umm... Order of the Galaxy. ;4;;
;Thanks for the information, Sarah, but I'm not interested. Over and out.;-1;;1
4;Does it even exist?;engineer_dialog;;
;For you, I'll make it happen.;5;;
5;Without looking too far into the future, I'll say: why an order? *She smiles.* I'll settle for a medal.;engineer_dialog;;
;If there's one thing I love about you, Frontz, it's how modest you are. Right. Over and out.;-1;;1
6;Sure, Cap. Just don't make a sound! If you can hear them, they can hear you.;engineer_dialog;;
;Got it. Okay, do it.;7;;
7;*There is another click, Sarah types something quickly, configuring something. As a result, you can hear the Borks much better now. You now realize that there are two voices, even though they're very similar.* Mine! It's mine! I deserve it more!! NO, MINE! ME! MINE!;engineer_dialog;;
;*listen some more*;8;;
8;*It's hard to say what the next sentence means. The translator can't handle it, and instead of coherent speech you hear barbaric noises of the Bork language. That must have been some especially convoluted insult. After that, there are no problems with the translation.* You're asking for it! I'll tear you apart! *The other voice responds immediately.* I'M OLDER! I'VE ALWAYS BEATEN YOU!;;;
;*listen some more*;9;;
9;*The first voice yells back instantly.* I still remember that! My ship is better! BUT DAD HAD THE BEST SHIP! Yeah! And that's why I want it! I REMEMBER! HE LEFT NOTE! IT SAYS SHIP IS MINE! He couldn't write! Arrr! ARRRRRRR! Arrrrrrrr! ARRRRRRRRRRRRR! *Those Bork cries certainly don't mean anything good. If you don't intervene, there will be a fight.*;;;
;*keep silent*;10;;
;Hello? Do you read me?;13;;
10;*The line goes silent. Apparently the brothers are fighting.*;;;
;So the aliens have inheritance problems, too.;11;;
11;Did you say anything, Cap?;engineer_dialog;;
;Nothing. Thinking out loud. And Sarah, please stop listening in on my personal line.;12;;
12;*Sarah smiles and signs off.*;engineer_dialog;;
;*Sigh, pour a little wine in a glass, complain about how hard it is to be a Captain, and get to other business.*;-1;;1
13;AHUH?! WHAT? Shut up. Hey. Who are you? How did you… oh. Did you turn off the encoding of our comms again, you retard? WHAT'S ENCODING? Shut up. Okay. Who are you and what are you doing on our line?;;;
;Who am I? I'm… hmm… I'm God. Yeah.;14;;
;Just passing by.;37;;
;I'm your dad. Who else?;63;;
;Nobody. I'm already leaving. You guys keep fighting.;-1;;1
14;UH. WHAT'S A GOD? Uhhhh… yeah. What's a God?;;;
;You don't know? God is the omnipotent, supernatural higher creature. Well, that's me.;15;;
15;OMNI… SUPER… SUPER… BLAH! *The other voice is silent.*;;;
;Basically, it means that I'm more powerful than the two of you put together.;16;;
16;WHAT?! NO ONE'S STRONGER THAN ME! I'M STRONGER THAN EVERYBODY STRONG AND EVEN THE STRONGEST ONES! TELL ME YOUR NAME?!! WHO ARE YOU?!! WHAT ARE YOUR POWERS?!!;;;
;Buddha. I'm, like, eternal, and all that. And I also have a bit of a weight problem.;17;;
;Allah. Yeah, I'm stronger than you. And I'm good with explosives. There was a time when I was good at science, but now… I'm good with explosives.;18;;
;Jesus (Catholic). Well… I'm good at taking punches in the cheek. And I like kids.;19;;
;Jesus (Orthodox). Well… I'm good at taking punches in the cheek. And I like money.;20;;
;Jesus (Protestant). Well… I'm good at taking punches in the cheek. And I like money. And I like mortifying flesh… my own, unfortunately. But that won't save you two. ;21;;
;Jesus (Mormon). Well… I'm good at taking punches in the cheek. And I like stupid people. Oh boy, you can't even imagine how much I like stupid people!;22;;
;Krishna. I don't even know what else to say. I'm good at singing. And I can sing for a long time.;24;;
;Satan. While you obeyed your daddy, I tried to punch mine out. Didn't end too well, but how cool was that!;27;;
;Thor. Well, uh… the power of the lightning! Woooo!;32;;
;Seth. I have a jackal's head. Although you probably don't know what a jackal is…;33;;
;Tetragrammaton. Everything is permitted to me. And I really - did you hear? - REALLY like money.;34;;
;The Obliterator. In fact, I don't think you can call me a god. But I'm strong.;36;;
;My name is L. Ron Hubbard… and this is a really long story. It's about religion, or a science, called Scientology. Seriously, you won't get it.;78;;
