0;Капитан, мы изучили доставшийся нам корабль борков;
;И что же?;1
1;Несмотря на большие ожидания, это типичный корабль типичного борка-пирата: быстрый, но слабый, и вооруженный лишь ракетами. К тому же весьма потрепанный. Необычен он лишь целым отделением выделенным под… теплицу! Предыдущий владелец выращивал какие-то травы. К сожалению, они не пережили всех приключившихся с кораблем невзгод;
;А полезное там что-нибудь есть?;2
2;Почти ничего, капитан. Технологии борков схожи с нашими, ничего принципиально нового мы от них не узнаем. Мы прихватили кое-какие материалы и несколько интересных мелочей, но ничего существенного на борту не было. Возможно, на Земле из него смогли бы извлечь больше пользы, но забрать корабль с собой целиком мы его не сможем, он слишком велик.;
;А что если отрядить на борт команду добровольцев, чтобы они довели его на Землю своим ходом?;3
;Жаль. И было из-за чего сыр-бор разводить.;-1
3;Нереально, кэп. Понадобятся годы, чтобы не имея чертежей и мануалов разобраться в его системах управления, переналадить их для использования людьми и научиться на нем более-менее безопасно летать. ;engineer_dialog
;Вот черт, знал бы заранее - не ввязывался бы вообще.;-1
;Жаль, ну да ладно.;-1
