0;*тебя вызывают из научного отдела. Это Гордон. На его лице смесь страха и детской радости* Капитан! Вы… вы нам нужны.;;;;
;Надо же. Что у вас там случилось?;1;;;
1;У нас… Э-э-э. Это надо видеть. Вот. Это очень важно!;;;;
;Хорошо, сейчас буду. Надеюсь, это ДЕЙСТВИТЕЛЬНО важно.;5;;;
;"Что значит ""это надо видеть""? Конкретизируй.";2;;;
2;Тут у нас… Что-то… *Гордон машет руками и сверкает очками* К компьютеру прицепилось! Что-то чужое, инопланетянин!;;;;
;Ох, на это действительно стоит посмотреть. Уже иду.;5;;;
;Стоп. И зачем ты вызываешь меня? Это же небезопасно. Свяжись с Лишкевичем, изолируйте компьютер там… В общем, действуйте по инструкции.;3;;;
3;Оно… оно безопасно, капитан. Оно никого не атакует. Солдаты уже на месте, но ничего не происходит. Нам нужно ваше решение!;;;;
;Ох, на это действительно стоит посмотреть. Уже иду.;5;;;
;"Ну так отцепите это ""что-то"", черт возьми, Гордон, сами-то не справитесь?";4;;;
4;Да не отцепляется оно! *лицо Гордона принимает обиженное выражение. Судя по всему, придется таки идти в научный отдел*;;;;
;Ладно, жди. Учти, если ты отвлёк меня просто так…;5;;;
5;"*Гордон был прав, это даже не просто инопланетянин, а синий, слабо светящийся шар, метра два в диаметре. Но вот ""прицепился"" он совсем не к простому компьютеру, а к главному вычислительному терминалу всей Авроры! Ой-ой-ой*";engergy_sphere_dialog;;;
;Так, господа ученые, потрудитесь-ка объяснить мне, что это такое.;6;;;
6;*белые халаты молчат. Вперед выходит Гордон* Это инопланетянин. И он… *хватается за голову* он здесь!;;;;
;И что нам с ним делать?;9;;;
;С чего вы вообще взяли, что этот шар - живой?;8;;;
;Так отгоните его, в конце концов! Выстрелите, отпихните… Ну или как вы там работаете со всякой дрянью?;7;;;
7;*отвечает один из солдат* Пробовали, капитан, не помогает. Правда, мы не использовали что-нибудь помощнее, лаборатория всё же.;;;;
;И что нам с ним делать?;9;;;
;С чего вы вообще взяли, что этот шар - живой?;8;;;
8;*кто-то из ученых* На стандартные поведенческие тесты оно реагирует как живое существо! Конечно, трудно говорить о наличии мышления, но… *голос понемногу затихает, превращаясь в восторженное бормотание.*;;;;
;И что нам с ним делать?;9;;;
;Так отгоните его, в конце концов! Выстрелите, отпихните… Ну или как вы там работаете со всякой дрянью?;7;;;
9;Трудно сказать, капитан. *Гордон снял очки, и протирает их рукавом халата* На любые попытки контакта это существо не отвечает. Мы для него словно… не существуем… *подойдя к шару, он проводит сквозь него рукой. Шар никак не реагирует. Рука, очевидно, тоже*;;;;
;*достать пистолет, и выстрелить в шар*;10;!sphere_shoot;;sphere_shoot
;*тоже провести сквозь шар рукой*;19;!sphere_touch;;sphere_touch
;Слушайте, господа, если этот шар неровно дышит к нашему терминалу, то просто отключите его - может тогда эта дрянь улетит?;23;;;
;Мдааа… Определенно, нам нужно разузнать что-нибудь об этой заразе. Вот только у кого?;-1;;;
10;*пистолет рявкает, ученые отскакивают назад, солдаты резко подбираются. Пуля пробила мягкий полимерный пол, застряв в жёсткой основе. Шар даже не колыхнулся. *;engergy_sphere_dialog;;;
;*снова выстрелить*;11;;;
;*провести сквозь шар рукой*;19;!sphere_touch;;sphere_touch
;Слушайте, господа, если этот шар неровно дышит к нашему терминалу, то просто отключите его - может тогда эта дрянь улетит?;23;;;
;Мдааа… Определенно, нам нужно разузнать что-нибудь об этой заразе. Вот только у кого?;-1;;;
11;*вторая пуля проходит прямо сквозь центр шара. Ученые отходят подальше. Солдаты смотрят с любопытством. Пуля снова ушла в пол. Шару все равно*;engergy_sphere_dialog;;;
;*стрельнуть еще разок*;12;;;
;*провести сквозь шар рукой*;19;!sphere_touch;;sphere_touch
;Слушайте, господа, если этот шар неровно дышит к нашему терминалу, то просто отключите его - может тогда эта дрянь улетит?;23;;;
;Мдааа… Определенно, нам нужно разузнать что-нибудь об этой заразе. Вот только у кого?;-1;;;
12;"*если бы шар мог говорить он, наверное, сказал бы что-то вроде ""Что, опять?"". Солдаты вежливо хихикают. Взгляд ученых… непередаваем. В полу третья дырка. Шару, кстати, все равно*";engergy_sphere_dialog;;;
;*четвертый раз лишним не будет*;13;;;
;*провести сквозь шар рукой*;19;!sphere_touch;;sphere_touch
;Слушайте, господа, если этот шар неровно дышит к нашему терминалу, то просто отключите его - может тогда эта дрянь улетит?;23;;;
;Мдааа… Определенно, нам нужно разузнать что-нибудь об этой заразе. Вот только у кого?;-1;;;
13;*слушай, это же лаборатория, а не тир! Шар не реагирует на твою стрельбу, хватит портить пол! Ты только выставляешь себя идиотом*;engergy_sphere_dialog;;;
;*пятый раз*;14;;;
;*провести сквозь шар рукой*;19;!sphere_touch;;sphere_touch
;Слушайте, господа, если этот шар неровно дышит к нашему терминалу, то просто отключите его - может тогда эта дрянь улетит?;23;;;
;Мдааа… Определенно, нам нужно разузнать что-нибудь об этой заразе. Вот только у кого?;-1;;;
14;*нет, ты издеваешься. Шару все равно. Он не реагирует на любые физические действия! Твои люди смотрят на тебя как на полного болвана. И пять дыр в полу. Между прочим, ты знаешь, сколько стоят подобные полимеры?*;engergy_sphere_dialog;;;
;*выстрел номер шесть*;15;;;
;*провести сквозь шар рукой*;19;!sphere_touch;;sphere_touch
;Слушайте, господа, если этот шар неровно дышит к нашему терминалу, то просто отключите его - может тогда эта дрянь улетит?;23;;;
;Мдааа… Определенно, нам нужно разузнать что-нибудь об этой заразе. Вот только у кого?;-1;;;
15;*в лаборатории ощутимо попахивает порохом. Один из ученых падает в обморок. Какой-то солдат откровенно хохочет. Нет, ты все никак не уймешься, да? Шару, кстати, все равно. Ему и будет все равно. Хоть ты из гранатомета выстрели. Ничего не изменится.*;engergy_sphere_dialog;;;
;*bang!*;16;;;
;*провести сквозь шар рукой*;19;!sphere_touch;;sphere_touch
