0;*Монстра посадили в один из грюзовых трюмов, и вывели связь с ним прямо на капитанский мостик.*;
;Вот и замечательно. Кхм. Ты меня слышишь?;1
1;Слышу. *Существо смотрит в камеру снизу вверх, и говорит громко, очевидно, считая, что так его будет лучше слышно.* Что вы от меня хотите? *Вживую оно действительно больше похоже на клиска, чем его товарищи в мёртвом состоянии. Если бы обычного клиска увеличить раза так в четыре, сделать его мускулы откровенно гипертрофированными и нарастить поверх этого толстую на вид кожу другого цвета - получится вот этот монстр. Хотя, можно ли так его называть?*;
;Кто ты такой?;2
;Почему ты хотел, чтобы мои люди тебя убили?;4
;Тебя не смущает то, где ты?;6
;Что за надписи были на стенах твоего логова?;8
;Ты знаешь, что есть другие, такие же как ты?;10
;Может быть ты удивишься, но мы искали именно тебя.;12
;И что же мне с тобой делать?;14
2;*Существо обхватывает себя руками и качается из стороны в сторону.* Не знаю. Я ничего не помню. ;
;То есть, как это?;3
3;Сколько могу пытаться вспоминать, всю жизнь провёл на этой планете. Долго, очень долго. А потом пришли вы. Всё.;
;Почему ты хотел, чтобы мои люди тебя убили?;4
;Тебя не смущает то, где ты?;6
;Что за надписи были на стенах твоего логова?;8
;Ты знаешь, что есть другие, такие же как ты?;10
;Может быть ты удивишься, но мы искали именно тебя.;12
;И что же мне с тобой делать?;14
4;Очень устал. Постоянно один и один. *Существо тычет пальцем себе в макушку.* И там очень… плохо. *Теперь тычет пальцем в грудь.* И тут тоже. Всё хуже и хуже, это невозможно. Я хотел сам убить себя, но не могу. Подумал, что вы сможете.;
;Это очень странно. Я ожидал многого, но точно не такого.;5
5;*Не отвечает.*;
;Кто ты такой?;2
;Тебя не смущает то, где ты?;6
;Что за надписи были на стенах твоего логова?;8
;Ты знаешь, что есть другие, такие же как ты?;10
;Может быть ты удивишься, но мы искали именно тебя.;12
;И что же мне с тобой делать?;14
6;Это космический корабль. Что такого?;
;И откуда ты это знаешь?;7
7;*Существо открывает рот. Существо закрывает рот. Молчит, погрузился в себя.*;
;Кто ты такой?;2
;Почему ты хотел, чтобы мои люди тебя убили?;4
;Что за надписи были на стенах твоего логова?;8
;Ты знаешь, что есть другие, такие же как ты?;10
;Может быть ты удивишься, но мы искали именно тебя.;12
;И что же мне с тобой делать?;14
8;Стихи. Иногда они появляются в голове. И я их пишу. А потом забываю снова. Потому и пишу.;
;Что это был за стих?;9
9;Я… *Морщится.* Я его забыл. Помню,  про что он был. Про то, что я устал. Про то, что у меня есть только то, что в голове, о чём я думаю. Хотелось бы бросить всё, что у меня есть, под ноги другому, с кем я мог бы говорить. Но всё, что у меня есть, это только то, что в голове.;
;Кто ты такой?;2
;Почему ты хотел, чтобы мои люди тебя убили?;4
;Тебя не смущает то, где ты?;6
;Ты знаешь, что есть другие, такие же как ты?;10
;Может быть ты удивишься, но мы искали именно тебя.;12
;И что же мне с тобой делать?;14
