0;Вы вернулись, капитан! *Лонроэ смотрит взглядом, полным довольства* Вы выполнили свои обязательства, да?;;;;
;Еще не совсем, трупов у меня нет.;1;;;
;Первый монстр готов.;2;heritage.second_monster_killed;;
;Мои люди подстрелили второго монстра. А вы знаете, что он вытравил кислотой какие-то слова на стенах своего логова?;3;heritage.third_monster_killed;;
;Третий… Вы будете смеяться, но он убил себя сам.;4;heritage.fourth_monster_killed;;
;По поводу четвертого существа…;6;heritage.fifth_monster_killed;;
1;Значит, возвращайтесь тогда, когда они у вас будут! Не теряйте свое и мое время, капитан.;;;;
;Конечно. Конец связи.;-1;;;
2;Отлично, просто замечательно! Пересылайте труп, а я переведу вам деньги.;;;;
;Приятно с вами сотрудничать.;-1;;;second_paid
3;Но тем не менее он напал на ваших людей, капитан. А значит, разума в нем не было. Не терзайтесь муками совести, дорогой друг. Вы делаете хорошее дело. Но это и так очевидно. Передавайте мне труп, а я переведу вам деньги.;;;;
;Делаю хорошее дело? Уж я на это надеюсь. Конец связи.;-1;;;third_paid
4;Да? Вы серьезно?;;;;
;И притом задолго до нас. Вскрыл себе горло. А еще он пытался писать стихи…;5;;;
5;*Лонроэ выщелкивает грустный, мрачный ритм* Жаль. Может быть, оно действительно было разумным. Я надеюсь, мы сможем узнать это, изучив его труп. Принимайте деньги.;;;;
;Конечно. Конец связи.;-1;;;fourth_paid
6;Да-да?;;;;
;Я привез вам его живым. Оно разумно.;7;;;
;Мои люди не смогли его найти.;9;;;
;Я решил оставить его у себя.;11;;;
7;Что? Вы уверены в этом? *Лонроэ наклонился вперед, он опешил*;;;;
;Абсолютно. Мы с ним долго говорили. У него явно что-то не так с головой, но глупцом я бы его не назвал.;8;;;
8;Вот оно как… Значит, все-таки… Кхм. *теперь откинувшись назад, Лонроэ улыбается* Это отличные, просто великолепные новости, капитан людей. Вы заслуживаете бонуса. Вы — одно из лучших вложений, которое когда-либо делала корпорация Вортангу.;;;;
;Рад это слышать. Всегда приятно работать с таким существом, как вы.;-1;;20;
9;*Лонроэ хмурится*;;;;
;Мы обыскали всю планету, прошлись сканером. Ничего. Похоже, он умудрился заползти в какую-то глубь и там благополучно умереть.;10;;;
10;Так, значит, мир его праху. *раздраженный Лонроэ цедит фразы медленно, недовольно* Я думаю, вы понимаете, что оплачивать данное путешествие я не могу. Вам не за что платить. И это не оспаривается. Было приятно работать с вами, капитан людей. Не настолько, насколько я ожидал, но приятно. *Конец связи. Лонроэ просто отключился.*;;;;
;Вот оно, значит, как. А он сильно разозлился.;-1;;10;
11;И что же вы будете с ним делать, капитан людей? *Лонроэ смеется* Натравливать его на своих врагов, как ручную зверюшку?;;;;
;Может быть. Но, скорее всего, нет. Оно разумно.;14;;;
;А это уже не ваше дело.;12;;;
12;Вы правы. Не мое. Думаю, бесполезно говорить вам о том, что вы удерживаете у себя корпоративную собственность… Пусть будет так, капитан людей. Денег за это путешествие вы не получите. Думаю, это очевидно.;;;;
;Я иного и не ждал.;13;;;
13;*Лонроэ кивает. Голос у него сейчас тихий и елейный.* Похоже, что слухи о вас сильно преувеличены, капитан… *качнув головой, он отключается*;;;;
;Обо мне много говорят. Хотя… он все равно меня уже не слышит.;-1;;30;
14;В таком случае вы просто обязаны отдать его нам. Это наша корпоративная собственность. Мы сможем изучить его, помочь ему… Капитан людей, вы совершаете ошибку!;;;;
;И правда. Знаете… Пожалуй, забирайте его.;15;;;
;Оно захотело остаться. Я не могу его принуждать.;16;;;
15;*теперь откинувшись назад, Лонроэ улыбается* Радостно, что вы передумали. Поверьте, мы не причиним этому созданию зла. Что же касается вас… Вы заслуживаете бонуса. Вы — одно из лучших вложений, которое когда-либо делала корпорация Вортангу.;;;;
;Рад это слышать. Конец связи, Лонроэ.;-1;;20;
16;*Лонроэ раздражен. Его кожа пошла крупными каплями слизи.* Да. Вы правы. *он словно бы шипит, отвечая* Это неэтично. Да будет так. Оставляйте это существо себе. Денег вы за него, конечно, не получите. Но они вам и не нужны, я так погляжу. *Обрыв связи. Похоже, что кто-то слишком резко отключился.*;;;;
;Если он не успокоится, то лопнет и забрызгает весь свой кабинет. А у него крутой кабинет. Мне бы такой… Хм… Попросить Сару мне каюту переделать, что ли…;-1;;30;
