0;*Гордон бледен как бумага*;
;Гордон. Поверь мне, я спокоен и не злюсь. Ты мне веришь?;1
1;Д-да.;
;Но если ты не объяснишь мне, где мы, то я начну злиться. Излагай попроще.;2
2;*Гордон отворачивается, очевидно, свериться с какими-то данными, и далее говорит. Держится уверенно, хотя ему наверняка страшно* Мы в другом мире, капитан. Вот.;
;Хорошо. Теперь ответь, как нам отсюда выбраться?;3
3;Я н..н-не знаю, капитан. *видимо, твое лицо ему не нравится, потому что он быстро-быстро добавляет* Капитан, не надо! Я… я виноват! Но….;
;Хватит. Я не собираюсь винить в этом тебя. В любом случае, я - капитан, и ответственность на мне. Гордон, я не знаю как, но нам надо отсюда выбираться. Что ты знаешь об этом месте?;5
5;По сути…. *Гордон трет переносицу, и снова отворачивается свериться с данными* Да…. По сути, мы не в космосе. В смысле, не в пустоте. Аврора-2 сейчас находится в органической жидкости неизвестного состава. Состав определить не представляется возможным. Однако, какие-то простейшие белки там присутствуют. Это все, что мы смогли узнать.... И... да.... Вот еще....;
;Что?;6
6;По ходу, эта жидкость…. Она…. Она живая. *Гордон добавляет, немного помолчав* Мы во Вселенной, которая является живым организмом, капитан. ;
;Это… это невозможно. Невозможно научно!;7
7;*за спиной Гордона слышен исступленный крик* ЗАСУНЬТЕ СЕБЕ В ЗАДНИЦУ ВАШУ НАУКУ!! *кричащий - почтенного вида хлипкий старик - упал на пол и бьется в истерике. Гордон смущен.* Ну… это другой мир… тут все другое. Капитан, нам нужно время для изучения. Попробуйте разведать местность и обстановку.;
;Принято. Угомоните того своего коллегу. И когда он придет в себя, скажите, что из ближайшей зарплаты у него вычтут штраф. У тебя все?;8
8;Нет, капитан. В этом мире.. Необычные физические законы. М-мы еще будем проверять и изучать, но похоже… похоже здесь даже время течет иначе.;
;"Что значит иначе? Я вроде не чувствую ничего не обычного. Никакого ""меня из будущего"" рядом что-то не видно";9
9;Я не могу объяснить… нно лучше быть готовым к тому, что правила нашего м-мира на обитателей этого не распространяются!;
;Ничего не понял, но ладно. У тебя все?;10
10;*Гордон кивает*;
;В таком случае - конец связи. Докладывай если что.;-1
