0;*Гордон вызывает, и на сей раз не по обычному каналу. Что-то экстренное.*;
;Я тебя слушаю.;1
1;К-капитан… у нас… чрезвычайная ситуация. У меня умер подчиненный. *Гордон осекается, его голос дрожит* Во время вивисекции одного из недавних животных образцов он работал без подобающей экипировки и…;
;*продолжать слушать*;2
;Гордон, это важно! Он что, чем-то заразился?!;3
2;…и затем контактировал со всеми нами, с некоторыми из солдат и инженеров, посещал публичные места… К-капитан, я требую экстренных мер. Мы должны провести полную проверку экипажа и встать на карантин.;
;Тебе нужно мое одобрение? Ты его получил.;4
3;М-может быть. И если это так, то он заразил многих. Мы должны провести полную проверку экипажа и встать на карантин.;
;Да-да, я понял. Проводи все, что надо. Все необходимые объявления я прикажу дать.;4
4;*Гордон кивает и отключается*;
;Надеюсь, что пронесет…;-1
