0;*Снова вызов Гордона и снова по срочной связи.*;;
;Гордон? Ведь проверка ещё не закончена.;1;
1;*Гордон молча кивает. Выражение у его лица отвратительное, да и выглядит оно крайне устало: набрякшие мешки под глазами, серая кожа... Всё понятно.*;;
;Всё плохо.;2;
2;Да. Это… какая-то болезнь. Умер ещё один человек. Сомнений больше нет.;;
;Хорошо. Что нужно сделать? Отделить заражённых от незаражённых, затем лететь на Землю, встать на карантин?;3;
3;Капитан… *Гордон вздыхает.* Некого отделять. Заражены мы все. Проверка образцов крови закончилась практически только что и… поголовно. Даже вы.  *По его глазами видно: панику Гордон сдерживает едва-едва.*;;
;Успокойся. Пока что мы живы. А значит… значит нужно что-то делать.;4;
4;Да… Нужно… *Гордон кивает. Вид у него обречённый.*;;
;Что это вообще за болезнь? Симптомы, чем она вызвана…;5;
;Смертельные исходы будут продолжаться?;7;
;Твои предложения?;9;
5;Нечто, похожее на чуму, к-капитан. Лёгочная разновидность. *Гордон подносит к камере кулак и отгибает один палец.* Развивается. *Отгибает второй.* Достигает острой формы. *Отгибает третий.* Человек не может дышать и умирает. Это тяжело.;;
;Сколько времени у нас есть?;6;
6;Трудно сказать, капитан. Всё зависит от стадии заражения, от волны, с которой вы получили болезнь… кто-то продержится дольше, кто-то нет.;;
;Хм…;999;
999;*Гордон молчит, ожидая.;;
;Что это вообще за болезнь? Симптомы, чем она вызвана…;5;
;Смертельные исходы будут продолжаться?;7;
;Твои предложения?;9;
7;Да. Вероятность смерти - сто процентов. Если мы не вылечимся, то… *Учёный красноречиво качает головой.*;;
;Пустой корабль в открытом космосе…;8;
8;"Сможет ли Земля построить третью ""Аврору""?";;
;Не хочу проверять.;999;
9;Прежде всего - никаких заходов на Землю. Вы понимаете.;;
;Конечно.;10;
10;Надо действовать, капитан.;;
;Гордон, ты - глава передового научного отдела. Неужели вы не можете разобраться, как вылечить эту дрянь?;11;
;Помнишь мы покупали у инопланетян данные по внеземной биологии? Они могут нам помочь?;16;has_biology
;Может быть лекарство можно купить?;13;
;У нас установлен экспериментальный модуль медотсека, Гордон… может это поможет?;14;has_medbay
;У нас установлен продвинутый медицинский отсек, Гордон… Это может как-то помочь?;15;has_advanced_medbay
;Ладно. Нечего терять время. Приступай к своим неосредственным обязанностям и жди моих приказаний. Конец связи, Гордон.;-1;
11;Слишком мало данных, капитан. Имеющийся животный образец был уничтожен в процессе подготовки к карантину.;;
;Понятно. Нам нужны новые?;12;
12;Да. И х-хорошо бы ещё исследовать планету, на которой мы поймали такого, капитан. Это наверняка поможет.;;
;Я тебя понял, Гордон.;10;
13;*Гордон пожимает плечами. И действительно, откуда ему знать?*;;
;…;10;
14;Да, я знаю, к-капитан. Там действительно отличное оборудование! Мы сможем купировать острые периоды болезни… но только некоторое время.;;
;Хоть что-то.;10;
15;Да, капитан, это отличный модуль. С ним наши больные продержатся подольше, а полученные с образцов данные можно будет быстрее обработать.;;
;Отлично!;10;
16;Да, наверняка мы там что-то найдем. В частности там было описание многих болезней, которые представляют угрозу для видов с разных планет. Это очень хорошо что вы тогда потратились на их покупку!;;
;Неужели, а я думал что это пустая трата денег.;10;
