0;Да… я вижу, что с вами что-то не в порядке. *Клиск умильно щелкает. Врет, судя по всему.*;;;
;Я перешлю вам все имеющиеся у нас данные. И нам нужно лекарство.;1;;
1;Что же… *Клиск вдумчиво изучает полученные результаты исследований. Времени на это уходит достаточно много, несколько раз он консультируется со своими научными специалистами.* Что же! *снова умильное щелканье* Вам в какой-то мере повезло, капитан людей... Чтобы подхватить болезнь с чужой планеты, нужно очень сильно постараться. Между вами и существами, от которых вы заразились, выходит, не так уж и много различий!;;;
;Какая ирония…;2;;
2;Я надеюсь, вы мне ее простите. Что касается лекарства… да. Оно у нас есть. И мы можем поделиться с вами нужными данными, которые помогут вам адаптировать его под себя. 10 кредитов.;;;
;Я даже торговаться не буду. Получите и распишитесь.;5;;
;У меня нет таких денег.;3;;
;Как насчет специального предложения для друга клисков?;7;high_reputation;
3;Мне очень жаль.;;;
;…;-1;;
5;Расписаться? Что это означает?;;;
;Выражение такое. Я принимаю ваше предложение и готов перевести деньги.;6;;
6;О. Что же… отлично, капитан людей. Всегда приятно вести с вами дела!;;;
;Взаимно. Конец связи.;-1;;1
7;Вот уж действительно, капитан людей… *задумчиво пощелкивая, клиск что-то вбивает на клавиатуре* Ведь вы на самом деле друг нашего народа. Хоть это и нельзя назвать точным следованием Кодексу, но все же… Вылечите своих людей. *Запрос входящих данных. Это нужная лекарственная формула.*;;;
;Спасибо. Вы спасли мой экипаж.;8;;
8;Только не стоит думать, что это сработает и в другой раз! *щелчки смеха* Клиски ценят своих друзей, но деньги и дружеские отношения несовместимы, не так ли?;;;
;Во всяком случае, не всегда. Конец связи.;-1;;2
