0;*Это вызывает Сара, но её очень трудно узнать. Впридачу ко всем обычным симптомам — серой коже лица и опухшим глазам — у неё выпадают волосы. И сильно.*;
;Я слушаю, Фронтц.;1
1;*Сара молчит*;
;Сара?;2
2;Кэп, я… Я… Лекарства не помогают, я… *запинается* У меня человек в нагнетатель упал. Его размолотило. Мы работали вместе. *Она качает головой. Закусывает губу.* А потом закашлялся, потерял сознание. И все.;
;Мне очень жаль, что так произошло. Ты в порядке?;3
3;Я? О… О, да. Только волосы полезли, видите? *с полным безразличием Сара указывает пальцем* Гордон лично дал мне несколько таблеток успокоительного. Помогает. Да. Капитан, мы ведь выживем, да? Все это кончится, да?;
;Наверняка.;5
;Я не знаю, Сара.;4
4;Что же… по крайней мере, честно. *отключает связь*;
;…;-1
5;Вы — капитан. Вам лучше знать, ведь так? *отключает связь*;
;…;-1
