0;*вызов из научной части*;
;Гордон? Эм… ты очень сильно похудел.;1
1;*И это так. Гордон выглядит даже не отощавшим — истощенным! Он пожимает плечами.* Так бывает, когда работаешь сутками напролет, капитан. *голос у него по-прежнему крайне спокойный* Людей мало. Мне приходится работать за пятерых.;
;Всем нам трудно.;2
2;Всем. Вам. Но не мне. *Гордон достает пистолет для инъекций и какую-то ампулу. Делает себе укол в шею и откладывает пистолет назад, на стол, за пределы кадра.* Мне на самом деле легче. У меня есть старые запасы.;
;Это что? Какое-то успокоительное?;3
3;Можно и так сказать. Старый добрый морфин. Главное — знать точную дозировку, и тогда голова остается ясной. А боль совсем не чувствуется… и кашля нет… *Гордон криво улыбается, а из уголка его рта течет слюна вперемешку с кровью*;
;Мне только наркомании у главы научного отдела не хватало, Гордон.;4
4;О, нет, не беспокойтесь… *он утирает кровь ладонью* Я знаю, когда использовать крайние методы. Сейчас мне это действительно необходимо. К тому же осталось не так уж и много. Мы… мы работаем… *зевает*;
;Ты бы постарался поспать.;5
5;*он снова улыбается* Постараюсь. Но потом. Если не успеем… для сна у нас будет все время мироздания, ведь так? *нетвердой рукой и далеко не с первого раза Гордон отключает связь*;
;Мда. Я… я не ожидал.;-1
