0;Кэп! Эта ваша биомасса!! Иллюминатор! Мой илюминатор!! *у Сары натуральная истерика*;engineer_dialog_angry
;Фронтц, ты с ума сошла, кричать на капитана?;1
1;Простите, кэп, но... *Сара поворачивает камеру к иллюминатору… Оу, это действительно выглядит достаточно мерзко. Кто же знал, что эта биомасса настолько противна вблизи? Сару можно понять.*;
;Успокойся и верни камеру в исходное положение. Понимаю, противно видеть такое в собственной каюте. Но это не повод закатывать истерики капитану корабля.;2
2;*Сара взмахивает руками* Прошу прощения, капитан. Просто… я только проснулась, а тут эта… а-а-а! *ее передергивает*;engineer_dialog_angry
;Прикажи кому-нибудь счистить эту штуку и… не знаю… все равно же нарастет. Хорошо, что она еще по всей обшивке не расползается.;3
3;А что с моим иллюминатором?;
;Придется тебе его занавесить.;4
4;*Сара, думая, что это слышно только ей, тихо рычит, но вроде бы постепенно успокаивается* Хорошо. Я занавешу окно. Капитан, пожалуйста, сделайте что-нибудь с этой штукой.;
;Я весь в поиске. Конец связи.;-1
