0;Капитан?;
;Генри?;1
1;"Поступила жалоба с управления орудийными системами. *Генри краток и спокоен* Говорят, что какая-то, цитирую: ""мерзкая мясная хрень"" затянула стволы батарей.";
;Это проблема?;2
2;"Нет. Эта, повторюсь: ""мерзкая мясная хрень"" сжигается первым же выстрелом, и саму систему не портит. Просто людям как-то неприятно работать в такой обстановке.";
;Гордон сказал, что придется потерпеть - обычными методами эту штуку не счистить.;4
4;И долго ли терпеть?;
;Пока не найдется решение проблемы. У тебя все?;5
5;Так точно. *Генри кивает, и отключается*;
;Конец связи.;-1
