0;*Гордон выглядит неважно. Вся видимая часть его халата в грязи и пыли. А на лице наливается синяк. Очевидно, глава научного отдела крепко обо что-то приложился, прыгая туда и сюда по лаборатории.* …Так это и было.;;;
;И все это время вы бегали от этого камня по лаборатории?;1;;
1;*Гордон кивает* А потом пришли с-солдаты. Пару раз выстрелили в этот булыжник, он затих. Вроде живой. *потирает синяк* Я приказал перекатить его в трюм. Он там иногда катается из стороны в сторону.;;;
;Хорошо, что жертв нет.;2;good;
;Хорошо, что жертв нет.;10;good_medbay;
;Я слышал, кому-то из твоих людей… не повезло.;3;casualties;
;По крайней мере, мы знаем, что этот камень — живое существо.;4;;
;Так что нам с ним делать?;8;;
2;Да. И это чудо. Капитан, мои подчиненные не хотят… такой физкультуры. Они работники умственного труда, не физического. *Гордон снова потирает синяк* По крайней мере не всегда.;;;
;По крайней мере, мы знаем, что этот камень — живое существо.;4;;
;Так что нам с ним делать?;8;;
10;Да. Как хорошо, что вы в свое время снабдили корабль медотсеком. *Гордон снова потирает синяк* Некоторых моих коллег буквально по кускам собирали, но в итоге все живы.;;;
;По крайней мере, мы знаем, что этот камень — живое существо.;4;;
;Так что нам с ним делать?;8;;
3;Ужасная и глупая смерть. Я… я такого не ожидал. *Гордон снова потирает синяк.* Впрочем, мы знали, на что идем, когда устраивались в «Аврору».;;;
;По крайней мере, мы знаем, что этот камень — живое существо.;4;;
;Так что нам с ним делать?;8;;
4;Живое, да.;;;
;Разумное ли?;5;;
5;*Гордон пожимает плечами* Трудно сказать. Камень проявил активность, когда мы начали его изучать. Это вполне могло быть реакцией дикого животного. ;;;
;Так, может быть, стоит добить его и провести вскрытие?;6;;
;Вы не пробовали с ним как-нибудь поговорить, что ли?;7;;
;Так что нам с ним делать?;8;;
6;Солдаты прострелили его почти насквозь. А он все еще жив и бьется о стены там, в трюме. Вряд ли его так легко добить… по крайней мере, не подвергая опасности корабль. И… можно ли? Я не одобряю его реакцию, но он вполне мог просто защищаться. Ведь, с его точки зрения, мы варвары и похитители. Уж простите, капитан.;;;
;Вы не пробовали с ним как-нибудь поговорить, что ли?;7;;
;Так что нам с ним делать?;8;;
7;Сначала оно не отвечало. А потом нам стало не до разговоров. *Гордон смотрит в камеру. Взгляд нервный, раздраженный, глаза красные.*;;;
;Так, может быть, стоит добить его и провести вскрытие?;6;;
;Так что нам с ним делать?;8;;
8;Я отказываюсь производить любые эксперименты с этим существом, пока есть возможность опасности для меня и моих подчиненных. Простите, капитан. Повторения произошедшего я не хочу.;;;
;Может, посоветуешь что?;9;;
9;Если нам не удастся либо договориться, либо утихомирить это существо, то лучше вернуть его туда, откуда мы его взяли. Это все, что я могу сказать, капитан. Окончательное решение за вами.;;;
;Понятно. Слишком много мороки. Я решил выкинуть эту каменюку в открытый космос. *открыть наружный выход из трюма*;-1;;1
;Хорошо, я подумаю над этим. Пока что пусть сидит в нашем трюме. Уж там-то оно никому не навредит.;-1;;
