0;*Вызов от Гордона. Срочная линия.*;
;Я слушаю тебя.;1
1;Капитан! К-капитан! *Камера странным образом скособочена, Гордон смотрит в неё, согнувшись в три погибели. На заднем фоне группа ученых бегает туда и сюда. Слышен какой-то грохот. В лаборатории ужасный беспорядок.* Помоги-и-и-ите!!;scientist_dialog_scared
;Что такое?!;2
2;Камень! Он… он ожил!;scientist_dialog_scared
;Что?!;3
3;Ожил и напал на нас! Мы… мы не можем вызвать подмогу! *Сильный грохот. Гордон куда-то прыгает, исчезнув из поля зрения камеры, но его еще слышно.* Он помял нам двери и их заклинило, связь только с вами! Пришлите к нам солда-а-а-ат!;scientist_dialog_scared
;Уже высылаю… вы держитесь там!;4
4;*Грохот и хруст. Связь оборвалась.*;
;Гордон! Гордон! Ах, чтоб тебя… Лишкевич, прием!;5
5;Капитан?;marine_dialog
;Как скоро твои люди смогут попасть в лабораторию?;6
6;Они пытаются, капитан, сэр. Много времени это не займет. Но побегать от камня ученым придется.;marine_dialog
;Скажи своим, пусть стараются. Сразу доложишь мне, как все закончится.;-1
