0;Что? Особый инопланетянин?;;;
;Точно. Это… эм… живой камень. Будет трудно поверить, но так и есть.;1;;
1;*Клиск недоверчиво пощёлкивает, более ничем не выражая свой скепсис.* Понятно, капитан людей. И… и вы хотите с ним поговорить… я так понимаю?;;;
;Да. Думаю, это поможет решить наши с этим существом некоторые разногласия.;2;;
2;Мы можем попытаться, капитан людей. Подобных инопланетян клиски ещё не встречали, но наши  методы позволяют общаться даже с существами, попросту не воспринимающими углеводные формы жизни. Мы попробуем. *Клиск потирает руки.* Пять кредитов.;;;
;Не многовато?;3;;
3;Цена вполне справедлива! *Клиск выглядит немного обиженным.*;;;
;Ладно-ладно… я переведу вам деньги, только помогите мне поговорить с этим булыжником.;4;credits > 4;
;Не могу. К сожалению, сейчас у меня таких денег нет. Думаю, я обращусь к вам, когда они у меня будут.;-1;;
4;*Клиск кивает.* Ждём вас у себя на корабле, капитан.;;;
;…;5;;
5;*Дельце действительно непростое, пять кредитов были отданы не зря. Камень отволокли в лабораторию клисков (очень необычное местечко. Вон та штука очень напоминает какой-то зонд с пупырышками) и работы с ним ведёт добрый десяток учёных: гул их гравиплатформ напоминает жужжание гигантских пчёл. Судя по тому, что продолжается это уже не первый час, попытки связаться с камнем пока не увенчались успехом. Точно клискам удалось выяснить лишь одно: камень действительно живой.*;;;
;Вы там скоро?;6;;
;*ждать*;7;;
6;"*Мимопролетающий клиск недовольно щёлкает, бросая что-то про ""тупых варваров, не имеющих уважения к"". Кроме него никто внимания не обратил.*";;;
;Сам такой. *ждать*;7;;
7;"*Приходится даже послать на ""Аврору"" за пайком, потому что дело затянулось. Усталые клиски перешли к методам, которые выглядят архаично даже по людским меркам: один из учёных вколачивает в камень железный штырь, от которого отходят к исследовательскому терминалу какие-то провода.*";;;
;А вы уверены, что ему это не повредит?;8;;
8;Штырю или камню? *Учёный, управляющий небольшим роботом, вколачивающим штырь, смешливо щёлкает.* Не волнуйтесь, капитан людей. Вы свидетель - мы многое пытались сделать, да? В данном случае… *Кряхтит, ожесточённо сжимая в руках пульт.* Нужен... *Робот с силой бьёт по штырю ещё два раза, металлический прут полностью скрывается в камне.* Иной подход! Готово! Запускайте! *Один из клисков отбивает соло на клавиатуре и... Бабах! В воздухе резко запахло пылью и озоном. Что это за странное ощущение? Ой. Волосы под униформой дыбом встали.*;;;
;Это… это безопасно?!;9;;
9;*Клиски не слышат. Все они столпились вокруг исследовательского терминала и шумно щёлкают, тараторят. Похоже, что у них что-то получилось.* Капитан людей! *Один из них, видимо, главный, жестом приглашает пройти.* Подойдите сюда! Взгляните сами! ;;;
;Ох… как всё… эм… необычно.;10;;
10;*И всё действительно очень необычно. На одном из мониторов терминала, самом большом, малопонятная мешанина света и самых разнообразных цветов. Более однотонные, слабо мерцающие, словно плёнкой очерчивают стены и пол. Разнообразные яркие вспышки изображают лабораторные приборы.  Тусклые, но гораздо большие, чем все остальные, пятна двигаются и пульсируют. У одного можно чётко различить выпуклости, похожие на... эй! Это же руки и ноги!*;;;
;А почему мы - тусклые пятна?;11;;
;Странно. Такие яркие цвета.;14;;
;Излучение? Стоп. Мы в космосе, где есть своё излучение, на космическом корабле, где оно тоже есть… разве камень не должен чувствовать себя… эм… слегка неуютно?;15;;
;Это всё очень хорошо, а общаться-то я с ним смогу?;17;;
11;Мы - живые существа, мы отражаем его излучение. *Один из клисков поясняет это с выражением невероятной важности на лице, но без надменности.* Поэтому он воспринимает нас  силуэтами тусклоты, неподвластными полноценному анализу. Однако! *Клиск что-то настраивает и изменяет, цветов на мониторе становится ещё больше.* Если мы усилим чувствительность приборов, то можно увидеть, что при желании это существо способно видеть даже наше собственное излучение!;;;
;Кхм. Ауру что ли?;12;;
12;Ауру? *Клиск не понимает.*;;;
;Не обращайте внимания. Я вас понял.;13;;
13;*Не особо обращая на тебя внимание, клиски оживлённо болтают между собой.*;;;
;А почему мы - тусклые пятна?;11;;
;Странно. Такие яркие цвета.;14;;
;Излучение? Стоп. Мы в космосе, где есть своё излучение, на космическом корабле, где оно тоже есть… разве камень не должен чувствовать себя… эм… слегка неуютно?;15;;
;Это всё очень хорошо, а общаться-то я с ним смогу?;17;;
14;Только для наших с вами глаз, капитан людей. Доставленное вами существо воспринимает всё это буквально поверхностью своего тела… мы не сможем это понять.;;;
;Эй. Говорите за себя.;13;;
;Пожалуй, да. В голове не укладывается.;13;;
15;*Клиски согласно кивают.* Да. Именно этим, мы считаем, и объясняется тот инцидент, произошедший у вас на корабле. Очутившись среди такого количества излучающих электромагнитные волны объектов, ваш инопланетянин попросту опешил и впал в состояние истерики. Или он спал и ворочался во сне.;;;
;Серьёзно?;16;;
16;*Клиски щёлкают неудержимым глупым смехом.*;;;
;Сами такие.;13;;
17;*Оператор терминала услужливо отвечает.* Мы постараемся что-то сделать, капитан людей. Вы сможете общаться и он даже будет вас понимать… но вы слишком несхожие, слишком разные. Вам придётся очень осторожно подбирать слова, ведь как минимум - он может вас не понять, как максимум - напасть на нас.;;;
;Понятно. Так что мне делать?;18;;
18;*Клиск подталкивает тебе клавиатуру. С клисканским алфавитом, она немногим отличается от своего земного аналога, разобраться достаточно просто.* Общайтесь. Вводите текст, отправляйте текст. Остальное сделает техника.;;;
;"""Привет""";19;;
;"""Приветствую тебя, существо!""";32;;
;"""Эй, проснись!""";28;;
19;"*Камень ощутимо вибрирует. Изображение на мониторе слегка тускнеет. В маленьком окне вывода текста появляется несвязная мешанина символов. Тем не менее, три различимых слова в ней есть: ""Кто?"", ""Много."", ""Странно."".*";;;
;"""Мир. Не бойся.""";20;;
;"""Ты - в космосе, тебя приветствуют народы клисков и людей. Кто ты?""";22;;
;"""Не понял.""";23;;
;"""Живые. Как ты.""";24;;
20;"""Бояться? Бояться? Бояться? Бояться? Бояться? Бояться?"" *Очередной поток мешанины из символов.* ""Что?""";;;
;"""Мы тебя не обидим.""";21;;
21;"""Обидеть? Обидеть? Обидеть? Обидеть? Обидеть? Обидеть?"" *Мешанины гораздо меньше, теперь уже бывшее в переводе слово переведено иным образом.* ""Что это?"" *Символы, снова символы.* ""Кто?"", ""Много"", ""Странно"".";;;
;"""Мир. Не бойся.""";20;;
;"""Ты - в космосе, тебя приветствуют народы клисков и людей. Кто ты?""";22;;
;"""Не понял.""";23;;
;"""Живые. Как ты.""";24;;
22;"*Камень вздрагивает. Окно вывода текста заполоняет многостраничный бессвязный набор букв и цифр. Клиск-оператор терминала вежливо щёлкает.* Говорите проще, капитан людей, он вас попросту не понимает. *На экране то же, что уже на нём было: ""Кто?"", ""Много"", ""Странно"".*";;;
;"""Мир. Не бойся.""";20;;
;"""Ты - в космосе, тебя приветствуют народы клисков и людей. Кто ты?""";22;;
;"""Не понял.""";23;;
;"""Живые. Как ты.""";24;;
23;"""Кто? Много. Странно. Кто? Много. Странно. Кто? Много. Странно. Понимай.""";;;
;"""Мир. Не бойся.""";20;;
;"""Ты - в космосе, тебя приветствуют народы клисков и людей. Кто ты?""";22;;
;"""Не понял.""";23;;
;"""Живые. Как ты.""";24;;
24;"""Светлотьма. Светлотьма. Светлотьма.""";;;
;"""Мы такие. Ты нет.""";25;;
;"""Разные.""";26;;
;"""Мы - другая форма жизни.""";25;;
25;*Нет внятного ответа. Очевидно, камень тебя не понял.* ;;;
;И что мне делать?;22;;
26;"""Таракашки.""";;;
;"""Таракашки?""";27;;
27;"""Светлотьма, маленькая. Они. Светлотьма, большая. Вы. Таракашки, тоже."" *Снова большой объём непереведённых символов, но уже гораздо меньший, чем раньше. В конце вопрос.* ""Где?""";;;
;"""Очень высоко.""";38;;
;"""Космос.""";36;;
;"""Небо.""";37;;
28;*Камень отбивает чёткую дробь на металлическом полу, раскачивается из стороны в сторону. Клиски отпрянули назад, но царапинами на полу всё и кончилось. Ответа нет.*;;;
;"""Привет""";19;;
;"""Приветствую тебя, существо!""";32;;
;"""Повторяю: проснись!""";29;;
29;*Камень снова сдвигается, теперь уже на более внушительное расстояние. По монитору идут помехи. Ответа по прежнему нет.*;;;
;"""Привет""";19;;
;"""Приветствую тебя, существо!""";32;;
;"""Да просыпайся же!""";30;;
30;*Камень поворачивается вокруг своей оси и… бабах! Научный термин отключается. От него начинает ощутимо нести горелым пластиком. Снова повернувшись вокруг своей оси, камень начинает надвигаться на вас. Похоже, что если он и проснулся, то в плохом настроении. Надо убегать.*;;;
;*Убегать!*;31;;
31;*Не слишком-то хорошо всё кончилось, хотя и без жертв. В лабораторию никого уже не пустили, но даже стоя за тяжёлой дверью можно было слышать, как катается туда и сюда булыжник, размалывая в крошку хрупкие приборы. И если на Авроре его удалось каким-то образом успокоить, то клискам пришлось открыть наружные лабораторные люки, и камень вынесло в открытый космос. Так это всё и закончилось. Стоит лишь добавить: деньги за ущерб клиски требовать не стали, но и возвращать уже заплаченное отказались.*;;;
;…;-1;;2
32;*И-и-и… ответа нет. Просто нет.*;;;
;"""Привет""";19;;
;"""Приветствую тебя, существо!""";33;;
;"""Эй, проснись!""";28;;
33;*Ответа снова нет.*;;;
;"""Привет""";19;;
;"""Приветствую тебя, существо!""";34;;
;"""Эй, проснись!""";28;;
34;*Неа. Камень не отвечает.*;;;
;"""Привет""";19;;
;"""Приветствую тебя, существо!""";35;;
;"""Эй, проснись!""";28;;
35;Капитан людей! *Оператор терминала нервно щёлкает.* Хватит, просим вас.;;;
