0;What? An unusual alien?;;;
;That's right. It's a… uhm… a living rock. It's hard to believe, but that's true.;1;;
1;*The Klisk clicks suspiciously, but that is the only indication of how sceptical he is.* I see, human captain. And... and you want to talk to it... as I understand?;;;
;Yes. I think it could help resolve some issues we have.;2;;
2;We could try, human captain. The klisks have never met aliens like that, but our methods allow communication even with creatures that simply cannot perceive carbon-based life forms. We'll try. *The Klisk rubs his hands.* Five credits.;;;
;Isn't that too much?;3;;
3;The price is right! *The Klisk looks a bit offended.*;;;
;Okay, okay… I'll transfer the money, just help me talk to that rock.;4;credits > 4;
;I can't. Unfortunately, I don't have that kind of money on me. I think I'll talk to you when I have it.;-1;;
4;*The Klisk nods.* We're waiting for you onboard our ship, Captain.;;;
;…;5;;
5;"*It really wasn't easy, you were right to give them the five credits. The rock was dragged to the Klisk lab (a very unusual place; for example, that thing over there looks like some kind of probe with bubbles on it), and a good dozen of scientists are working with it, their grav platforms buzzing like giant bees. It's been going on for over an hour, so apparently the attempts to contact the rock have been unsuccessful. The Klisks only managed to find out one thing for certain: the rock really is alive.*";;;
;You almost done?;6;;
;*wait*;7;;
6;"*A Klisk floats past you and clicks annoyedly, snapping something about ""dumb barbarians with no respect for…"" No one except him pays you any attention.*";;;
;Yeah, you too. *wait*;7;;
7;*You even have to send for food to the Aurora because it's taking too long. Tired Klisks are reduced to methods that look primitive even to a human: one of the scientists is hammering some kind of pin into the rock, with cables leading from it to the research terminal.*;;;
;Are you sure it won't hurt it?;8;;
8;The pin or the rock? *The scientist controlling a small robot that's hammering the pin in clicks, laughing.* Don't worry, human captain. You saw it, we've tried many things, right? In this case... *He grunts, squeezing the remote violently.* We need... *The robot gives the pin two strong hits, the metal rod disappears inside the rock.* A different approach! It's done! Turn it on! *One of the Klisks performs a solo on the keyboard and... Bam! The air is suddenly full of dust and ozone. What is this strange feeling? Wow. Your hair stood up under the uniform.*;;;
;Is that… is that safe?!;9;;
9;*The Klisks can't hear you. They're crowding around the research terminal and clicking loudly, speaking fast. It looks like they've managed to do something.* Human captain! *One of them, apparently the boss, motions you to come up.* Come here! You have to see it!;;;
;Oh… it's all so… uhm… unusual.;10;;
