0;«Аврора-2», прием! Говорит наземный отряд, прием!;
;«Аврора-2» на связи, говорит капитан, принято.;1
1;Капитан, сэр… никакой живности на планете нет. Ни на земле, ни под землей. Но сканеры будто с ума сошли! Капитан, похоже, что они так реагируют на камни…;
;Камни?!;2
2;Так точно, сэр! Регистрируем какое-то подобие альфа-волн и биоритмов от некоторых камней. Что нам делать, капитан? Нам взять один из камней на корабль?;
;Странное дело… Мне нужно связаться с научным отделом. Ожидайте… Гордон! Слышишь меня?;3
3;К-капитан? *Гордон выглядит немного неряшливо, у него воротник рубашки в… хм… горчице, что ли?*;scientist_dialog
;У нас тут кое-какая проблема с этой планетой. А еще у тебя капля горчицы на воротнике.;4
4;Это не горчица, это агар. *Гордон фыркает и отмахивается* А что за проблема, сэр?;scientist_dialog
;Камни. Солдаты сообщают, что сканеры регистрируют у них мозговые волны и биоритмы. Похоже, что наш корабельный сканер тоже их засек.;5
5;Э-э-э… мыслящие? Живые камни, к-капитан?;scientist_dialog
;Похоже, что да… Отряду нужно отдать приказ: брать или не брать один из этих камней на анализ.;6
6;*Гордон уже открыл рот, чтобы ответить, но, кажется, осекся* Они… хм… Если они живые, это одно. А если разумные? Это совсем другое. Оч-ч-чень сложный вопрос, к-капитан. Можем ли мы позволить себе забрать разумное существо с родной планеты без спроса? *потирает переносицу* Если оно, конечно, действительно разумно.;scientist_dialog
;Живые или разумные… Какая нам разница? Это же просто камни.;7
;Рассуждаешь об этике? А я думал, что твоя тяга к вивисекции окажется сильнее.;9
;Так что же делать?;11
;Пожалуй, я знаю, что делать.;14
7;Я п-понимаю, капитан, не так уж легко воспринимать камень разумным, но-о-о… *Гордон запинается и неряшливо чешет затылок* А если они разумные, и мы заберем одного из них? Ведь это будет похищением самой настоящей личности, мирного че... существа! Это в высшей степени... *морщится* ...антинаучно!;scientist_dialog
;Антинаучно? Из академического курса истории я помню «Отряд 731».;8
8;*окончательно стушевавшись, Гордон бурчит что-то про новые времена, гуманизм и сострадание*;scientist_dialog
;Рассуждаешь об этике? А я думал, что твоя тяга к вивисекции окажется сильнее.;9
;Так что же делать?;11
;Пожалуй, я знаю, что делать.;14
9;Я — ученый, к-капитан. Не варвар.;scientist_dialog
;Вскрывать тела некоторых разумных существ это тебе не мешало.;10
10;Трупы. Для изучения я могу вскрыть мертвого клиска, борка, человека… Убить его ради этого? *Гордон отрицательно качает головой*;scientist_dialog
;Живые или разумные… Какая нам разница? Это же просто камни.;7
;Так что же делать?;11
;Пожалуй, я знаю, что делать.;14
11;Тот случай, к-капитан, когда я снимаю с себя всю ответственность и перекладываю ее на вас. Я подчиняюсь вашим приказам. Что вы скажете, с тем я и соглашусь.;scientist_dialog
;Как-то это не очень-то справедливо, Гордон.;12
12;Вы — главный. Я — нет. *Гордон трет переносицу и на пару секунд опускает глаза*;scientist_dialog
;Живые или разумные… Какая нам разница? Это же просто камни.;7;;;
;Рассуждаешь об этике? А я думал, что твоя тяга к вивисекции окажется сильнее.;9;;;
;Пожалуй, я знаю, что делать.;14;;;
13;*немного подумав, Гордон отвечает* Это хорошая идея, к-капитан. Конечно, риски есть… А если камни окажутся агрессивными? Но… Я считаю, что предложение хорошее. *кивает*;scientist_dialog;;;
;Живые или разумные… Какая нам разница? Это же просто камни.;7;;;
;Рассуждаешь об этике? А я думал, что твоя тяга к вивисекции окажется сильнее.;9;;;
;Так что же делать?;11;;;
;Пожалуй, я знаю, что делать.;14;;;
14;В таком случае я вам не нужен, капитан? *Гордон уходит, даже не отключив камеру. Почти сразу можно увидеть, как он кого-то начинает распекать, размахивая руками.*;scientist_dialog;;;
;Наземный отряд, вы слышите?;15;;;
15;Сэр?;;;;
;Берите какую-нибудь каменюку в шаттл, мы изучим ее на корабле.;16;;;stone_taken
;Сворачивайтесь и уходите, с собой ничего не брать.;16;;;
16;Так точно, сэр! Принято! *Щелчок. Видимо, они уже приступили.* ;;;;
;…;-1;;;
