0;*Генри стоит в разгромленной лаборатории. За его спиной бегают солдаты и суетятся медики.* Капитан, мы выломали дверь. Но мы, похоже, опоздали: камень разгромил тут все, почти все ученые погибли.;;;
;Черт. Есть выжившие?;1;;
1;Гордон жив, хотя и получил тяжелые травмы. Этот ученый явно крепче, чем кажется. Врачи говорят, что он выкарабкается, скорее всего. Есть еще пара человек, но вот насчет них прогноз не столь благоприятен.;;;
;Что с камнем?;2;;
2;Крепкая зараза, наше ручное оружие против него не очень эффективно, однако выстрелы вроде бы его оглушили. Пока он в отключке, мы перенесли его в пустой трюм — пусть катается там сколько хочет, когда придет в себя.;;;
;Хорошая идея. Оставим его там, пока не поймем, что с ним делать.;3;;
;Это слишком опасно, мы не можем позволить себе повторения трагедии. Откройте шлюз и выкиньте его в космос.;5;;
3;А что вы планируете делать? Изучать его снова наши ученые вряд ли захотят. И мы не сможем обеспечить им безопасность, если этот булыжник снова решит атаковать.;;;
;Может, клиски подскажут. Они много знают о других формах жизни.;4;;
4;Да, это хорошая идея, сэр. Вынужден отключиться, тут еще порядок наводить.;;;
;…;-1;;
5;Вы уверены?;;;
;Да, я уверен. Открывайте шлюз. Я не намерен больше рисковать жизнями членов экипажа.;-1;;1
;Нет, я передумал. Давайте пока его оставим.;3;;
