0;"*Камень всё такой же, стоит всё на том же месте. Вроде бы ничего и не изменилось, но… нет, на одном из мониторов исследовательского терминала проигрывается какой-то фильм. Кажется, это что-то из нео-классики Голливуда. Вкак и в прошлый раз, камень сразу замечает вошедшего.* ""Капитан! Привет! Сказать, что ты придёшь и придти! Я ждать!""";;;;
;"""Привет. Зачем ты меня ждал?""";1;;;
1;"""Столько всего рассказать… Столько всего думать… Я знать, что такое думать! Я знать, что такое знать!"" *Фильм отключается, на мониторе снова видна мешанина пульсирующих цветов.* ""Всё так необычно…""";;;;
;"""В прошлый раз я просил тебя рассказать о твоём народе… ты не смог. Может быть сможешь сейчас?""";2;!flag5;;flag5
;"""Так всё-таки, что ты? Я знаю, что уже спрашивал тебя об этом, но ты так и не смог ответить мне.""";16;!flag6;;flag6
;"""Расскажи мне о своей планете. Ты же знаешь, что такое планета, да?""";28;!flag7;;flag7
;"""Полагаю, на сегодня этого хватит.""";35;flag5 && flag6 && flag7;;
;*уйти*;-1;;;
2;"""Да… не мочь… сейчас…"" *Пара строчек непереведённых символов.* ""Мы - камни, капитан. Кататься туда и сюда. Жить так. Всё в порядке и хорошо.""";;;;
;"""А кто вами управляет? Есть же у вас лидер?""";3;;;
;"""То есть, просто так и живёте? Катаясь туда и сюда, и… ничего больше? Как дикие звери?""";6;;;
;"""Я не понял, а есть ли у вас дома, города… хоть какая-то цивилизация?""";9;;;
;"""Вы не возделываете землю, не добываете полезных ископаемых, не живёте племенами. Мне очень трудно это осмыслить.""";12;;;
;"""Понятно. Давай поговорим о другом.""";999;;;
999;"""Камень ждёт.""";;;;
;"""В прошлый раз я просил тебя рассказать о твоём народе… ты не смог. Может быть сможешь сейчас?""";2;!flag5;;flag5
;"""Так всё-таки, что ты? Я знаю, что уже спрашивал тебя об этом, но ты так и не смог ответить мне.""";16;!flag6;;flag6
;"""Расскажи мне о своей планете. Ты же знаешь, что такое планета, да?""";28;!flag7;;flag7
;"""Полагаю, на сегодня этого хватит.""";35;flag5 && flag6 && flag7;;
;*уйти*;-1;;;
3;"""Управлять? Лидер? Что такое лидер?""";;;;
;"""Самый главный у вас.""";4;;;
4;"""А зачем мне главный? Я знать, что делать. Я катиться туда и сюда, жить. Зачем лидер?""";;;;
;"""Чтобы всем жить было легче… ну, или как-то так. Распределять обязанности, работу…""";5;;;
5;"*Непереведённые слова, фраза.* ""Не понимать. Мы кататься туда и сюда, и всё, всё хорошо и хорошо. А зачем главный? Незачем.""";;;;
;"""А кто вами управляет? Есть же у вас лидер?""";3;;;
;"""То есть, просто так и живёте? Катаясь туда и сюда, и… ничего больше? Как дикие звери?""";6;;;
;"""Я не понял, а есть ли у вас дома, города… хоть какая-то цивилизация?""";9;;;
;"""Вы не возделываете землю, не добываете полезных ископаемых, не живёте племенами. Мне очень трудно это осмыслить.""";12;;;
;"""Понятно. Давай поговорим о другом.""";999;;;
6;"""Звери? Таракашки? Нет! Мы не таракашки! Мы кататься туда и сюда!""";;;;
;"""Нет, ты не понял. Что-то же отличает вас от таракашек?""";7;;;
7;"""Мы не таракашки! Что ты такое говорить?!""";;;;
;"""Да погоди ты…""";8;;;
8;*Абзац непереведённого текста.*;;;;
;"""А кто вами управляет? Есть же у вас лидер?""";3;;;
;"""То есть, просто так и живёте? Катаясь туда и сюда, и… ничего больше? Как дикие звери?""";6;;;
;"""Я не понял, а есть ли у вас дома, города… хоть какая-то цивилизация?""";9;;;
;"""Вы не возделываете землю, не добываете полезных ископаемых, не живёте племенами. Мне очень трудно это осмыслить.""";12;;;
;"""Понятно. Давай поговорим о другом.""";999;;;
9;"""Цивилизация? Что такое цивилизация? Я знать, что такое дом и город. Цивилизация?""";;;;
;"""Сложно объяснить. Если вкратце, это то, кто вы и чего вы добились за всё время, в течение которого вы были.""";10;;;
10;*Камень не отвечает.*;;;;
;"""Ладно, не будем… Почему вы ничего не строите?""";11;;;
11;"""Зачем? Мы жить и кататься туда и сюда. Зачем дом и город? Кататься по дому и городу? Мало места.""";;;;
;"""А кто вами управляет? Есть же у вас лидер?""";3;;;
;"""То есть, просто так и живёте? Катаясь туда и сюда, и… ничего больше? Как дикие звери?""";6;;;
;"""Я не понял, а есть ли у вас дома, города… хоть какая-то цивилизация?""";9;;;
;"""Вы не возделываете землю, не добываете полезных ископаемых, не живёте племенами. Мне очень трудно это осмыслить.""";12;;;
;"""Понятно. Давай поговорим о другом.""";999;;;
