0;*Камера наблюдения за грузовым трюмом. Там только камень со своим терминалом, больше ничего. Трансляция прямо на капитанский компьютер. Всё просто. Осталось лишь нажать кнопку и открыть наружные шлюзы.*;;;
;Гордон, точно никак нельзя связаться?;1;;
;*открыть шлюз*;2;;
;*не сейчас*;-1;;
1;К-к-капитан, никак. Мы п-пытались, но связь через её терминал будет только когда она вылетит наружу. До этого н-никак. Н-никак. *Гордон кивает.*;;;
;*открыть шлюз*;2;;
2;"*Что же, вот и оно. Шлюз открыт. Вместе с рванувшимся наружу воздухом камень медленно вылетает, на крепком проводе таща за собой свой терминал. Зрелище обыденное. Простой сброс простого груза, но…* ""Связь есть, капитан. Я лечу.""";;;
;"""Ты уверена? Мы ещё можем тебя подхватить!""";3;;
;"""Береги себя.""";4;;
;*отключиться*;-1;;1
3;"""Это моё время, капитан людей. Моя жизнь, и я поступаю правильно.""";;;
;"""Береги себя.""";4;;
;*отключиться*;-1;;1
4;"*Ответа нет. Хотя… что это? Последним сообщением она решила отправить это.* ""В саду, где раскрылись ирисы, Беседовать с старым другом своим,- Какая награда путнику!""";;;
;Я тоже на это надеюсь.;-1;;1
