0;*Ты стоишь за трибуной, Килмови — сбоку от тебя. Небольшая комната забита народом. Повсюду сверкают вспышки фотоаппаратов. Гул стоит ужасный. Килмови, уставший от всего этого, в конце концов начинает махать руками и стучать по трибуне.* Господа, господа! Я требую тишины!;;;;
;…;1;;;
1;*Шум стихает только пару минут спустя. Вспышки и щелчки все еще раздаются то тут, то там, но это уже кажется неизбежным злом. Килмови снова берет слово.* Господа журналисты, должен вас предупредить, что мы не располагаем большим количеством времени. Я прошу вас отнестись к этому с пониманием. *Новая волна шума, в котором уже явственно слышится одобрение. Немного порыскав глазами среди леса поднятых рук, Килмови жестом указывает на одну из них.*;;;;
;…;2;;;
2;*Это девушка. Лет двадцать, может даже меньше. Грудь третьего размера и пиджак в обтяжку.* Блогерская платформа «Империя»! Расскажите, чем встретил вас космос?! Вступали ли вы в контакт с инопланетянами?!;;;;
;Ха. Чем встретил меня космос? А чем встретила Колумба «терра инкогнита»? Чем встретили древних викингов берега Америки? Чем встретила Монголия Марко Поло? Ацтеки — конкистадоров? Космос встретил меня новизной, спасительной для нашей планеты, для всех нас.;3;;;message=1
;Вы прямо так сразу, с места в карьер. Я смущен. Знаете, трудно сказать. Это не первый мой межпланетный перелет, и потому я затрудняюсь дать ответ на ваш вопрос. Космос, такой незнакомый для вас, для меня стал уже привычным.;3;;;message=2
;Трудно говорить только за себя. Ведь все мы на корабле — команда. И пусть я самый главный, и пусть ответственность на мне… Космос встретил нас многим — красотой, бесконечностью. А еще, и это самое главное, — возможностями. Это очень хорошее слово — возможности.  Для меня, для моей команды, для всей Земли.;3;;;message=3
3;*Девушка активно жестикулирует. Грудь слегка трясется.* А второй! Второй мой вопрос!! Судя по информации, поступившей от «Авроры», они встречали инопланетян!! А вы?! Если встречали, то как далеко зашли в развитии межпланетных отношений?!;;;;
;Конечно, встречал. Или вы имеете в виду нечто большее? Фу!;4;;;
;Да, мы вступали в контакт с инопланетянами. Пока их было не так уж и много, но общение задалось. Про развитие я, если честно, не понял.;4;;;
;Мы не одни во вселенной. Трудно сказать, хорошо это или плохо, но так оно есть. И, вполне возможно, некоторые обычаи наших братьев по разуму покажутся нам странными, не знаю.;4;;;
4;*Зал прорывает. Юную журналистку сметают в задние ряды, толпа резко хлынула к трибуне. Килмови хмурится.* Господа! Хватит! Хватит! Я буду вынужден завершить конференцию досрочно!;;;;
;…;5;;;
5;*Понемногу все снова стихает. Килмови вновь тщательно отбирает человека, и теперь вопрос задает некий толстяк, выглядящий несколько менее презентабально.* Джордж Зотов. Издание «Мировой голос». Каковы результаты ваших контактов с инопланетянами?;;;;
;Мне кажется, вы пересмотрели фильмов. Конкретизируйте свой вопрос.;6;;;
6;*журналист несколько смущен* Эм… Инопланетяне. К чему привело ваше с ними общение? Можем мы рассчитывать на долговременное сотрудничество?;
;Ничего особенного. Это были легкие, ничего не значащие сеансы обмена информацией. Мне кажется, им в какой-то мере на нас плевать. Не думаю, что так будет всегда, но пока все обстоит именно так.;7
;Можно сказать, что мы приценились друг к другу… но не более того. Конечно же, мы уже планируем налаживать более прочные, стабильные связи, вполне возможно, что даже торговые. Это дело времени.;7
;Думаю, что утверждать что-то конкретное еще рано… Но, конечно, я постарался показать наш народ развитым и мирным, достойным длительного и плодотворного сотрудничества. Искренне надеюсь, что мне это удалось.;7
7;*Удовлетворенный пространным ответом, журналист отходит в сторону. Сразу же, буквально одновременно с одобрительным жестом Килмови, на тебя оказывается направлена камера.* Прямой эфир! Добрый день, дорогие друзья, сегодня мы находимся на пресс-конференции, посвященной возвращению корабля «Аврора-2» из экспедиции! Времени у нас немного, поэтому не будем медлить. Капитан, планету все так же пожирает кризис. Вам удалось найти решение проблемы?;
;Да. Выход есть. Я пока не могу сказать большего, но лично меня кризис уже не пугает. Вам бы я тоже советовал не падать духом.;8
;Да, безусловно. Колонизация иных планет — это то, что спасет Землю, и, вполне возможно, что так мы и поступим.;8
;Леди, вы слишком много взваливаете на «Аврору-2». Мы просто люди, поймите. Однако, некоторые варианты у нас уже есть.;8
8;*Следующий. В лицо опять тычут микрофоном.* А конфликты! Были ли конфликты?!;
;Нет. Однако, те, кто перекует свои ружья на плуги и мотыги, будут возделывать поля тех, кто свои ружья не перековал. Надеюсь, вы меня поняли.;9
;Приходилось пострелять, конечно, но ничего серьезного. Бандитов, пиратов и прочих отщепенцев не любят даже в далеком космосе.;9
9;*следующий вопрос возникает из ниоткуда* «Аврора-1»! Что вы скажете насчет первой «Авроры»?!;
;…;10
10;*Килмови вздымает руки вверх, но объективы камер уже направлены на тебя, и вопрос муссируется буквально всеми* «Аврора»! Пропавший корабль! Что вы скажете насчет него?!;
;Моя задача — не искать «Аврору». Моя задача — спасать планету. Заметьте, я говорю не «людей», ведь тут масштабы гораздо больше. И если вы считаете, что мне стоило бросить все и гоняться за призраками…;11
;Я полагаю, что первостепенная задача моего корабля — поиск путей для выхода кризиса. Только найдя способ для спасения Земли, можно приступать к поискам «Авроры». Я считаю, что так будет правильно.;11
;Мне понятно ваше волнение за наших соотечественников. Могу вас обрадовать: мы наткнулись на след «Авроры» и непременно будем идти по нему. Земляне своих не бросают, не так ли?;11
11;*Снова шум и гам. Трудно понять настрой народа, но этого и не требуется. Килмови выразительно смотрит на часы, в нескольких фразах прощается, после чего вы с ним выходите через боковую дверцу.*;
;Это было… Надеюсь, больше мне в этом участвовать не придется.;12
12;*Килмови нехорошо улыбается* И не надейся.;
;…;-1
