0;*на экране видеосвязи появляется неизвестное тебе существо. Нельзя понять какие эмоции оно испытывает, но агрессивным его явно назвать нельзя* Вы… Кто?;;;;
;Мы приписаны к планете Земля,и представляем расу людей. Это наш первый контакт с вами.;1;;;
1;Хорошо…. *существо издает непонятные щелчки* Клиски. Это мы.;;;;
;Нам очень приятно и радостно видеть наших братьев по разуму.  Вы – вторые, кого мы увидели. Первыми нас повстречали Садовники.;2;;;
2;*Клиска передергивает. По крайней мере, это выглядит так.* Тц-тц-тц-тц! *Клиск издает животные щелчки*Они продали вам информацию? Продали? Какую?;;;;
;Нет, мы не заключали сделок. Между нами произошел очень странный разговор…. Садовники посоветовали нам прежде всего связаться с вами. Они сказали, что это облегчит связь  с другими инопланетянами.;3;;;
3;Странно. Садовники заключили с нами сделку… и не заключили ее с вами.;;;;
;Этостранно?;4;;;
4;Это неважно. *снова щелчки* Они были правы. Если вы хотите связаться с другими расами, вы обращаетесь к клискам. Клиски – лучшие торговцы во всем Средоточии. ;;;;
;Клиски…. Расскажите мне о вашем народе?;5;;;
;Чем вы торгуете?;6;;;
;И все же, о сделке. Почему это неважно? Что за сделку они с вами заключили?;7;;;
;Да. Мы хотим узнать о других инопланетянах, и связаться с ними. Не знаю. Наладить контакты, заключить договора о взаимном сотрудничестве….;8;;;
5;Клиски. Вам ничего не даст перевод этого слова, поверьте. Мой народ испокон времен живет торговлей, нас ведет Торговый Кодекс.;;;;
;Торговый Кодекс?;9;;;
9;Да. В нем мы находим знания о правильной ценности сущего, и о благоприятном взаимообмене. Клиск подчинен Торговому Кодексу, и это ведет Клиска к процветанию.;;;;
;Погодите-погоди. То есть, Торговый Кодекс… эм-м… это ваша религия?;10;;;
10;Нет! *Клиск снова щелкает, однако теперь щелчки более частые* Клиски отошли от таких понятий. Торговый Кодекс – это другое. Сказал же, в нем лежит знание о ценности сущего и о благоприятном обмене.;;;;
;Не религия, так философия жизни. Но все равно, мне это кажется несколько странным.;11;;;
11;Вы не клиск. Вам не понять.;;;;
;Наверное, оно действительно так.;4;;;
6;Всем, что нам выгодно.;;;;
;Эм…. Полезные ископаемые? Планеты? Всем – это растяжимое понятие.;12;;;
