0;"*планета клисков красиво смотрится из космоса. Очень необычной выглядит громадная станция, которая располагается на ее орбите. Говоря ""громадная"", стоит понимать, что она действительно громадная. В пересчете на людей, способна вмещать не меньше пары миллионов*";;
;….;1;
1;*на запрос связи отвечают быстро. Слышны характерные клискам животные щелчки* Неизвестный корабль…. Людяне?;;
;Почти. Люди, или Земляне. Аврора-2, приписаны к Земле. Странно, да?;2;
2;*щелчки замолкают* Что тут странного?;;
;Эм…. Да нет, ничего. Просто… это шутка. Ирония.;;3
3;У людей дурацкое чувство юмора. Хуже чем у борков. *торопливые щелчки смеха* Ладно. С какой целью прибыли? У вас торговый договор?;;
;Нет, у нас дипломатическая миссия. Мы хотим установить отношения между планетами клисков и людей. ;4;
4;А я думал, что торговый договор…. Это угодно Кодексу…. *медленные щелчки легкой грусти* У вас очень большой корабль. Он не сможет полноценно состыковаться с нашей станцией.;;
;А причем тут это?;5;
5;*снова щелчки смеха* Вам нельзя садиться на Клискаду. Никому нельзя. Запрещено, чтобы не портить экосистему. Нужное вам представительство располагается на этой станции. Вы способны добраться до нее сами? Если нет, вам выделят небольшой челнок.;;
;Нет, я смогу добраться до вас сам. Есть ограничения в команде представителей?;6;
6;Кодекс гласит, что не надо ограничивать благие намерения. Благие. Вы понимаете меня?;;
;О. Вы мастер тонкого намека.;7;
7;*щелчки смеха* Стыкуйтесь к пятому доку. На нем пять обычных огней, и шестой синий, мигающий. Вас будут встречать.;;
;Благодарю.;-1;
