0;*Только после сближения со станцией становится возможным понять, насколько она огромна. Трудно представить, как создавалось это великолепное сооружение.*;interior_dialog
;…;1
1;*Нужный док пилот нашел очень легко. Еще легче ему удалась стыковка. Док оказался универсальным, приспособленным под корабли разного типа. Небольшой шаттл разместился там уверенно и безопасно. Шлюз закрылся, помещение заполнилось воздухом. В нем узнаются легкие ароматы топлива и машинного масла, а также менее уловимые нотки пряности, доносящиеся от встречающих клисков.* Капитан людей? *к тебе обращается... толстая улитка на летающей платформе*;interior_dialog
;Да, это я. Впервые вижу клиска вживую.;2
2;А я — человека. Вы очень хрупкие. *клиск говорит с искренним любопытством* Извините за этот вопрос, он наверняка бестактный… Скажите, а каково оно, с такой неустойчивостью?;
;Неустойчивостью?;3
3;*клиск дергает усиком и указывает рукой на ноги твоих солдат* Это. Эти… эти ходульцы. Ходильцы. Вы на них балансируете. Разве это удобно? ;
;Тот же вопрос могу задать и вам.;4
4;На антиграве очень удобно.;
;Закончим. Давайте к делам?;7
;Нет, я о том, как вы ходите без антиграва. Наверное, не очень удобно. Иначе зачем вам антиграв?;5
5;Вы ошибаетесь, очень удобно. Устойчиво, мягко. Говоря же об антигравах… *Клиск щелкает без ритма. Видимо, это смущение.* Слизь.;
;Дальше не надо. Вы должны нас сопроводить?;7
;Какая слизь?;6
6;*Клиск с небольшим усилием свешивает с платформы кусочек своего тела. Видно, что живот у клисков бахромистый и мягкий, притом весьма мускулистый. Но продемонстрировать ваш собеседник хотел не это. На металлический пол дока с живота полилась тонкая струйка тягучей зеленоватой слизи. Пряный запах стал еще явственнее. Интересно, а возникло бы у кого-нибудь желание лизнуть?* Это неудобно в публичных местах.;
;Интересное зрелище. Мои знания о клисках сегодня очень обогатились. Но все же у нас есть дела. Вы должны меня куда-то сопроводить?;7
7;Я сопровожу вас в представительство корпорации «Вортангу». Наш дипломатический представитель является ее членом. Путь неблизкий. Нам придется пересечь два сегмента станции.;
;Хорошо. Мы будем следовать за вами. Давайте покончим с этим скорее.;16
;А разве станция делится на сегменты?;10
;Корпорации?;13
;Ваша станция такая большая…;8
8;Да. Планета не должна подвергаться влиянию извне. Именно поэтому основные промышленные и индустриальные комплексы располагаются именно здесь. Вас это удивляет?;
;Нет, это как раз таки неудивительно. Многие процессы более продуктивны в невесомости, и даже доставка грузов тут не особо проблемный вопрос, мы и сами используем подобные методы. Но тут важна разница масштабов! Я именно о самих размерах. Ваша станция… Она колоссальна!;9
9;Мы тоже очень ей гордимся. *клиск всем своим видом показывает, что так оно и есть на самом деле*;
;Тогда двинулись? Мы будем следовать за вами. Не хочется мешкать.;16
;Сегменты. Ваша станция сегментирована?;10
;Что за корпорации?;13
10;Да. Так она строилась. Сегменты большие.;
;И как вы ее построили? Это поражает.;11
;Пора двигаться. Давайте не задерживаться зря.;16
;Что за корпорации?;13
11;Если вы о технологиях, то я не уполномочен ими торговать. *щелчки становятся гулкими* Если вы о настрое, то на все наставление Кодекса. Знаниями, в нем хранящимися, это было сооружено.;
;Я не понимаю.;12
;Пора двигаться. Давайте не задерживаться зря.;16
;Что за корпорации?;13
12;Вы не клиск.;
;И что?;14
;Пора двигаться. Давайте не задерживаться зря.;16
;Расскажите мне о корпорациях.;13
13;«Вортангу». «Хаказар». «Фалронек». «Поракеф». «Троканфе». Кодекс их объединяет, дает мудрость прибыльно торговать и управлять Клискадой.;
;Погодите. Так что, Кодекс — это объединение корпораций?;15
;Пора двигаться. Мы будем следовать за вами.;16
14;Вы не клиск.;
;Пора двигаться. Мы будем следовать за вами.;16
;Расскажите мне о корпорациях.;13
15;*щелчки смеха* Что за чушь! Конечно же нет. Кодекс — это Кодекс. Конгломерат корпораций — это управляющий орган. Корпоратократия.;
;Вроде бы все понятно, но непонятно вообще ничего. Ладно. Думаю, мы застоялись тут, заговорились. Нужно двигаться. Вперед, мы за вами.;16
16;Конечно. *клиск поворачивается к вам задней частью и немного двигается вперед* Нам придется немного пройтись. В доках пассажирский транспорт использовать запрещено.;
;Мы не против.;17
;*молча следовать за клиском, желая поскорее пройти весь путь*;24
17;*Клиск двигается отнюдь не медленно — платформа без труда набирает скорость быстро идущего человека. Вы выходите из дока. Потолок сразу становится немного ниже. Обстановка вокруг очень индустриальная. Металлические стены, кое-где тронутые легкой ржавчиной, легкий треск клисков тут и там, запах какого-то масла. На протяжении нескольких сотен метров — как спереди, так и сзади — виднеются двери других доков.*;interior_dialog
;…;18
18;*Очередная дверь, мимо которой вы проходите, открыта. В доке ведется жаркая беседа на повышенных тонах. Некий клиск трещит что есть силы, ругается. Другой — видимо, пристыковавшийся — оправдывается, говоря что-то про тупого борка, который полез в драку и разбился.*;interior_dialog
;…;20
;Что там такое?;19
19;А разве я зна... *ваш сопровождающий поворачивается в сторону дока и прерывается* Погодите. Нет, эта ситуация мне знакома. Охранник для важного груза погиб. Ничего такого, замену скоро найдут. Борки. Борки тупые. Но в охрану лучше нанимать именно их.;
;…;20
20;*Примерно через сорок минут вы подходите к массивной двери. Клиск выглядит довольным прогулкой. Он подлетает к двери и что-то произносит… в свою платформу, да. Спустя несколько секунд дверь открывается.*;interior_dialog
;Ух ты, черт же возьми!;21
21;*Есть чему удивиться. Куда ни кинь взгляд — какие-то предприятия. И их шум. И их запах. Но все же это, скорее, напоминает очень неблагополучный район в каком-нибудь городе, чем сегмент космической станции. Только огромная дверь и все такой же металлический пол напоминают, что вы находитесь в искусственном сооружении.* Вижу, вас поразила наша станция.;interior_dialog
;Кажется, будто изнутри она больше, чем снаружи.;22
22;Возможно. Насколько я знаю, потолки… скрыты. Точно не скажу чем, не моя специализация. Оптические иллюзии.;
;Хм. Тогда понятно.;23
23;*Шум стоит повсюду, но клисков вокруг мало. А те, что есть, совсем не похожи на вашего сопровождающего. Кто-то движется по полу своим ходом, оставляя за собой клейкий, маслянисто-блестящий след. Кто-то передвигается на платформах другого типа, с мощными руками-манипуляторами.*;
;…;24
24;*Через полчаса пешего хода вы подходите к чему-то, что напоминает небольшой трамвайчик. Он пуст. Выглядит очень новым.* Прошу. *Двери открываются. Внутри полно места и очень светло, но нет ничего похожего на кресла или сиденья.*;interior_dialog
;Долго будем ехать?;25
25;Возможно. *Двери закрываются. Трамвайчик очень мягко трогается и быстро набирает скорость. Поскрипывают аммортизаторы, гудит двигатель. Сопровождающий клиск приземляет свой антиграв и как-то подбирается, устраиваясь поудобней. Похоже, что собирается вздремнуть.*;
;Вам не мешать?;26
;А что, мы будем долго ехать?;27
;Как у вас тут необычно. Это рабочий квартал?;28
;*ждать, смотреть в окно*;29
;*попытаться поспать стоя*;31
26;Мне все равно.;
;А что, мы будем долго ехать?;27
;Как у вас тут необычно. Это рабочий квартал?;28
;*ждать, смотреть в окно*;29
;*попытаться поспать стоя*;31
27;Не меньше двух часов. Станция очень большая. И самый большой ее сегмент — промышленный. В нем мы и находимся.;
;Вам не мешать?;26
;Как у вас тут необычно. Это рабочий квартал?;28
;*ждать, смотреть в окно*;29
;*попытаться поспать стоя*;31
28;Да. Промышленный сегмент. Почти полностью автоматизирован, всего двадцать клисков живой силы… *сопровождающий быстро и коротко щелкает, снова ерзает*;
;Вам не мешать?;26
;*ждать, смотреть в окно*;29
;А что, мы будем долго ехать?;27
;*попытаться поспать стоя*;31
29;*Сопровождающий клиск пару раз вздрагивает, а потом засыпает. Трамвайчик двигается быстро, но к выходу из сегмента подъезжает действительно очень нескоро. Там-то и становится видна разница. В жилых районах клисков гораздо больше, тоже стоит шум, но уже шум обычного города, а не промышленной зоны.*;alien_city_dialog
;*попытаться поспать стоя*;31
;*продолжать смотреть в окно*;30
30;*На въезде в жилой квартал рельсы внезапно делают резкую дугу вверх, и теперь трамвайчик едет достаточно высоко. Его покачивает сильнее. Обзор в окне теперь не такой хороший, но все равно видно, что активность в жилом сегменте высокая. Машины, клиски на антигравах, клиски на более простых платформах, клиски «пешком». Кое-где видны бродяги. Парочка борков в дорогой одежде устроилась на скамеечке возле фонтана, они о чем-то говорят.*;alien_city_dialog
;…;31
31;*Час и еще пара сегментов. Тот, в который вы въехали теперь, напоминает типичный деловой район в земном городе. Максимальная застройка. Похоже, что здесь вообще нет такого понятия как проезжая или пешеходная часть. Живое существо можно увидеть, только заглянув в окно одного из местных громадных комплексов. Трамвайчик останавливается на специальной платформе возле одного из них. На стене виднеется надпись «Вортангу». Значит, прибыли. Клиск взмывает, словно бы и не спал. Снова он впереди, вы за ним.* Надеюсь, поездка не была скучной.;alien_city_dialog
;Не совсем. Но давайте уже пойдем.;32
32;*В сотне метров от платформы расположился вход во внутренний двор компании «Вортангу». Массивные ворота распахиваются, открывая его вашему взору. Клиск спокойно вплывает внутрь, ничему не удивляясь, а вот чужому глазу есть на что посмотреть. Две статуи в центре. Одна — непонятный символ, вторая — какой-то клиск в натуральную величину. Хотя бы раз в минуту кто-то из служащих компании останавливается, чтобы поклониться сначала первой, а потом и второй статуе.*;alien_city_dialog
;Погодите. Что это такое? Что за статуи, и почему все им постоянно кланяются?;33
;*молча следовать за сопровождающим*;36
33;Это? *клиск останавливается, начинает редко и громко щелкать, его голос приобретает почтительный тон* Символ Кодекса. К Кодексу надо относиться с уважением. Второе — господин Элоо Вортангу. Основатель корпорации «Вортангу». В Кодексе сказано, что после буквы Кодекса надо уважать почтенного клиска, которому Кодекс принес успех и благосостояние. Каждый раз, проходя мимо этих двух символов, мы кланяемся им.;
;Интересно, но нужно идти дальше.;36
;И что, вы обязаны им кланяться? Это что-то типа религии?;34
34;Нет. *на заднем фоне один из клисков, на особо хорошо украшенном антиграве, опускается ниже и прикладывается усиками к постаменту* Не обязаны. Статуи — это просто статуи.;
;Двинемся дальше.;36
;Но тогда зачем?;35
35;Кодекс нужно уважать. И в Кодексе сказано, что клиск, которому Кодекс принес удачу, заслуживает уважения.;
;Не обязаны, но… Странно. Ладно. Двинемся дальше.;36
36;*Вы проходите в достаточно обычную дверь и следуете по коридорам здания. Потом лифт. Снова коридоры. Все очень широкое, расчитанное на клисков с их летающими и обычными платформами. Но на этом особенности и заканчиваются. В какую из дверей по пути ни глянь, всюду та же офисная работа, что и на Земле. Слишком долго наблюдать это зрелище не пришлось — вскоре сопровождающий клиск замер на месте.* Мы пришли.;
;Так. Мне сюда?;37
37;*Перед тобой массивная дверь. Не отличается от других ничем, кроме того, что в ней нет стекла. Непрозрачная.* Да, вам сюда. Как понимаете, говорить вы будете один на один. Вам что-нибудь рассказать о господине Эролоа?;
;Нет, не надо. Я и так потерял много времени.;-1
;Я вас слушаю.;38
38;*сопровождающий немного медлит, потом начинает быстро щелкать, а затем говорит* Он очень стар. Приверженец традиций. Но не чужд всему новому.;
;И как мне с ним себя вести?;39
39;*клиск взмахивает рукой и дергает усиками* Я не знаю.;
;Тогда пойду, пожалуй. Ребята, пожелайте мне удачи.;-1
