0;*Only when you get closer to the station do you realize just how big it is. It's hard to imagine how this great structure was built.*;interior_dialog
;….;1
1;*The pilot finds the correct dock very easily. The docking itself was even easier. The dock turns out to be an all-purpose one, suitable for ships of various types. The small shuttle lands steadily and safely. The airlock closes. The dock is filled with air. There are slight overtones of machine oil in it, and even slighter ones of spice from the Klisks coming out to meet you.* Human captain? *A... fat snail on a floating platform addresses you.*;interior_dialog
;Yes, it's me. It's the first time I've seen a Klisk up close.;2
2;Same for me with the humans. You're very fragile. *The Klisk speaks with earnest curiosity.* I'm sorry for asking, I'm sure it's bad taste... Tell me, how does it feel, being so unbalanced?;
;Unbalanced?;3
3;*The Klisk jerks an antenna and points to your soldiers' legs with his hand.* This. Those… walking thing. You balance on them. Isn't it uncomfortable?;
;I could ask you the same question.;4
4;The antigrav is very comfortable.;
;Good. Let's get to business.;7
;No, I'm talking about moving around without an antigrav. Can't be very comfortable. Otherwise, why would you even need antigravs?;5
5;You're wrong, it's very comfortable. You're steady, it's soft. And the antigravs… *The Klisk clicks without any rhythm. It must mean embarrassment.* Slime.;
;Don't tell me any more. Are you supposed to accompany us there?;7
;What slime?;6
6;*The Klisk hangs a part of his body from the platform with a bit of effort. You can see that the Klisks' stomachs are silky and soft, and also very muscular. But that is one thing. Another is that there is a thin stream of snot-like greenish slime dripping on the dock floor from the silky part. The spicy smell becomes more obvious. You wonder if anyone would want to lick it.* It's uncouth in public places.;
;Interesting sight. You have added considerably to my knowledge of the Klisks. But, we have business. Are you supposed to take me somewhere?;7
7;I'll take you to the Vortangu Corporation office. Our diplomatic representative is its member. It's a long way. We'll have to cross two segments of the station.;
;Good. We'll follow you. Let's get it over with as soon as possible.;16
;Is the station segmented?;10
;Corporation?;13
;Your station is so big…;8
8;Yes. The planet cannot be influenced from the outside. Because of that, our main industrial complexes are located right here. Are you surprised?;
;No, that in itself isn't surprising. Many processes are more efficient in zero gravity conditions, and even delivering cargo isn't much of a problem. We use similar methods ourselves. But what matters is the difference in scale! I mean, the size itself. Your station is... colossal!;9
9;We're very proud of it ourselves. *The Klisk really does look very proud of it.*;
;Let's get to it, then? We'll follow you. We don't want to waste too much time.;16
;"""Segments."" Is your station segmented?";10
;What was that about corporations?;13
10;Yes. That's how it was built. The segments are big.;
;And how did you build it? It's mind-boggling.;11
;It's time to move out. Let's not waste any more time.;16
;What was that about corporations?;13
11;If you mean the technology, I'm not authorized to sell them. *The clicks are louder now.* If you mean the motivation, it's the teachings of the Code. The knowledge in it built it.;
;I don't understand.;12
;It's time to move out. Let's not waste any more time.;16
;What was that about corporations?;13
