0;*ты входишь внутрь. Кабинет очень желтый, а пол очень липкий и шуршащий. Это все потому что он посыпан песком, а стены кабинета крашены в желтый цвет. Дипломатический представитель клисков - господин Эролоа, у противоположной входу стены кабинета. Он смотрит в окно, почти полностью его заслоняя своей необъятной тушей* Капитан людей... кха. Рад вас приветствовать.;;;
;Я тоже рад.;1;;
1;Попытайтесь не обращать внимания на мое обиталище. Знаю, оно кажется вам очень необычным…. *клиск отползает от окна, с мягким шуршанием, оставляя за собой след из влажного песка* Наша планета… там очень жарко. И песок. Много песка. По нему хорошо двигаться.;;;
;Я понимаю. Мне говорили, что вы приверженец старых традиций.;2;;
2;Точно…. *он подползает к некому подобию стола, ближе к тебе, и становится возможным разглядеть его получше. Эролоа очень стар, что видно даже непривычному к клискам глазу. Его бока мелко пульсируют, усики дергаются, а кожа неприятного коричневато-зеленого цвета* Я себе налью, уж извините. *Эролоа подбирается к шкафу, достает оттуда кувшин, и стакан с чем-то. К столу он подползает уже с полным стаканом* Мне много лет, господин капитан людей. Я уже могу позволить себе некоторую бестактность. Стулья у стены. Возьмите себе один, и садитесь сюда. Выпить вам не предлагаю, уж простите, вряд ли вы будете это пить.;;;
;….;3;;
3;*пока ты берешь стул, Эролоа отвлекается на небольшое пищание маленькой коробочки. Очевидно - средство связи* Да, это я. Что? Не долетел? Значит ищите замену. Ее нет? Хм…. Я подумаю. Я занят. *Эролоа кладет трубку, и отключает коробочку* Вижу, вы уже сели. Давайте сразу перейдем к делам, я не сторонник всех этих... *машет рукой*;;;
;Хорошо. Мы - люди, с планеты Земля, земляне. Я представляю свой народ. Мы хотим дипломатического сотрудничества с клисками.;4;;
4;Кха…. *Элороа пьет* А чем это выгодно для клисков?;;;
;Вы получили информационный пакет?;5;;
5;Я прочел…. Но почему бы вам не рассказать мне самому?;;;
;Я попытаюсь. Хоть и не сразу, но сотрудничество наших планет, будет выгодно нам обоим. Культурное влияние, например. Технологически вы выше, конечно, но не в совсем уж недосягаемых пределах.;12;;
;Хм. А что сказано в Кодексе на этот счет?;6;klisk.klisk_info;
6;Кха! А разве вы знакомы с Кодексом?;;;
;Не совсем. Я позволил себе кое-что разузнать о клисках, прежде чем лететь сюда.;7;;
7;Это был хороший ход. Вы даже не представляете, насколько. В Кодексе сказано, что с ищущим дружбы, и предлагающим дружбу взамен - надо дружить. Того, дружба с кем сулит прибыль - надо уважать. Тот, кто действительно дал тебе и дружбу и прибыль - достоин любви. Клиски сотрудничают со всеми, кто не проявляет враждебности. С борками, несмотря на их фактор шестидесяти процентов. С бродягами, несмотря на их фанатизм в отношении к ПОжирателю. Мы бы сотрудничали с зорсанами, но они сами того не хотят. *Эролоа замолкает, чтобы отпить из стакана. Отличное время, чтобы задать вопрос*;;;
;Фактор борков?;8;;
;Фанатизм бродяг? Что за Опустошитель?;9;;
;А что - зорсаны очень враждебны?;10;;
;*подождать, пока Эролоа допьет*;11;;
8;Да…. Или вы не знали? Шестьдесят процентов борков - форменные глупцы. Это их генетическя особенность.;;;
;Фанатизм бродяг? Что за Опустошитель?;9;;
;А что - зорсаны очень враждебны?;10;;
;Так что, вы будете с нами сотрудничать?;11;;
9;А вы не знаете, что такое Опустошитель? Ну, еще узнаете. Бродяги очень фанатично к нему относятся… кха!;;;
;Фактор борков?;8;;
;А что - зорсаны очень враждебны?;10;;
;Так что, вы будете с нами сотрудничать?;11;;
10;Не враждебны. Заносчивы.;;;
;Фактор борков?;8;;
;Фанатизм бродяг? Что за Опустошитель?;9;;
;Так что, вы будете с нами сотрудничать?;11;;
11;*Эролоа вытирает губы* Сотрудничать… хм… для начала - дружить. А далее…. Кха! Далее - будет далее. *телефон снова звонит. Эролоа поворачивается к нему, берет трубку, и внимательно слушает*;;;
;….;24;;
12;Это все пустые слова, вы понимаете? А у нас тут разговор серьезный…. Мне необходимо знать, что вы способны дать нам, чтобы было видно, что мы способны предоставить вам. Это законы торговли и выгоды, капитан землян. *Элороа взмахивает трясущейся рукой*;;;
;Вы хотите больше информации?;13;;
13;Это могло бы вам помочь. Кх…. *Элороа прекращает кашлять, и внезапно очень серьезно смотрит на тебя* Торопитесь с ответом, капитан. Все зависит от вас. Я сказал бы, что в ваших руках - судьба отношений между нашими планетами.;;;
;Хм. Господин Элороа. Я все понимаю, но разглашать информацию сверх вводного пакета - не уполномочен.;14;;
;Хорошо. Я могу обрисовать что-то из того, что знаю лично сам. Этого вам хватит, я надеюсь?;18;;
;Я могу запросить информацию с корабельной базы данных. Нужна защищенная линия связи.;21;;
14;Вы уверены в своем решении? Вы понимаете, что вы можете все погубить?;;;
;Да. Простите, но у меня четкие инструкции.;15;;
;Нет. Пожалуй…. Скажите, что конкретно вам надо?;98;;
98;Больше информации. Это могло бы вам помочь. Торопитесь с ответом, капитан. Все зависит от вас. Я сказал бы, что в ваших руках - судьба отношений между нашими планетами.;;;
;И все-таки - нет. Я не могу разгласить больше.;14;;
;Хорошо. Я могу обрисовать что-то из того, что знаю лично сам. Этого вам хватит, я надеюсь?;18;;
;Я могу запросить информацию с корабельной базы данных. Нужна защищенная линия связи.;21;;
15;Хм…. Что же. Капитан людей! *Элороа отползает немного назад*;;;
;….;16;;
16;Я не знаю, будут ли отношения наших планет продуктивными, но секреты вы держать умеете. Поздравляю.;;;
;Так что, это был розыгрыш?;17;;
17;Кха! *Элороа опять отпивает из стакана. Отходит налить снова, и возвращается* Назовем более серьезно - проверка боем. Вы ее выдержали. Согласно Кодексу, капитан,  не могу отказать вам в нашей просьбе. Кодекс гласит, что предложивший дружбу - выигрывает вдвойне. Принявший дружбу - втройне. ;;;
;Это хорошо. Я рад, что мы будем сотрудничать.;11;;
18;Конечно хватит… *Элороа одобряюще улыбается* Я готов вас выслушать.;;;
;Пожалуй… я не буду торопиться. Что конкретно вам надо?;98;;
;….;19;;
19;*клиск внимательно слушает твой сбивчивый рассказ, изредка кашляя, и промачивая горло. Пять минут - это много или мало? А если они полны информации?* Я понял вас, капитан землян. Ну, что же. Вряд ли мы сразу добьемся чего-то особого… но отношения с вами смысла не лишены.;;;
;Это положительный ответ?;20;;
20;Конечно. Вам стоит гордиться, что этого добились именно вы.;;;
;Я горжусь. Я рад, что мы будем сотрудничать.;11;;
