0;*На вызов отвечают почти сразу же. Это какой-то бродяга, весьма потертого вида.* Орбитальная станция ХН-201. Я узнаю транспортник Длороу. А вот ваш корабль мне незнаком.;
;«Аврора», планета приписки — Земля. Мы мало кому знакомы. Люди.;1
1;Что-то такое я о вас слышал. Переключите меня на Длороу.;
;Конечно.;2
2;*Корабль Длороу отзывается далеко не сразу. А когда отзывается, то делает это незнакомым тебе голосом.* А… Капитан людей? Это вы?;klisk_dialog
;Да, это я. А где господин Хартен?;3
3;С ним что-то не так! Уже несколько часов! Он без сознания, физические показатели очень слабые! ;klisk_dialog
;Черт возьми. Я так и думал, что этим все кончится. Ладно. Я разберусь с прибытием. Как только состыкуемся, сразу же доставьте Длороу в больницу.;4
4;*ты переключаешься обратно на канал станции* Дло…. Это не Длороу! Капитан людей, в чем дело?;
;Длороу Хартен заболел. Он уже несколько часов без сознания, ответить не может. Ему срочно нужна врачебная помощь.;5
5;Длороу? Заболел? Черт. Наверное, опять ушел в рейс с болячкой… Ладно. Я раскрываю ближние к вам доки, стыкуйтесь. Надеюсь, с ним ничего серьезного.;
;Я тоже надеюсь. Конец связи.;6
6;*Твое присутствие на станции не требуется, поэтому пару часов, что были затрачены на стыковку и прочие манипуляции, ты проводишь за делами в своем кабинете. От важных документов тебя отвлекает вызов.* Капитан людей? Капитан людей?;
;Да, я слушаю. А. Это вы. С Длороу все в порядке?;7
7;Он цел. Но в себя придет не скоро.;
;Мне очень жаль. Вы что хотели?;8
8;Товары. Кто-то должен провести торговую операцию, задекларировать передачу и продажу… *Бродяга взмахивает длинными руками и изображает громадными глазами мировую скорбь. Хотя в данном случае скорее уж вселенскую.*;;;
;Вы что, хотите, чтобы этим занялся я?;9;;
9;Вы — первый по старшинству, после Длороу. Вы можете разрешить ситуацию, быстро все закончить, поручить Длороу корабельному лазарету и отбывать назад. В противном случае нам и вам придется ждать, пока Длороу придет в себя. ;;;
;Э, нет. Я ничего не смыслю в клисковой торговле. И смыслить в ней что-то вряд ли когда-нибудь смогу. Прошу меня простить, но ничем не могу помочь. Лучше уж подождать.;10;;
;Ну… Раз уж действительно никто, кроме меня… Хорошо. Мне прибыть на станцию?;11;;
10;Очень жаль. Но я вас понимаю.;;;
;Конец связи.;-1;;
11;Да. Сделки заключаются лично. Будьте добры прибыть в док корабля Длороу.;;;
;Буду минут через сорок. Конец связи.;-1;;1
