0;О… Капитан землян. По какому поводу вы ко мне пришли?;;;;
;Надо кое-что обсудить.;27;reputation > 6;;
;Надо кое-что обсудить.;16;reputation < 7;;
;По поводу тех мутантов…;-1;heritage.quest_started && !heritage.quest_completed;129;
;Нам бы поторговать;-1;;100;
;Вот я и вернулся. Торговый флот привел в ценности и сохранности.;1;klisk_trade.result;;
;Визит вежливости. Вижу, вы заняты. Уже откланиваюсь.;-1;;;
1;*Эролоа гулко кашляет* Кха! Я жду от вас подробностей.;;;;
;В общем-то, все в порядке. Кроме того, что капитан основного транспортника внезапно заболел и чуть не сорвал тем самым сделку.;2;;;
2;И как же вы выкрутились, капитан землян?;;;;
;А никак. Я не люблю лезть не в свое дело, поэтому просто стерег груз, пока Длороу не стало лучше. Поэтому мы задержались.;3;klisk_trade.result=refused;;
;Ну… Я позволил себе провести сделку. Это плохо?;13;klisk_trade.result!=refused;;
3;Кха! *Эролоа одобрительно трещит* Кто-то назовет ваше решение глупым… Но в Кодексе сказано: не трогай механизм, который настраивал не ты. Вы хорошо поступили, капитан.;;;;
;Я тоже так считаю. ;27;;;
13;*Эролоа резко напрягается, но держит себя в руках* Так… Это уже интересно… И расскажите мне, капитан землян, как же вы ее провели?;;;;
;Да, в общем-то, я не пытался прыгнуть выше головы — взял за все деньги, не пытаясь мудрить с обменом.;24;klisk_trade.result=good;;
;Я руководствовался Кодексом. Думаю, сделал все верно.;25;klisk_trade.result=perfect;;
;Я провернул выгодную сделку, господин Эролоа.;14;klisk_trade.result=bad;;
14;*Эролоа читает грузовой манифест и начинает весьма ощутимо меняться в цвете. Затем щелкает быстро, раздраженно.* Капитан землян… Вы понимаете, что вы… *глухо кряхтит, злится* Вы… Вы все испортили.;;;;
;Но я же обменял ваши товары с выгодой! Что в этом плохого?;15;;;
15;Капитан… Мы связаны Кодексом. Он гласит, что менять подобное на подобное — не глупость. Все наши сделки очень крупномасштабны, многоступенчаты, системны. И вы порушили одну из таких громадных систем… *Эролоа вздыхает* Вы принесли нам малую, сиюминутную прибыль, но лишили нас огромных доходов в перспективе. Поздравляю.;;;;
;Мне очень жаль.;16;;;
16;Что у вас?;;;;
;Нет. Мы с вами уже обсудили все необходимое. Мне пора идти.;-1;;;
;Мы тут взяли на борт необычное живое существо…;-1;sentient_stone.started;131;
;Да. Есть кое-что. Относительно недавно на орбите моей планеты расположился торговый бот, который изрядно портит связь в очень больших масштабах. Я узнал, что он является собственностью компании «Хаказар». Я не знаю, к кому еще обратиться. Вы можете мне помочь?;17;klisk_trader_drone.communicated ;;
;Очень важный вопрос. Зорсаны готовятся напасть на мою планету. Это произойдет не сегодня и не завтра, впереди почти два года… но все равно. Между нами огромная разница в развитии. Моей планете нужна помощь, иначе мы проиграем.;20;zorsan.war_preparations;;
17;О. Жаль… Кха! Жаль… Я не могу вам помочь. *на лице Эролоа мировая скорбь* Мое официальное место работы — компания «Вортангу». В дела «Хаказара» я не имею права лезть.;;;;
;И что же мне делать?;18;;;
18;Попробуйте скупить то, что он продает. Тогда он улетит.;;;;
;Хм.;19;;;
19;У вас что-то еще?;;;;
;Очень важный вопрос. Зорсаны готовятся напасть на мою планету. Это произойдет не сегодня и не завтра, впереди почти два года… но все равно. Между нами огромная разница в развитии. Моей планете нужна помощь, иначе мы проиграем.;20;zorsan.war_preparations;;
;Нет. Мы с вами уже обсудили все необходимое. Мне пора идти.;-1;;;
20;*Эролоа задумывается. Одним махом опустошает стакан, а далее долго кашляет.*;;;;
;…;21;;;
21;*все еще кашляет*;;;;
;Вам помочь?;22;;;
22;*Отрицательно машет головой. И кашляет.* Нет. Не касаемо помощи мне… Кха! Хотя и тут тоже нет. Мы не можем вам помочь, капитан землян. Простите.;;;;
;Но нам действительно нужно хоть что-нибудь. Ведь после нас зорсаны могут приняться и за вас.;23;;;
;Печально. В таком случае покидаю вас.;-1;;;
23;*Эролоа улыбается* Не примутся. Капитан, не тратьте мое время.;;;;
;Печально. В таком случае покидаю вас.;-1;;;
24;*Эролоа внимательно читает грузовой манифест, потом с щелчками облегчения откладывает его в сторону* Я уже было начал волноваться... но вы поступили весьма правильно для чужака. Это не идеал, но мы отделались очень малой кровью.;;;;
;Жаль, что я в чем-то ошибся.;3;;;
25;*Эролоа читает грузовой манифеcт. Удивленно щелкает.* Капитан землян, я сам бы не провел эту сделку лучше…;;;;
;Это похвала?;26;;;
26;Безусловно. Вы… Кха! Поступили очень разумно. Была ли это удача или же тонкий расчет? Неважно. Я рад, что все так сложилось.;;;;
;Я тоже рад. Знаете, у меня есть пара кое-каких дел, которые я хотел бы с вами обсудить.;27;;;
27;*Эролоа внимательно слушает*;;;;
;Зорсаны собираются напасть на мою планету. Есть еще почти два года, это дает шанс… но сами мы отразить атаку не сможем. Нам пригодится любая помощь.;28;zorsan.war_preparations && !klisk.war_help;;
;Мы тут взяли на борт необычное живое существо…;-1;sentient_stone.started;131;
;Торговый бот компании «Хаказар» обосновался на орбите моей планеты. Он доставляет нам проблемы. Вы можете поспособствовать тому, чтобы его оттуда отозвали?;34;klisk_trader_drone.communicated ;;
;Нет, ничего, никаких дел. Это было неплохое, хотя и несколько утомительное сотрудничество. Мне пора идти.;-1;;;
28;Зорсаны? *Эролоа недобрым образом щелкает* Я не удивлен, но как вас так угораздило? Впрочем… не отвечайте. Тяжелая ситуация.;;;;
;И каково ваше решение?;29;;;
29;Я в раздумьях… Кха! Я не могу послать вам живую силу. Это будет воспринято как участие в войне, а клиски всегда нейтральны. Я не могу послать вам новейшие образцы вооружения, ибо бесплатно нельзя. Кодекс запрещает. Но… *Эролоа подползает к телефону и куда-то звонит* Да. Это Эролоа. Соедините меня с отделом утилизации.;;;;
;…;30;;;
30;Отдел утилизации? Эролоа. Рад слышать. *кряхтит* Насколько я знаю, устаревшие линкорные орудийные системы еще не уничтожены? Нет? Прекрасно. Подготовьте их к транспортировке. Самые мощные. Благодарю. *кладет трубку* Вот и все.;;;;
;Устаревшее оружие? Щедро. Я должен благодарить?;31;;;
31;*Эролоа качает рукой* Это для нас оно устаревшее… Кха! Кхм. Кроме того, это линкорные системы, очень мощные. Вполне сойдут и для организации стационарной защиты. Третье — Кодекс не запрещает дарить то, что самому тебе не нужно. И, наконец, четвертое — если вам не нравится, вы всегда можете отказаться.;;;;
;Я так и поступлю. Спасибо, но мусор мне не нужен.;32;;;
;Думаю, что лучше такая помощь, чем вообще никакой.;33;;;klisk.war_help
32;Дело ваше. Что-то еще?;;;;
;Нет, ничего, никаких дел. Мне пора идти.;-1;;;
;Торговый бот компании «Хаказар» обосновался на орбите моей планеты. Он доставляет нам проблемы. Вы можете поспособствовать тому, чтобы его оттуда отозвали?;34;klisk_trader_drone.communicated ;;
33;Тогда хорошо. Системы доставят вам к кораблю. У вас что-то еще?;;;;
;Нет, ничего, никаких дел.  Мне пора идти.;-1;;;
;Торговый бот компании «Хаказар» обосновался на орбите моей планеты. Он доставляет нам проблемы. Вы можете поспособствовать тому, чтобы его оттуда отозвали?;34;klisk_trader_drone.communicated ;;
34;«Хаказар«»… *Эролоа качает рукой и тихонько щелкает* В обычной ситуации я бы отказал. «Хаказар» — очень влиятельная компания, выше по рангу, чем «Вортангу». Однако сейчас… Я постараюсь вам помочь. Конечно. Но я хочу спросить, это действительно необходимо? Для меня оказать подобную помощь будет не так уж и просто. У вас точно нет более легкого решения этой проблемы?;;;;
;Хм… Я передумал. Лучше разберусь сам. Но учтите, за вами должок.;36;;;
;Увы, иного выхода нет.;35;;;klisk_trader_drone.withdraw
35;Хорошо. Скоро бот улетит с вашей орбиты и больше там не появится. У вас что-то еще?;;;;
;С делами покончено. Мне пора идти.;-1;;;
36;Конечно. *Эролоа утвердительно щелкает* Иметь в должниках такого клиска, как я… Капитан, вам можно позавидовать. У вас что-то еще?;;;;
;Нет, ничего. С делами покончено. Мне пора идти.;-1;;;
