0;*С тобой выходит на связь аналитический отдел «Авроры». Странно. Обычно они связываются через Гордона. Видимо, сейчас у них что-то важное.* Капитан, мы изучили информацию, добытую вами с зорсанских кораблей.;;;
;И что можете сказать? Зорсаны собираются атаковать кого-либо еще в случае успеха с нами?;1;;
1;Нет, капитан, не собираются. С их точки зрения это было бы глупо. При оккупации Земли, судя по имеющейся здесь информации, они собираются переселить на нее правящий класс и хорошенько заняться чисткой планеты. Новая война в данном случае пошла бы им во вред.;;;
;Это точно? Вы все проверили?;2;;
2;Так точно, капитан.;;;
;Черт… ладно. Подготовьте носитель. Я думаю, Хур все же выделит нам какую-то помощь, даже несмотря на отсутствие угрозы.;-1;;
;Так. В таком случае выбора у нас нет. Внесите в исходные данные некоторые коррективы.;3;;
3;Коррективы? Вы хотите, чтобы наш отдел подделал информацию?;;;
;Да, я этого хочу. Не вносите туда масштабную угрозу, просто… да что я говорю? Не мне вас учить.;4;;
4;Конечно, капитан. Только хотелось бы сказать сразу, если наш обман раскусят, то вряд ли чужие этому обрадуются… Неизвестно еще, не приведет ли это к еще худшим последствиям.;;;
;Я отдал приказ. Ваше дело не оспаривать — ваше дело исполнять.;5;;
;Наверное, вы правы. Оставьте все как есть. Хур наверняка поможет нам и так.;-1;;
5;Слушаюсь, капитан.;;;
;Вот и отлично. Конец связи.;-1;;1
