0;*Установить связь со станцией оказывается неожиданно трудно. Спустя чуть ли не час это наконец получается. Помехи прекращаются, соединение установлено.*;;;
;Околозвездная станция, отвечайте. С вами говорит капитан корабля «Аврора-2», планета приписки — Земля.;1;;
1;*Писк пересылаемых данных. Текст передается автоматически.* «Кто бы вы ни были, этот маяк — собственность бродяг. Он необитаем. На нем ничего нет. Это место является священным кладбищем, где нашли свой покой лучшие из лучших — высшие старейшины, что давным-давно отдали свои жизни в Суть Сути Пожирателя. Если ты бродяга — поклонись им и уходи. Если ты чужак — просто лети мимо. Знай, даже неживое может дать отпор.»;;;
;Ага. Вот оно как, значит… Гордон, что ты на это скажешь?;2;;
2;*Гордон докладывает по спецсвязи* Капитан, мы просканировали маяк! Есть кое-что…;;;
;Докладывай.;3;;
3;Оборудование старое, даже дряхлое... не считая охранных систем!! Признаков жизни не обнаружено, но я думаю, что это результаты специального экранирования… Далее. Самое важное! По моим данным, этот маяк неведомым образом использует излучение звезды для переработки в энергию!! Вы понимаете? Он подпитывается жестким излучением, при этом им же защищается от него же, обеспечивая себе существование!!;;;
;Я понял. Ты тоже думаешь, что такая технология пригодилась бы Земле?;4;;
4;Конечно, капитан! Вы читаете мои мысли! Наши технологии использования солнечной энергии пока недостаточно эффективны, а вот техника в этом маяке, похоже, весьма и весьма продвинута.;;;
;Это то, что нужно Земле. Подобная система приведет чуть ли не к межпланетному празднику. Только представь себе: станция, которая может перерабатывать солнечное излучение в дешевую электроэнергию…;4;;
4;Утопия, капитан… С другой стороны, вряд ли те, кто построил это сооружение, не попытаются найти осквернителей их святыни. Да и, может быть, эту технологию получится добыть у тех же бродяг мирным путем?;;;
;Так что ты думаешь?;5;;
5;Я… *Гордон снова заикается* Я не могу сказать. Вы капитан. Решайте сами.;;;
;Ну, что же. Думаю, что это того стоит. В конце концов, тут лежат только мертвые, а помощь нужна живым. Есть и мирный путь, я не спорю, но слишком мало у нас времени. Слишком. Постараемся сделать все по возможности тихо и бережно. Генри, готовь своих людей.;6;;
;Пожалуй, лучше оставим их в покое и обойдемся дистанционным сканированием. Не то чтобы мне было дело до инопланетных мумий, но вот портить отношения с их живыми представителями из-за этого не хочется.;-1;;0
;Нет. Кладбище — это кладбище, чьим бы оно ни было. А тут, судя по всему, лежат герои. Мы не можем просто так осквернить священное для другого народа место. Дело не в мощной защите, дело в том, что мы люди. Мы не можем вести себя как дикие варвары.;-1;;0
6;Мои люди всегда готовы, капитан.;marine_dialog;;
;Тогда вперед. Начинайте высадку.;-1;;1
