0;*Вы проезжаете через пост охраны. Охрана, кстати, не в пример внушительнее остальных бродяг. Высокие, мускулистые, с массивными имплантами на руках и на глазах. Они очень подозрительно на тебя смотрят, но все же пропускают по первому слову Фурнута. За постом охраны располагаются ворота и массивный, высокий забор. Миновав их, вы въезжаете в небольшой парк и едете по небольшой аллее к возвышающемуся впереди зданию. По обоим сторонам аллеи располагается множество статуй, изображающих разного вида бродяг. У каждого из них две характерные черты: первая — все они выглядят старыми, а вторая — все они с имплантами на головах.*;alien_city_dialog;
;Что это за статуи, Фурнут?;1;
1;Это наши уважаемые… ммм…. *Фурнут замялся* деятели. Кто-то отличился службой Пожирателю. Кто-то — в делах добра и мира. Кто-то — выдающийся военачальник.;rogues_dialog;
;Служба Пожирателю? Не могу себе представить.;2;
;А кто из них военачальник?;4;
;Добро и мир? Расскажите о ком-нибудь.;6;
;*молча сидеть и ждать*;9;
2;Все достаточно просто, капитан людей. Вот, например… Ка. *он указывает на ближайшую к вам статую старика в длинном балахоне и с имплантом, напоминающим странного вида каску* Открыл и сформулировал понятие Сути Пожирателя. Суть Пожирателя — есть вечная, изменная первооснова, создаваемая Пожирателем из содержимого нашего мира, путем пожирания.;alien_city_dialog;
;О… Трудно понять. Наверное, для этого нужно лучше знать вашу религию.;3;
3;*Фурнут улыбается* Это не религия.;rogues_dialog;
;Не религия так не религия. А кто из них военачальник?;4;
;Вы что-то говорили про деятелей добра и мира.;6;
4;Пожалуйста. Хумбата. *статуя выглядит не слишком старой* Это из нашей новейшей истории. Пятьдесят лет назад в одной из битв разбил войска зорсан при четырехкратном превосходстве сил противника. ;alien_city_dialog;
;О. Вижу, зорсаны успели поцапаться почти с каждым развитым народом.;5;
5;Что поделаешь. Они наверняка изменятся.  ;rogues_dialog;
;Расскажите про отличившихся в службе Пожирателю.;2;
;Вы что-то говорили про деятелей добра и мира.;6;
6;О… Смотрите. *статуя лысого бродяги с имплантом похожим на очки* Хоршак. Великий педагог. Во время внезапного нападения зорсан на мирный транспорт он пытался спасти летящих вместе с ним учеников. Кого-то спасти смог. Кого-то — нет. И сам не спасся.;rogues_dialog;
;Это печально. Я сожалею.;7;
7;Это был хороший представитель нашего народа. *Фурнут наклоняет голову к правому плечу*;rogues_dialog;
;Им можно гордиться.;8;
8;Точно. Вас интересует что-то еще? Мы почти подъехали. Если хотите что-то спросить — торопитесь.;rogues_dialog;
;Расскажите об адептах вашего Пожирателя.;2;
;О военачальниках.;4;
;Нет, я уже спросил все, что хотел.;9;
9;*Лимузин подъезжает к высокому крыльцу. Фурнут выходит первым и распахивает дверь для других. После того, как из машины все вышли, она отправляется за дом. Видимо, там гараж. Фурнут поднимается к двери и открывает ее.* Прошу.;alien_city_dialog;
;…;10;
10;*Вы проходите внутрь и оказываетесь в очень оживленном помещении. Туда-сюда снуют бродяги, кто-то с имплантами, а кто-то без. Несколько борков разговаривают на повышенных тонах, возле них стоит бродяга-охранник из тех, что повнушительнее, его взгляд полон тоски. Жирный клиск, тяжело отдуваясь, спускается со второго этажа, его антиграв тихонько гудит. Фурнут аккуратно трогает тебя за плечо.* Нам на второй этаж. Идите за мной. Вашим людям лучше остаться тут.;interior_dialog;
;Конечно.;11;
11;*На втором этаже гораздо тише. Только ходят из кабинета в кабинет служащие. Фурнут останавливается возле одного из входов и указывает рукой на дверь* Вам сюда, капитан людей. Желаю удачи.;interior_dialog;
;Спасибо, Фурнут. Тебе тоже.;12;
12;*Кивнув, он уходит. А ты заходишь внутрь.*;interior_dialog;
;…;13;
13;*Комната, в которую ты вошел, очень небольшая. Небольшая потому, что основную ее часть занимает какое-то гудящее механическое сооружение, помигивающее лампочками, качающее что-то через прозрачные трубки. Худой и старый бродяга, чья голова присоединена к этой махине толстыми черными проводами, встречает тебя сидя. Встать он, очевидно, не может.* Капитан людей? Вы. Я уже узнал о вас. Я уже получил информацию с вашего корабля... *Лампочки мигают быстрее. Махина слабо гудит.*;;
;Старейшина Хур?;14;
14;*Бродяга кивает. Провода слабо скрипят.*;;
;Эм… Извините за вопрос, но как вы с этой штукой живете? В смысле… едите, к примеру... или спите?;15;
;Вы сказали, что получили информацию. Каково ваше решение?;21;
;Честно признаться, я прибыл сюда подготовленным, достал кое-какую информацию о вас. Но такого я не ожидал.;16;klisk.rogues_info
15;*Хур слабо улыбается* Провода отсоединяют, когда кончается мое рабочее время.;;
;Вы сказали, что получили информацию. Каково ваше решение?;21;
;Честно признаться, я прибыл сюда подготовленным, достал кое-какую информацию о вас. Но такого я не ожидал.;16;klisk.rogues_info
16;Значит, вы получили неполные данные. Вряд ли просто так вы сможете узнать о нас все. Но сам поступок похвален. *Говорить с Хуром очень трудно, он крайне малоэмоционален. Очевидно, это из-за агрегата, присоединенного к его голове.*;;
;Что же тут похвального, если купленные мной данные оказались не совсем точны?;17;
17;Не стоило ожидать многого. Вы купили их у клисков? В следующий раз пытайтесь формулировать свои запросы, исходя из их Кодекса. Если купили у борков, то стоит покупать только у генетически умных. А если у зорсан… Нет. Вы не могли купить данные у зорсан.;;
;Кодекс клисков?;18;
;Генетический ум борков?;19;
;Почему я не мог купить данные у зорсан?;20;
;Вы сказали, что получили информацию. Каково ваше решение?;21;
18;Торговый Кодекс, с помощью которого они ведут свои дела и регулируют свой быт. Странная вещь. Нелогичная.;;
;Генетический ум борков?;19;
;Почему я не мог купить данные у зорсан?;20;
;Вы сказали, что получили информацию. Каково ваше решение?;21;
19;Шестьдесят процентов борков глупы. Это их генетическая особенность.;;
;Кодекс клисков?;18;
;Почему я не мог купить данные у зорсан?;20;
;Вы сказали, что получили информацию. Каково ваше решение?;21;
20;Империя с нездоровым шовинизмом и национализмом. У них почти ни с кем нет отношений.;;
;Кодекс клисков?;18;
;Генетический ум борков?;19;
;Вы сказали, что получили информацию. Каково ваше решение?;21;
21;*Машина, которую трудно назвать имплантом, гудит чуть сильнее. Лампочки светятся ярче, некоторые моргают. Хур закрывает глаза. Хур открывает глаза.* В будущем наше сотрудничество может принести выгоду. Сейчас… вам… вам придется подтягиваться. Да. Я… *гул машины* Мы. Мы даем свое согласие.;;
;Я не ожидал, что все кончится так быстро.;22;
22;Мои расчеты верны. При взаимном сотрудничестве уже через несколько лет мы сможем получить значительное ускорение темпов развития. Наши технологии очень разные. Но это плюс.;;
;Что же… Я рад. Когда нам на Земле ждать вашего представителя?;23;
23;*моргание лампочек, гул машины* Через месяц. Он будет через… месяц. Обычный бродяга, не как я. Без… *указывает на машину* этого.;;
;Это хорошо.;-1;
