0;*Хур смотрит на тебя мутными глазами. Машина гудит и моргает.* А… Вы. Что вам надо?;;;;
;Я сумел добыть необходимые данные. Передавать их не рискнул, принес прямо на исходном носителе.;1;rogues.zorsan_data;;
;Да, есть кое-что. Небольшая группа бродяг собирается молиться на спутнике моей планеты. Это вызывает у нас природные катаклизмы. Уходить ваши сородичи отказываются. Их лидер сказал, что я мог бы обеспечить их всем необходимым и тем самым ускорить процесс, но ваш приказ мог бы их убедить.;25;rogues_altar.moon_checked && !rogues_altar.result;;
;Мой экипаж заразился неизвестной смертельной болезнью. Вы можете нам помочь?;207;quarantine.started;;
;Один ваш корабль терпит крушение. Положение тяжелое.;200;rogues.damaged_scout_found;;
;Тут у меня ваши сородичи. Они потерпели крушение, и я их спас.;205;rogues.damage_scout_crew_saved;;
;Мы готовы оплатить штраф.;100;rogues.fine;;
;Очень важное дело. Зорсаны собираются напасть на мою планету. Через два года, но все равно, без помощи мы не справимся. Нам нужна ваша поддержка.;28;zorsan.war_preparations;;
;Нет, ничего такого. Визит вежливости.;-1;;;
1;*Взгляд Хура проясняется. Машина гудит чуть сильнее. Он протягивает к тебе руку.*;;;;
;Прошу.;4;rogues.zorsan_data=forged;;
;Прошу.;2;rogues.zorsan_data=real;;
2;*Повертев носитель в руках, Хур на ощупь ищет нужный разъем в машине и вставляет устройство туда. Пару минут он молчит, закрыв глаза. Когда они открываются, Хур говорит.* Очень жаль, но опасности нападения на нас нет. Мы не можем вам помочь, капитан людей.;;;;
;Но... Мы подвергли себя такому риску, добывая эти данные!;3;;;
;Хорошо. Очень жаль.;-1;;;
3;*машина перестает гудеть, Хур улыбается* И что? *просить его дальше бесполезно*;;;;
;Хорошо. Очень жаль.;-1;;;
4;*Повертев носитель в руках, Хур на ощупь ищет нужный разъем в машине и вставляет устройство туда. Пару минут он молчит, закрыв глаза. Когда они открываются, Хур говорит.* Мы… не ожидали. Не ожидали. Но данные говорят сами за себя. Но их мало. *судя по всему, Хур обращается не к тебе* Но они... нет. Прецеденты уже были. Нельзя допускать нового инцидента с новым Хоршаком... А если... *Хура передергивает* Нет! Нет! Нет!! Нет!!!;;;;
;Старейшина Хур?!;5;;;
5;*Хура трясет, но каждая последующая судорога все слабее и слабее. В конце концов, он моргает и снова смотрит на тебя чуть мутными, но умными глазами, в которых блестит осмысленность.* Мы вам поможем. Мы… мы вам поможем. Чертежи и детали, которые помогут вам строить более совершенные корабли. Я отдам приказ. Их передадут вам.;;;;
;Это хорошо. С вами точно все в порядке?;6;;;war_help
6;*Хур не обращает внимания на твой вопрос* У вас что-то еще?;;;;
;Нет, ничего такого. Мы все решили. Мне пора идти.;-1;;;
25;*Хур отвечает на удивление быстро* Они проводят ритуал мессы. Их лидер готовится пойти по пути старейшины. Это очень важное для него событие. Если я перенесу его мессу... вторую он сможет провести очень нескоро. Если бы вы помогли ему… это сделало бы его благодарным вам. Благодарность будущего старейшины...;;;;
;Вот как? В таком случае, действительно, лучше я разберусь со всем сам.;26;;;
;Моя планета не может ждать. Мне жаль, но я вынужден просить вас отозвать его.;27;;;rogues_altar.withdraw
26;Хорошее решение… У вас что-то еще?;;;;
