0;*эвакуация прошла успешно, несмотря на то, что реактор корабля бродяг все-таки сдетонировал. Бродяги доставлены на борт, а их капитан к тебе в кабинет. Он сидит напротив, и выглядит довольным, хотя и слегка нервничает*;
;Рад, что сумел вам помочь.;1
1;Д-д-да. Конечно. Просто…. Это было рискованно, капитан людей. Мое имя - Хурката Фамрана. Я ваш должник.;
;Не стоит, Хурката. За такие вещи не благодарят. Куда вас доставить?;3
;Кстати о долгах. Как вы думаете, мои усилия стоят некоторой награды?;2
2;Капитан людей, мне жаль, но мой корабль уничтожен. Я нищ. Но если вы доставите меня на ближайшую станцию моих сородичей, то там вам наверняка заплатят.;
;Тут мои ученые хотели с вами немного пообщаться. Вы не против?;4
;На станцию бродяг? Ладно. Будьте как дома.;-1
3;Капитан людей, я не хочу быть вам обузой дольше необходимого. Высадите нас на ближайшей станции моих сородичей. Этого будет достаточно. Вы и так очень много сделали.;
;Тут мои ученые хотели с вами немного пообщаться. Вы не против?;4
;На ближайшей станции бродяг? Хорошо. А пока - будьте как дома.;-1
4;Почту за честь. Это самое меньшее что я могу сделать чтобы отплатить за спасение наших жизней.;
;Отлично. Генри, пусть твои ребята проводят наших гостей в научный отсек. ;5
5;Я сам провожу. На всякий пожарный.;marine_dialog
;Как знаешь.;-1
