0;*до военной части идти десять минут. Проходя мимо казармы, можно учуять тяжелый дух пота и немытых ног, хотя кондиционер там хороший. Странно. Но в любом случае, тебе не в казарму - кабинет Генри Лишкевича находится несколько дальше, ближе к системам энергоснабжения орудий. Как выяснилось, кабинет не слишком просторный. Его хозяин - высокий человек того странного возраста, в котором застревают некоторые люди: ему явно больше сорока, но меньше ста. На лице военного много морщин. Он встает со стула, и коротко здоровается* Капитан. Рад приветствовать.;;;
;*молча протянуть руку для рукопожатия*;1;;
;Да. Я тоже.;1;;
1;Вы уже тут. *Генри усмехается* Инспекция? Или просто так?;;;
;Да, Лишкевич, можете считать это своего рода инспекцией. За что вы вообще отвечаете? Какой военной силой мы располагаем?;2;;
;Или. Мне захотелось с вами поговорить. Всегда лучше знать тех, с кем вместе служишь, особенно - своих подчиненных.;3;;
;Просто так. И я уже ухожу.;-1;;
2;"*Генри снова усмехается, но буквально за секунду улыбка сходит с его лица* Я отвечаю за всю военную часть ""Авроры-2"", начиная от корабельных орудий, и заканчивая солдатами. Под вашим контролем только самое лучшее вооружение, и только самые лучшие люди.  Лазерная батарея - новейшей конструкции, способна проплавить Луну насквозь. Однако, я против такого бездумного растрачивания энергии.";;;
;По поводу орудийных систем - понятно. Что насчет солдат?;4;;
4;Я уже сказал. Самые лучшие и прекрасно обученные.;;;
;Конкретизируйте.;5;;
;Ладно… Генри, расскажите о себе.;3;;
;На этом все. Мне пора идти.;-1;;1
5;Каждый из наших солдат прошёл отличную подготовку, они действительно способны на что угодно - только прикажите.;;;
;Они были способны на Земле. А во внеземных условиях?;6;;
6;Было бы подходящее снаряжение - чем лучше солдат защищен и вооружен, тем он боеспособнее. К слову говоря, идеального снаряжения не бывает.;;;
;Хорошо. Что еще добавите?;7;;
7;Как я уже сказал, ваши солдаты способны на все. И воевать, разумеется, и технику подручную кое-как починить, в случае чего. Ну, и если уж совсем припрет, они смогут провести первичный анализ добытых материалов - но не рассчитывайте на слишком многое: солдат всегда остается солдатом.;;;
;То есть, за своих людей вы ручаетесь?;8;;
8;Так точно. Мы готовы сражаться где и когда угодно и вы можете на нас положиться.;;;
;Отлично. Вижу, мне с вами повезло. Думаю, на этом все, мне пора идти.;-1;;1
;Вижу, свое дело вы знаете. Расскажите о себе?;3;;
3;*Генри качнул головой и задумался. Кажется, он немного смутился, в его прищуренных глазах видны тоска и скука* Повоевать пришлось. Никарагуа, Зимбабве, Новая Родезия или на Кубе хотя бы…. *Генри усмехается и странно дёргает головой*;;;
;Пятидневная блокада Никарагуа?;9;;
;"Зимбабве. ""Африкаансский инцидент"".";10;;
;Новая Родезия? Глупо, но такой страны нет. Как и Кубы.;11;;
;Это недавние конфликты.;12;;
9;"Коммунистический Фронт Латиноамериканской Свободы. Против них послали отряд из четверых человек. И через пять часов… пум! *Генри показывает руками, как именно ""пум""* И блокады не стало.";;;
;"Зимбабве. ""Африкаансский инцидент"".";10;;
;Новая Родезия? Глупо, но такой страны нет. Как и Кубы.;11;;
;Это недавние конфликты.;12;;
10;Каша из черных и белых людей. А кровь у всех одна - красная. Ее было много.;;;
;Пятидневная блокада Никарагуа?;9;;
;Новая Родезия? Глупо, но такой страны нет. Как и Кубы.;11;;
;Это недавние конфликты.;12;;
11;Вот и я о том же.;;;
;Пятидневная блокада Никарагуа?;9;;
;"Зимбабве. ""Африкаансский инцидент"".";10;;
;Это недавние конфликты.;12;;
12;А все более давние я и забыл, считай.;;;
;Да бросьте. Мне же интересно!;13;;
;Хорошо. У меня тоже есть неотложные дела, требующие моего присутствия. Удачи, Лишкевич.;-1;;1
13;*Генри качает головой* Война....  Капитан, мне не слишком приятно все это вспоминать. Война - грязное дело.;;;
;Почему? Быть может, вам в будущем и исполнять свои обязанности станет неприятно?;16;;
;Почему? Вы сейчас говорите как пацифист.;17;;
16;*Лишкевич в ответ лишь усмехается, и пожимает плечами* Пока что не надоело. Знаете…. У меня плановая инспекция. Вынужден вас покинуть.;;;
;Хм…. Что же. Мне тоже пора идти.;-1;;1
17;Точно. Я и есть пацифист.;;;
;В таком случае, я вас не понимаю. Вы не похожи на обычного военного, Генри.;15;;
15;Ошибаетесь. *Генри вздыхает* Я самый обычный…. Ну…. Почти. *совершенно внезапно его часы начинают пищать. Взглянув на них, Генри говорит* У меня плановый осмотр. Обязанности. Прошу меня извинить.;;;
;Ничего, Лишкевич. Мне тоже пора идти. ;-1;;1
