0;*В главной корабельной лаборатории очень светло и шумно, пахнет электроникой и кофе. Много людей в белых халатах. Большинство из них собралось на пятачке возле огромной доски, откуда доносится быстрая и экспрессивная речь. Подойдя поближе, ты понимаешь, что все собравшиеся слушают заведующего лабораторией, который машет руками, указывая на доску, и что-то рассказывает.*;;;;
;Гордон!;3;;;
;*послушать*;1;;;
1;…Все это проходят еще в университете, вы понимаете? Ядра мгновенно распадаются. И нельзя не упомянуть еще одну вещь. Я хочу сказать, что тут точно такая же… *пишет на доске формулу* …Одна вторая… Спонтанное деление… Вот. Точно такая же закономерность, как и в альфа-распаде. Логарифм времени жизни пропорционален Z в квадрате на А. Ну, вы же понимаете, что такое Z в квадрате на А. Это Z в квадрате на A в степени одна третья, R ядра... А здесь еще А в степени две третьих.;;;;
;Гордон!;3;;;
;*продолжать слушать*;2;;;
2;Это — поверхность. То есть отношение кулоновской энергии к параметрам поверхности. Это, как вы все знаете, параметры делимости. И если электрон получает энергии больше, чем нужно для отрыва от поверхности, то… *Машет руками. Ученые вокруг кивают и перешептываются.* И в чем была суть нашего спора? Это элементарщина, повторюсь! Уровень детского сада! Вот! *Гордон снимает очки и, скривив лицо, протирает их полой халата. Надев их обратно, победно осматривает собравшихся людей, после чего внезапно обращает внимание на тебя.* А вы... Ка... *запинается* Капитан!;scientist_dialog_puzzled;;;
;Гордон.;3;;;
3;Капитан! Вы… *Гордон подходит к тебе и протягивает руку для рукопожатия* Это так… внезапно… Простите. У нас тут с господином Буруковским вышел небольшой спор, касающийся квантовой физики… Не столь важно. Вы зачем?.. То есть с какой целью наведались к нам?;scientist_dialog_happy;;;
;Считайте это инспекцией, Гордон. Расскажите немного о вашей лаборатории.;4;;;
;Хм… У меня есть вопрос. О вас.;99;;;
;Нет, ничего особенного. Вижу, вы тут заняты. Не буду вам мешать.;-1;;;
4;А… *Гордон кивает и оглаживает бородку* Ла… Кхм! Лаборатория. Да. На «Авроре-2» очень хорошая лаборатория… И персонал…;scientist_dialog_puzzled;;;
;А подробнее?;5;;;
5;Ну… Проводя аналогии… А… *Гордон запинается больше обычного. Или он волнуется, или у него плохо с творческим мышлением. Видимо, все-таки первое.* У нас… хорошая лаборатория. Лучше многих земных. Мы можем изучать любые образцы. Биологические, минеральные, синтетические... кхм.... И даже самые опасные.;scientist_dialog_puzzled;;;
;Отлично. А что насчет персонала? Вы готовы к работе в незнакомой обстановке?;6;;;
6;Лично я? Что вы, я же заведующий! И… А… Вы не о том, да?;;;;
;Конечно. Не могу представить вас с автоматом, Гордон.;7;;;
7;Конечно… Ну… В общем-то, полевой персонал готов. Они тоже отличные специалисты, хотя ни одного доктора наук среди них нет… *Гордон трет переносицу* Они хорошо подготовлены, капитан. Способны как к научной работе и уходу за оборудованием, так и к боевым действиям.;scientist_dialog_puzzled;;;
;Понятно. Что же, в таком случае не буду более мешать работе. Удачи, Гордон.;-1;;-1;
;Гордон, расскажите что-нибудь о себе.;8;;;
99;Что? Какой?;;;;
;Расскажите что-нибудь о себе, Гордон.;8;;;
8;Эм… Ну… У меня докторская степень в теоретической физике, капитан. Профессорский диплом микробиолога… Длительная работа на озере Восток… *Гордон перечисляет это нудно и отстраненно* Я… Что еще сказать?;scientist_dialog_puzzled;;;
;Например, как вы попали на «Аврору-2»?;9;;;
9;*прищурившийся Гордон смотрит на тебя и не отвечает*;;;;
;Что такое?;10;;;
10;Я думаю, можно ли вам это знать… Да… Я работал на оборонную промышленность, капитан. Участие в экспериментах по… э-э-э… мирам с другими физическими условиями.;;;;
;Параллельные миры? Серьезно?;11;;;
11;Нет! Это неверное название! Они не параллельные! Они… *Гордон пытается показать тебе это руками, что-то говоря о классификации Тегмарка и модели Лямбда-CDM* Вот… Понимаете? Эксперимент состоял из трех стадий. Прошло лишь две.;;;;
;Расскажи поподробнее про эксперимент, Гордон.;12;;;
;А как же третья?;13;;;
12;*Гордон качает головой* Мне нельзя, капитан. *судя по виду ученого, разговорить его не удастся даже при помощи пыток*;;;;
;Ну хорошо. А как же третья стадия?;13;;;
13;Отменили. Руководитель проекта… Гейб… *Гордон вздыхает* Гейб… *Внезапно Гордона словно прорывает, он начинает тараторить. От его речи веет жаром и чуть ли не священным фанатизмом.* Вы не понимаете!! Никто не понимает!! Это… другое!! Мир, где значение числа «Пи» равно четырем! Мир — живая клетка! Мир, где Вселенной нет и пяти миллиардов лет!!!;scientist_dialog_scared;;;
;Гордон…;14;;;
14;*Не обращая на тебя ни малейшего внимания и продолжая активно жестикулировать, Гордон убегает к себе в кабинет. Лучше его сейчас не беспокоить. Черт. Психически неуравновешен, тонкая натура. Ах, эти гении... Стоит прочесть его досье.*;scientist_dialog_scared;;;
;*вернуться к себе*;-1;;-1;parallel_worlds
