0;*Найти Сару Фронтц, заведующую инженерной частью корабля, — не самое простое дело. Ее кабинет находится в нижней части «Авроры-2», и тебе приходится преодолеть немалое расстояние, чтобы выяснить, что Сары там нет. Находишь ее ты только через полчаса, в гиперпрыжковом отсеке №4, где Сара занимается калибровкой фокусирующей установки. Жужжание приводных механизмов, с помощью которых поворачиваются линзы, неприятно бьет по ушам. Вою механизмов аккомпанируют визг полировочной машинки и пищание дефектоскопов. В воздухе стоит запах смазки.*;
;Сара!!! Офицер Фронтц!!;1
1;*Пришлось кричать, чтобы она тебя услышала. Сара тоже кричит что-то, вот только не тебе, а одному из инженеров работающих рядом.* Гаррус! Продолжай без меня! *И только потом направляется к тебе. Вы выходите из отсека.* Кэп, приветствую. Рада вас видеть, хоть вы меня и отвлекли. Простите, что я... *она разводит руки в стороны, словно предлагая тебе полюбоваться грязным комбинезоном и перчатками, с которых капает тягучее масло* В общем, вы поняли. Вы просто так или по делу?;
;По делу, конечно же. Считайте это знакомством с кораблем и, разумеется, экипажем.;2
;Да нет, в общем-то. Я думал поговорить просто так.;9
;Да это не важно. В любом случае не буду мешать вам работать, офицер.;-1
2;А… Тогда давайте двинемся ко мне. Не в коридоре же разговаривать. *Сняв перчатки, она бросает их в урну для одноразовой экипировки. Двигается изящно. Ее тонкая фигура прекрасно приспособлена для узких технических проходов.*;
;Я даже не знаю, что у вас спросить. Что мне следовало бы знать о моем корабле?;3
3;Вам? *Она оборачивается и улыбается. Лицо у нее милое, хотя стандартно красивым назвать его нельзя. Взять хотя бы кривоватый нос — явно был сломан.* Как сказать… Вообще, вам ничего о моей епархии знать не обязательно. Системы гипера работают нормально, вот, калибровали их. Орудийные батареи протестированы и сейчас находятся в спящем режиме. Подчиненный мне состав пребывает в прекрасной форме и готов к несению службы.;
;Системы гипера?;4
;Было бы интересно послушать про орудийные системы.;6
;Вот про личный состав, да. Что могут ваши люди?;7
;В принципе, мне все понятно. Сара, расскажите о себе?;9
;Отлично. В таком случае не буду вам мешать. Мне пора идти.;17
4;Да. Системы гипера. *Сара смотрит на тебя, прищурив глаза* Грубо говоря, это как та штука, от калибровки которой вы меня отвлекли. Когда надо, она делает такое вот «вублю-бублю-дууу». *Сара машет руками, изображая «вублю-бублю-дууу» загробным голосом* И наш корабль может лететь в дальний космос. Делать это, кстати, можно только на границе системы, где сила притяжения звезды меньше всего.;
;Какое хорошее объяснение.;5
5;Я хотела стать учителем, но не срослось.;
;Было бы интересно послушать про орудийные системы.;6
;Вот про личный состав, да. Что могут ваши люди?;7
;В принципе, все понятно. Сара, расскажите о себе?;9
;Отлично. В таком случае не буду вам мешать. Мне пора идти.;17
6;Да тут и расказывать-то нечего. У нас есть лазер. Лазер хороший. Лучший из тех, что делают на Земле. Не знаю, с чем нам придется столкнуться, но дать достойный отпор мы сможем.;
;Системы гипера?;4
;Вот про личный состав, да. Что могут ваши люди?;7
;В принципе, все понятно. Сара, расскажите о себе?;9
;Отлично. В таком случае не буду вам мешать. Мне пора идти.;17
