0;I waited for you. Do you agree to the conditions I've named?;;;
;Repeat them.;1;;
;Of course.;2;;
1;Respect the Zorsan people. No more than five representatives, no weapons. The captain has to negotiate personally.;;;
;Okay, we agree.;2;;
;No, we think it's suspicious. I can't promise I'll follow these rules.;3;;
2;In that case, you may proceed to land. You will have to provide an access code once you enter the outer atmosphere. It has already been sent to you. Over and out.;;;
;Okay. Over and out.;-1;;1
3;In that case, I think this conversation is over. Over and out.;;;
;…;-1;;
