0;*когда открылись двери, вы сразу же увидели небольшую процессию существ очень похожих на людей. Судя по выправке и выражениям лиц - военные.* Добра. Мы призваны обеспечивать вашу безопасность.;;;;
;Наверное, это хорошо. Куда идти? ;1;;;
1;"За нами. *тебя и твоих людей берут в плотную ""коробочку"". Уютным ли кажется движение, будучи окруженным ""людьми""в серой форме? Хорошо, что оно недолгое, только за пределы космопорта - вас доводят до чего-то, что напоминает автобус. На бортах у него, очевидно, государственная символика* Просим садиться.";;;;
;Спасибо, пожалуй. ;2;;;
2;*дверь закрывается сразу за последним зашедшим. Автобус трогается. Водитель не обращает внимания на попытки заговорить*;;;;
;*попытаться поспать*;-1;;;
;*оглядеть автобус*;3;;;
;*смотреть в окно*;9;;;
3;*пять человек команды сидят рядом с тобой. Генри подобрал лучших солдат, мастеров своего дела. Они расслаблены, но видно, что готовы действовать. Один из них, сидящий на парном с тобой кресле, обращается* Капитан, волнуетесь? Вы в порядке?;;;;
;Все отлично.;4;;;
;Немного волнуюсь.;5;;;
;Мне это не нравится.;6;;;
4;Не знаю? Я так не считаю. Я бы без оружия не спустился. Жаль, что нам не оставили выбора.;;;;
;Ты действительно считаешь, что зорсаны что-то замышляют?;7;;;
5;Немного? Да у вас железные нервы, капитан. Завидую я вам. У меня вот душа не на месте.;;;;
;Ты действительно считаешь, что зорсаны что-то замышляют?;7;;;
6;Солидарен с вами, кэп. Мне все это кажется чертовски подозрительным. Ребята тоже на пределе.;;;;
;Ты действительно считаешь, что зорсаны что-то замышляют?;7;;;
7;Я не знаю. Но я настороже. Лишкевич приказал нам держать ухо востро.;;;;
;Лишкевич плохого не посоветует. Но не надо разводить паранойю.;8;;;
8;*в ответ солдат улыбается* Так точно, капитан.;;;;
;*попытаться поспать*;-1;;;
;*смотреть в окно*;10;;;window
9;*Автобус выезжает с космопорта. Никого живого совсем не видно - похоже, что это промышленная зона. Куда не кинь взгляд, на многие километры вокруг простираются заводы. Не видно дыма, или иных очевидных загрязнений, но более тщательный осмотр позволяет понять - местность тут очень загрязненная*;;;;
;*попытаться поспать*;-1;;;
;*смотреть в окно*;10;;;window
;Какие инструкции дал вам Лишкевич?;11;;;
10;*Большая и широкая дорога, очень похожая на типичную земную. Машин много - но они дают автобусу беспрепятственный проезд. Территория космопорта и промзона уже позади, но местность все равно выглядит очень плохо. Нет ни единого деревца, трава сливается в грязно-желтую мешанину, всюду следы мощного загрязнения и вмешательства извне.*;;;;
;*попытаться поспать*;-1;;;
;*поговорить со своими людьми*;11;;;
11;*отвечает тот, что сидит на парном с тобой кресле* Он отправил с вами лучших, сэр. Тех, кто способен на действия в незнакомых, непрерывно меняющихся условиях. Это - лучшее в данной ситуации.;;;;
;*попытаться поспать*;-1;;;
;*смотреть в окно*;12;;;window
12;*вы въезжаете в город. Он большой. Нет, он действительно очень большой. Дома нельзя назвать небоскребами, но они высокие. Очень много машин на дороге, народу тоже полно. Они одеты красиво, хоть и непривычно людскому глазу. Их одежда словно пропитана восточными мотивами - широкие полы штанов, длинные платья с рукавами.*;;;;
;Хм? Эй. С тобой все в порядке?;13;;;
13;*мускулистый японец, сидящий через два кресла слева* Они смотрят нам вслед. Мне кажется, они злятся.;;;;
;Ты что-то видишь в этой толкотне?;14;;;
14;Капитан, нам здесь не рады.;;;;
;Мда. Ну, будь бдительным, если тебя это успокоит.;15;;;
15;*автобус подъезжает к большому высотному зданию, и останавливается. Рядом с ним стоят зорсаны. Их несколько человек, и одеты они совсем по-иному, чем виденное тобой в окно население города. Тоже, что-то похожее на земной восточный колорит. Нечто плащеподобное, с капюшоном. Дверь автобуса открывается.*;;;;
;Выходим.;16;;;
16;*снаружи к вам подходит один из зорсан. Вблизи становится видно, что ткань его белого плаща плотная, красивая, с небольшим переливом* Добра. Рад приветствовать. Прошу следовать за мной. *характерно то, что ничего похожего на прессу вокруг не наблюдается*;;;;
;?.;-1;;;
