0;*Комната очень темная. Выглядит гнетуще, но зорсанам, видимо, по душе такой стиль. К слову о зорсанах — один из них сидит за массивным столом. Судя по его черному балахону с узорами цвета красного золота, весьма высокопоставленная личность.* Так это вы. Я ожидал увидеть кого-то менее... похожего на нас. Я — имперский дипломатический представитель. Мое имя вам пока абсолютно не нужно.;;
;В таком случае мое вам тоже не пригодится. Я представляю свой народ. Мы — люди, homo sapiens. С планеты Земля.;1;
1;Никогда о такой не слышал. Да и вряд ли хотел бы слышать. Мне доложили о том, что вы прибыли с дипломатической миссией.;;
;Это так. Мы уже готовы переслать вам некоторое количество вводной информации: о нашей планете, о наших технологиях, о нас. Краткое описание, для создания первого впечатления.;2;
2;Пересылайте. *зорсанин давит на крышку стола, открывая какое-то подобие компьютера* Я открыл канал. Отправлю сразу в имперский отдел разведки и логистики, если вам это интересно… Мда.;;
;Готово.;3;
3;А теперь я хочу задать вам вопрос. Не знаю, известно ли вам, но зорсаны не поддерживают особых отношений ни с кем: ни с борками, ни с клисками, ни с бродягами. Даже с садовниками. Как вы думаете, почему?;;
;Вы похожи на тщеславное существо. Если весь ваш народ такой, то вот и ответ. Простите за прямоту, конечно.;4;
;Я воздержусь от ответа. Думаю, причин много. Каждой стороне есть что сказать.;17;
;Быть может, вы настолько развиты, что не считаете это рационально необходимым?;20;
;Я знаю про относительно недавний конфликт с борками, так что тут все понятно. Хотя я удивлюсь, если в космосе есть существо, которое НЕ конфликтовало с борками. Но что насчет других? Клиски, бродяги? Они не похожи на любителей войны или затворничества.;23;klisk.zorsan_info
4;*Зорсанин улыбается. Улыбка на мясистом лице выглядит неприятно.* О. У вас есть свое мнение. И вы даже пытаетесь зрить вглубь. Я тщеславен? Возможно. Не тщеславен только тот, кому нечем гордиться. Что, неужели у вас никогда не возникало чувства гордости за свой народ? За свою планету?;;
;Скажем так, мне это знакомо. Но вы так и не ответили, прав я или нет.;5;
5;Частично. Продолжаем. Что же, если зорсаны не контактируют ни с кем из трех основных развитых народов космоса, с чего вы взяли, что мы захотим налаживать какие-либо отношения с вами? ;;
;Ну, я даже не знаю. Очевидно, что между нашими народами гораздо больше сходств. Мне кажется, это вполне неплохое основание для союза. Военного, например.;6;
;Мирное сотрудничество — это хорошая почва для развития. Польза будет обоюдной.;19;
;Конечно, для нас подобный союз более выгоден. Что неудивительно — людям не так уж и легко будет сравняться с таким развитым народом, как ваш. Однако существуют области, в которых мы можем говорить наравне. Культура, например.;22;
6;Военного? *зорсанин улыбается* Вы так говорите, будто бы вы не ви... *Его прерывает звонок телефона (по крайней мере, этот аппарат так выглядит). Зорсанин прикладывает трубку к уху и внимательно слушает. После продолжает.* Но это уже неважно. Знаете, я хочу рассказать вам о Зорсане. *Он подходит к окну, открывает его. Комната сразу наполняется шумом машин и запахом горелого.*;;
;…;7;
7;В наших городах этот запах неискореним. Суеверные старики говорят, что это смрад гниющей земли. Они считают, что наша планета мертва и разлагается. Что вы думаете о нашей планете?;;
;Ничего такого. Я ее почти не видел.;8;
;Исходя из того, что я успел заметить, экологическое положение у вас и впрямь незавидное.;9;window
8;Могли бы быть и повнимательнее к новому месту. Говоря простым языком: да, моя планета действительно умирает.;;
;Мне жаль.;10;
9;Да. Технологическое развитие вынудило нас принести некоторые жертвы. Думаю, вы уже поняли, какие.;;
;Это очень печально.;10;
10;Безусловно. И еще более это печально для меня. Ведь Зорсан — моя родина. Великая планета, империя… *Покачав головой, он вздыхает и на некоторое время замолкает, уйдя в себя. Следующая его фраза очень внезапна.* Судя по тем данным, что вы предоставили, наши планеты очень схожи. Зорсан и Земля. Они не близнецы-братья, конечно, но в плане планетарной структуры, полезных ископаемых, флоры... Хотя с последними двумя у нас уже туго, сами видите.;;
;Я этого не знал.;11;
;Да, некоторое сходство между нашими планетами действительно есть. Правда, на Земле общее количество воды значительно больше.;12;klisk.zorsan_info
11;Теперь знаете. Информация о вашей планете оказалась весьма интересной. Вот только мне хотелось бы знать кое-что еще.;;
;…;13;
12;Вы хорошо подготовлены. Возможно, не такая уж вы и дикая образина. *зорсанин улыбается* Простите за прямоту. Я задам вам еще один вопрос, и это кончится, не волнуйтесь.;;
;…;13;
13;*Зорсанин садится за стол и снова давит на крышку. Дверь в комнату с треском раскрывается. Туда вбегают несколько зорсан в синих балахонах, с оружием наперевес. Тебя и твоих людей быстро берут на мушку.* И суть вопроса в том, что я хочу знать координаты вашей планеты.;;
;Очевидно, сотрудничества между нами не будет.;14;
14;Конечно. Даже в лучшем случае вас всего лишь бы с позором выпнули из нашей системы. Зорсане не любят чужаков, капитан людей. А уж тем более таких. Вы. Словно жалкая, неудачная пародия на нас. Пример того, кем могли мы оказаться, если бы не являлись теми, кто мы есть.;;
;Хорошо. Сейчас!!!;15;
15;*Это стало очевидным сигналом. Таким же очевидным, как и твой удар прямо в лицо зорсанину. Когда ты оборачиваешься назад, то видишь, что твои солдаты уже весьма шустро разобрались с неприятельской охраной и завладели их оружием. Определенно, нужно будет выписать Лишкевичу премию.* Капитан, что теперь?;colonist_marine_dialog;
;…;16;
16;*Снаружи слышны крики и шум. Топот ног. Спустя несколько секунд взревела сирена.*;alien_city_dialog;
;А сейчас мы должны бежать. К ангару, в шаттл, и прочь отсюда. Черт. Не так я себе это представлял. Не так.;-1;;1
17;Да. Каждой стороне есть что сказать. Быть может, они просто менее развиты, чем мы? А может, они просто хуже? Кто знает?;;
;Уж точно не я. Впрочем, критерии типа «лучше» или «хуже» в данном случае не слишком корректны.;18;
18;Почему же? Давайте будем честны: всегда есть те, кто лучше. Вот просто так — лучше, и все. И вполне очевидно, что в неравном союзе больше пользы для себя вынесет худший, а не лучший. Скажите, какая польза нам от отношений с вами?;;
;Так. Мне кажется, или вы только что прямо назвали мой народ худшим? Это наглость. Между нами гораздо больше сходств, чем различий. И польза от отношений будет обоюдной. Как в случае мирного союза, так и в случае военного.;6;
;Мир всегда дает свои плоды. Сотрудничество неравных партнеров просто стимулирует менее продуктивного усерднее работать.;19;
;Сотрудничество с лучшим делает тебя лучше. Но вы слишком категоричны. Технологическое развитие вы ставите выше развития культурного или какого-либо другого.;22;
19;Поверьте мне, капитан людей… Это бессмысленно. Худший никогда не догонит лучшего. *Его прерывает звонок аппарата, напоминающего телефон. Закончив разговор, зорсанин снова обращается к тебе.* Кое-что изменилось. Смотрите. *Он подходит к окну, открывает его. В комнату врывается шум с улицы и душная вонь, в которой преобладает запах чего-то горелого.*;;
;…;7;
20;В общем-то, доля смысла в ваших словах есть. Действительно, индекс нашего технологического развития больше показателей клисков, борков или бродяг. И, уж конечно, он лучше вашего.;;
;Живое существо делает живым не только технология. Вам не кажется, что не стоит смотреть на пользу от сотрудничества так узко?;21;
21;О, вы о культуре. Когда я слышу подобные разговоры, моя рука сама собой тянется к кобуре. И чем это было бы полезно, скажите? Хороший вопрос, кстати. В чем вообще заключается польза от сотрудничества сильного и слабого? Моего народа и вашего?;;
;На вашем месте я был бы поосторожнее со словами. Сильный и слабый — это очень резкое сравнение. Люди — весьма развитой народ. И польза от сотрудничества с нами велика: как в мирном, так и в военном направлении.;6;
;Я пропущу вашу колкость мимо ушей. Только сотрудничество неравных дает максимальный результат. Это отличный мотиватор — и для первого, и для второго.;19;
;К кобуре? Забавно. Вы совершенно не хотите признавать ценность взаимодействия двух разных культур. А ведь это самое взаимодействие оказывает влияние на все аспекты жизни. Включая и технологический.;22;
22;Ох, да хватит вам! Вы пытаетесь оперировать тонкими материями, тогда как это всего лишь пустые слова! *Звонит телефон... точнее, что-то, выполняющее здесь схожие функции. Зорсанин внимательно слушает собеседника, а потом кладет трубку. Подходит к окну, открывает его. Становится очень шумно, как на улице. В комнате повисает противный запах чего-то горелого.*;;
;…;7;
23;Ох! Вы подготовились. *Зорсанин смеется* Борки. Глупцы и дегенераты. Что же касается клисков и бродяг… Разве их вид не противен глазу? Разве их обычаи и уклад жизни не странны?;;
;На что вы намекаете?;24;
24;Как на что? Это очевидная причина. И заключена она в том, что мы лучше. Лучше, чем борки, сорок процентов которых — идиоты и глупцы. Лучше, чем клиски — брюхоногие создания, которые следуют какому-то глупому… кодексу! Лучше, чем бродяги, которые выбрали центральным объектом своей религии — вы только подумайте! — Опустошитель!;;
;Борки — глупцы и дегенераты?;25;
;Кодекс клисков?;26;
;Опустошитель? Что такое Опустошитель?;27;
;Ну все, хватит! Я устал слушать. Это просто апофеоз шовинизма!;28;
25;Сорок процентов. Это у них нечто генетическое. Я называю это клеймом судьбы, знаете ли.;;
;Кодекс клисков?;26;
;Опустошитель? Что такое Опустошитель?;27;
;Ну все, хватит! Я устал слушать. Это просто апофеоз шовинизма!;28;
26;Торговый Кодекс. Вещь, которая не могла создаться естественным путем. Настолько глупый народ, позволяющий влиять на себя извне, достоин только презрения.;;
;Борки — глупцы и дегенераты?;25;
;Опустошитель? Что такое Опустошитель?;27;
;Ну все, хватит! Я устал слушать. Это просто апофеоз шовинизма!;28;
27;О, а вы не знаете? Какие же вы все-таки… Узнаете. Когда-нибудь. А может быть, и нет. Я бы не удивился.;;
;Борки — глупцы и дегенераты?;25;
;Кодекс клисков?;26;
;Ну все, хватит! Я устал слушать. Это просто апофеоз шовинизма!;28;
28;О. Собственно, как я и предполагал. Подсознательно вы уже причислили себя к худшим, несмотря на то, что я прямо этого не зая... *Его перебивает звонок аппарата, который здесь, видимо, является аналогом телефона. Зорсанин берет трубку и что-то отвечает. Внимательно выслушав собеседника на том конце, выключает аппарат и снова обращается к тебе.* Ну, вот все и разрешилось. *Подойдя к окну, он открывает его. Комната сразу наполняется уличным шумом и горелой вонью.*;;
;…;7;
