0;*Мартан смотрит на тебя. У него влажное лицо и сальные волосы. На воротничке след от соуса. В общем, вид у него неадекватный.*;;;
;Ты не в порядке.;1;;
1;Я не в порядке. *он замолкает и ждет твоей реакции*;;;
;Что случилось?;2;;
2;Я не спал пять дней. Шесть. Да, шесть. Я не спал. Сроки выходят. Скоро они прилетят…;;;
;Тебе страшно?;3;;
;Было настолько много работы?;10;;
;Вижу, ты себя конкретно запустил…;17;;
;Именно поэтому я здесь. Давай не будем тянуть время. Что мне надо делать?;21;;
3;Мне страшно.;;;
;Чего ты боишься?;4;;
4;*выражение его лица не меняется* Лень объяснять.;;;
;Мы знаем друг друга уже не один год. Рассказывай.;5;;
;Было настолько много работы?;10;;
;Вижу, ты себя конкретно запустил…;17;;
;Давай не будем тянуть время. Скоро прилетят зорсаны. Что мне надо делать?;21;;
5;*все то же выражение лица смертельно усталого человека* У меня жена и ребенок. На нас нападают. Мне страшно. *Он опять замолкает, но скоро вновь начинает говорить. Щека его периодически подергивается.* Все держится на мне. А я устал. И я не знаю, сможешь ли ты победить.;;;
;Мартан Килмови расплылся. Ну что, думаю, мне надо сходить за юбочкой и пуантами. Тебе розовые?;6;;
;Ты верно сказал — все держится на тебе. Ты должен быть адекватным.;7;;
;Успокойся. Я тебя прекрасно понимаю. Мне тоже очень страшно.;8;;
6;*Совершенно спокойно Мартан берет со стола какую-то хрупкую вещь (кажется, диктофон) и швыряет ее в стену. Предмет с шумом разбивается.* Еще раз, и полетит в тебя. *резко выдыхает* Да… знаешь… мне немного полегчало.;;;
;Вот. Теперь ты уже больше напоминаешь себя.;9;;
7;Должен. Я всем должен. Должен начальству. Должен подчиненным. Должен тебе. Должен жене. Должен сыну. Всем я должен. И все на мне. Ааааа! *бьет кулаком о стол и вскрикивает* Да… Но спасибо. Мне стало легче.;;;
;Скоро все кончится.;9;;
8;Надо же. Страшно ему. Не ври. Ты всегда был не от мира сего. Даже сейчас я не вижу на твоем лице ни капли эмоций. Словно ты — не ты, а чья-то кукла, марионетка. Черт побери, да что ты можешь понимать?!! *бьет кулаком по стене, стонет от боли* Ладно… Ладно, извини. Я просто сорвался. Но спасибо. Мне стало легче.;;;
;Ты немного не в себе, Мартан, вот и все. Успокойся.;9;;
9;Да… Да… Надо успокоиться.;;;
;Было настолько много работы?;10;;
;Вижу, ты себя конкретно запустил…;17;;
;Давай не будем тянуть время. Скоро прилетят зорсаны. Что мне надо делать?;21;;
10;*Лицо Мартана немного светлеет. Он приходит в себя.* Мы вооружили все, что можно было вооружить. У нас были старые проекты кораблей, которые не вышли за пределы одного-двух прототипов… В общем, это будет поддержка для тебя и «Вояджера».;;;
;Вот, кстати, а что с этим самым «Вояджером»?;11;rogues.war_help && klisk.war_help;
;Вот, кстати, а что с этим самым «Вояджером»?;12;!rogues.war_help && klisk.war_help;
;Вот, кстати, а что с этим самым «Вояджером»?;12;rogues.war_help && !klisk.war_help;
;Вот, кстати, а что с этим самым «Вояджером»?;13;!rogues.war_help && !klisk.war_help;
11;А что с ним? С ним все замечательно. С нашими новейшими технологиями и с тем, что предоставили нам инопланетяне… это страшное оружие. Стоит только учитывать, что он у нас лишь один.;;;
;И что же мы имеем?;14;;
12;«Вояджер» — наше самое лучшее оружие. Жаль, что не все инопланетяне помогли нам. Но даже так «Вояджер» получился… впечатляющим.;;;
;И что же мы имеем?;14;;
13;Помощи инопланетян ты не добился, и это плохо. Однако «Вояджер» — это пик развития наших технологий. Думаю, это будет весомый вклад в сражение.;;;
;И что же мы имеем?;14;;
14;У нас есть твоя «Аврора-2». Не самый худший корабль, хотя он и исследовательский, не боевой. У нас есть линкор «Вояджер» — о нем ты уже знаешь. МКС-34… Честно говоря, это уже скорее какой-то последний рубеж, наряду с нашими орудиями ПВО. И корабли системы ближнего космоса — пусть помощи от них мало, но это лучше, чем ничего.;;;
;Все не так уж и плохо, да?;15;;
;Все очень плохо?;16;;
15;Точно. *Мартан хватается за голову и снова впадает в свое немного сомнамбулическое состояние*;;;
;Тебе страшно?;3;;
;Вижу, ты себя конкретно запустил…;17;;
