0;Ваш сигнал принят. Вас приветствует боевой дрон системы GU-*синтезатор речи, внезапно, сбоит, и несколько секунд от дрона слышна непонятная какофония*-зар - будь впереди. Цель вашего обращения?;
;Эм. Спасибо за помощь.;1
1;Запрос не понят. Переформулируйте запрос.;
;Опиши полученные повреждения.;2
;Количество уничтоженного противника?;3
;Цель на данный момент времени?;4
;Ладно. Неважно. Конец связи.;-1
2;Повреждения средней тяжести. ;
;Количество уничтоженного противника?;3
;Цель на данный момент времени?;4
;Конец связи.;-1
3;Батареи боевых систем - заряд двадцать процентов. Урон нанесенный противнику - оценка невозможна.;
;Опиши полученные повреждения.;2
;Цель на данный момент времени?;4
;Конец связи.;-1
4;Возвращение на товарный склад компании Хаказар. Хаказар - будь впереди.;
;Опиши полученные повреждения.;2
;Количество уничтоженного противника?;3
;В таком случае - удачи… да, ты же не поймешь. Конец связи.;-1
