0;Your signal has been received. You are greeted by a combat drone, system GU- *the voice module suddenly glitches, and for a few seconds you only hear incomprehensible noises* -zar: Be Ahead! What is the purpose of your call?;
;Um. Thanks for the help.;1
1;Query not understood. Rephrase your query. ;
;Describe the damage you've sustained.;2
;How many enemies have you destroyed?;3
;What is your current objective?;4
;All right. Nevermind. Over and out.;-1
2;I have sustained moderate damage.;
;How many enemies have you destroyed?;3
;What is your current objective?;4
;Over and out.;-1
3;Weapon systems charge: twenty percent. Damage dealt to the enemy: calculation impossible.;
;Describe the damage you've sustained.;2
;What is your current objective?;4
;Over and out.;-1
4;Returning to the Hakazar Company warehouse. Hakazar: Be Ahead.;
;Describe the damage you've sustained.;2
;How many enemies have you destroyed?;3
;In that case, good l- Oh, you won't get it, anyway. Over and out.;-1
