0;А. Ты. Чо надо?!! *Хрррака смотрит на тебя с усталым, но довольным выражением морды, в котором читается легкая грусть, тоска, и видным растворяющиеся остатки боевого запала…. Что за чушь? Он просто скалится. Как много в борковском оскале*;;
;Спасибо за помощь. От тебя не ожидал.;1;
1;А. Да. *махнул лапой, мотнул мордой, и совершенно невозмутимо щелкнул зубами*;;
;Как ты узнал, что мне нужна помощь?;2;
;Ты вообще в порядке? Это была жаркая битва, знаешь ли.;6;
;Скольких перебил?;9;
;И куда ты сейчас?;14;
;Ладно. Вижу, что ты цел и невредим. Мне пора лететь.;-1;
2;Отец сказал.;;
;Отец?;3;
;Картар Хрррака?;4;bork.diplomacy_test=injure
3;Картар Хрррака. *Хрррака недовольно мотает головой* Дал мне по морде, и сказал что я тупой!!! Арррр! А потом отправил сюда, сказал, что если хочу быть как братья, то надо не быть пиратом а помогать тебе. Я помог. Я приеду к отцу, и дам ему по морде!;;
;О. Какие нежные у вас отношения.;5;
4;Да. *Хрррака недовольно мотает головой* Дал мне по морде, и сказал что я тупой!!! Арррр! А потом отправил сюда, сказал, что если хочу быть как братья, то надо не быть пиратом а помогать тебе. Я помог. Я приеду к отцу, и дам ему по морде!;;
;О. Какие нежные у вас отношения.;5;
5;*Хрррака кивает*;;
;Как ты узнал, что мне нужна помощь?;2;
;Ты вообще в порядке? Это была жаркая битва, знаешь ли.;6;
;Скольких перебил?;9;
;И куда ты сейчас?;14;
;Ладно. Вижу, что ты цел и невредим. Мне пора лететь.;-1;
6;*Хрррака осматривается вокруг. Затем недовольно смотрит в камеру видеосвязи. Затем снова осматривается* Чо?!;;
;Корабль цел, говорю? Сам цел?;7;
;Ай, не обращай внимания, неважно.;5;
7;А. Да. *немного подумав, добавляет* Не. Штурман убит.;;
;А что с ним такое?;8;
8;Мы залетели - буууум! А там зорсаны!! Я - арррр!! Атакуй!! Вжжжжикх! Арррр! А он - ааааай! Убегаю!!! А я ему - баааац! А он - хряяяясь!!;;
;Ох. Нехорошо вышло.;9;
9;Не. *Хрррака прищелкнул зубами* Он был умник. Давно хотел свернуть ему шею.;;
;Как ты узнал, что мне нужна помощь?;2;
;Ты вообще в порядке? Это была жаркая битва, знаешь ли.;6;
;Скольких перебил?;9;
;И куда ты сейчас?;14;
;Ладно. Вижу, что ты цел и невредим. Мне пора лететь.;-1;
9;*Хрррака чешет голову, и приступает к подсчету на пальцах*;;
;*терпеливо ждать*;10;
;Как ты узнал, что мне нужна помощь?;2;
;Ты вообще в порядке? Это была жаркая битва, знаешь ли.;6;
;Скольких перебил?;9;
;И куда ты сейчас?;14;
;Ладно. Неважно. Мне пора лететь.;-1;
10;*Хрррака задумчиво шевелит подобием губ, щурится, и весь поглощен умственной работой*;;
;*все еще терпеливо ждать*;11;
;Как ты узнал, что мне нужна помощь?;2;
;Ты вообще в порядке? Это была жаркая битва, знаешь ли.;6;
;Скольких перебил?;9;
;И куда ты сейчас?;14;
;Ладно. Неважно. Мне пора лететь.;-1;
11;*Он взрыкивает, и бьет кулаком в стену, но все еще продолжает считать*;;
;*тик-так-тик-так*;12;
;Как ты узнал, что мне нужна помощь?;2;
;Ты вообще в порядке? Это была жаркая битва, знаешь ли.;6;
;Скольких перебил?;9;
;И куда ты сейчас?;14;
;Ладно. Неважно. Мне пора лететь.;-1;
12;*наконец, морда Хррраки озаряется радостью* Три!;;
;Ты уничтожил три корабля?;13;
13;Да! *кажется, так радуется дитя, которому купили мороженное*;;
;Как ты узнал, что мне нужна помощь?;2;
;Ты вообще в порядке? Это была жаркая битва, знаешь ли.;6;
;Скольких перебил?;9;
;И куда ты сейчас?;14;
;Знаешь… мне нечего сказать. Вот просто нечего. Неважно. Мне пора лететь.;-1;
14;Арррр! Домой!! Отдыхать, чиниться!!;;
;К отцу?;15;
15;Нееееет!! Нееет!!! Аррр!! ;;
;Так куда?;16;
16;Домой!!! *Хрррака явно не хочет раскрывать местоположение своего убежища*;;
;Как ты узнал, что мне нужна помощь?;2;
;Ты вообще в порядке? Это была жаркая битва, знаешь ли.;6;
;Скольких перебил?;9;
;Хочешь держать это в тайне? В этом есть смысл. Ладно. Мне пора лететь.;-1;
