0;*Джеспер Бирн выглядит все так же — немного расхлябанно и мягко* Капитан! Мы справились, представляете?;
;Да. Все уже кончилось. Вы хорошо поработали, Джеспер.;1
1;Вы тоже. *Джеспер улыбается*  Мда… «Вояджер» — мощная штука. Странно ощущать всю эту силу под своим командованием.;
;Вы привыкнете. Вы уже получили приказ от командования?;2
2;Ожидать от вас разведданных. Вы уже отправляетесь или что-то хотите спросить?;
;Как прошел бой, капитан Бирн?;3
;Как ощущения после? Было жарковато.;5
;Отправляюсь. Что же, удачи вам. Конец связи.;-1
3;Ну… *Джеспер пожимает плечами, на лице у него странное выражение* На удивление безопасно. Я думал, будет как-то более похоже на войну. А так — все тихо. Вспышки-вспышки, вот все и кончилось уже.;
;Наверное, это потому, что вы сидите за броней линкора.;4
4;Точно. Но и вы тоже не голышом в открытом космосе, капитан.;
;Как ощущения после? Было жарковато.;5
;Отправляюсь. Что же, удачи вам. Конец связи.;-1
5;Я не ощутил какой-то особой опасности. Чувствовал себя очень отдаленно от всего этого… По нам попадали, конечно, но ничего особого по этому поводу я сказать не могу.;
;А вы страшный человек, капитан Бирн.;6
6;*Джеспер разводит руками и мягко, полусмущенно улыбается*;
;Как прошел бой, капитан Бирн?;3
;Как ощущения после? Было жарковато.;5
;Отправляюсь. Что же, удачи вам. Конец связи.;-1
