0;*вызывает командование* Аврора-2, докладывайте! Аврора-2!;;
;А что доложить? Нам удалось…. Я устал.;1;
1;*молчание. На фоне - крики радости, кто-то плачет. Лучше тебе продолжать доклад*;;
;Мы успешно наваляли зорсанам. Они даже не приблизились к Земле.;2;earth_damage=0
;Было нелегко, но мы отделались малой кровью.;3;earth_damage>0 && earth_damage < 4
;Ну…. Наверное, вам там пришлось тяжко. Враг оказался очень силен. Но мы смогли.;4;earth_damage>3
2;Боже мой, это прекрасно! Капитан!! *в голосе говорящего появляются нотки радостной истерики*  Мы справились, капитан, мы справились!!;;
;Да. Но пока еще рано радоваться. Какие будут приказания?;5;
3;Кто-то погиб, но мы живы! Капитан, вы понимаете?! Мы живы! Живы!! *говорящий срывается на крик*;;
;Рано начинать праздновать. Я жду приказаний.;5;
4;Да. У нас отовсюду доклады о разрушениях, но…. Капитан, вы справились! Вы смогли!! Боже, храни вас, как же хорошо!;;
;Я жду ваших приказаний. И я готов отомстить.;5;
5;Да… да…. Конечно. *говорящий успокаивается, но на фоне все равно слышны крики радости, топот, прочий шум* Нам удалось рассчитать, что войска вторжения прибыли из системы ${closest_coords}. Ближайшая к нашей, как вы видите. Вам приказано направляться туда, и разведать обстановку. В случае обнаружения войск противника возвращайтесь назад, не вступайте в бой.;;
;Слушаюсь. Конец связи.;-1;
