0;*Закат. Твои люди докладывают, что они находятся перед старым зданием. В принципе, через камеру ты и сам это видишь. Пара этажей. Здание широкое, массивное, очень похожее на земное. Выбитые окна. Откуда-то изнутри исходит нужный вам сигнал, и, судя по всему, в здании кто-то есть. Отряд запрашивает дальнейших приказаний.*;
;В здание не входить. Ожидайте, будьте наготове.;1
1;*Несколько минут не происходит ничего. Потом в окнах появляются вооруженные зорсаны. Из здания выходит еще один — безоружный.* Не стреляйте. *Он поднимает руки вверх. Надетый на него несуразный плащ создает впечатление, будто этот зорсанин особенно толст.* Я безоружен. Люди, не атакуйте.;
;Что все это значит?;2
2;Нам что, прямо тут все это обсуждать? *зорсанин усмехается* Давайте вы… *смотрит на твоих людей, затем прищуривается и поправляет себя* Мы. Мы первыми опустим оружие, а затем — вы. *Твой человек докладывает, что рассмотрел зорсанина полностью, и сухо описывает его. Рост, как и у всех зорсан, не слишком высокий. Лицо гладкое, без шрамов. Мешковатая одежда, какой-то плащ. Плащ подернут временем, но внешне целый. Скорее всего, сделан из защитного материала. Несколько побрякушек продеты сквозь рукав. Какой-то дешевый металл.*;
;В здание никто заходить не будет.;3
3;Не будет. А чтобы вам было приятнее… *Зорсанин резко свистит. По одному из здания выходят его товарищи — те самые, что стояли в окнах. Они вооружены, но применять свое оружие вроде бы не собираются. Хотя кто их знает?* Вот, теперь мы друг у друга на виду.;
;Так чего ты хочешь? У нас, вроде как, война.;4
4;*В ответ кивок. Зорсанин все еще не опускает руки.* Война. И — хотите верьте, хотите нет — это многим не нравится. Мне, например. И моим друзьям тоже. И вообще, есть еще. Кому не нравится. Война.;
;Нами было получено послание.;5
5;Точно. Послание. Сплошная выгода для вас, чужаки. *смешок* Вы можете и денег заработать, и войну прекратить. И даже друзей завести… *главный из наземного отряда тихонько докладывает, что не понимает, о чем говорить дальше*;
;Спроси его про деньги.;6
;Война. Это звучит как-то чересчур. Пусть расскажет подробнее.;7
;Друзей? Он себя имеет в виду?;8
;Это он послал к нам курьера?;9
;Меньше слов, больше дела. Пусть говорит, чего он хочет.;10
6;Да. Деньги. Все просто. Есть работа, которую хорошо было бы поручить именно лю-у-юдям. *Зорсанин слегка прихохатывает. И он так и не опустил руки. Кажется, будто бы издевается.* Во всяком случае, вы прорвались сквозь спецназ и даже дали по морде Его Вашеству Жэурде. Если бы я дал по морде Жэурде, я был бы та-а-ак счастлив...;
;Война. Это звучит как-то чересчур. Пусть расскажет подробнее.;7
;Друзей? Он себя имеет в виду?;8
;Это он послал к нам курьера?;9
;Меньше слов, больше дела. Пусть говорит, чего он хочет.;10
7;А чего тут рассказывать? Я тут так… просто что-то типа курьера номер два. Война есть. Это плохо. Никому она не нужна, кроме Императора и его подсосов. Вот тебе нужна? *обращается к одному из своих людей, получает отрицательный ответ* Нет! Вот и мне тоже не нужна.;
;Спроси его про деньги.;6
;Друзей? Он себя имеет в виду?;8
;Это он послал к нам курьера?;9
;Меньше слов, больше дела. Пусть говорит, чего он хочет.;10
8;Много кого. Всяк будет рад работать с тобой, капитан людей. И с людьми капитана тоже.;
;Спроси его про деньги.;6
;Война. Это звучит как-то чересчур. Пусть расскажет подробнее.;7
;Это он послал к нам курьера?;9
;Меньше слов, больше дела. Пусть говорит, чего он хочет.;10
9;Не. Курьера к вам послал не я.;
;Спроси его про деньги.;6;;
;Война. Это звучит как-то чересчур. Пусть расскажет подробнее.;7;;
;Друзей? Он себя имеет в виду?;8;;
;Меньше слов, больше дела. Пусть говорит, чего он хочет.;10;;
10;Я уже говорил. Ты можешь поработать на благо тех, кому не нравится существующее положение дел на Зорсане. ;;;
;Повстанцы?;11;;
11;Да. Можно и так сказать. Решать, конечно же, тебе, капитан людей. Но с твоей помощью это все действительно могло бы решиться очень быстро. Война — плохо. Никому она не нужна. Решай.;;;
;Это очень похоже на ловушку… Лучше отказаться.;12;;
;Звучит привлекательно. Думаю, можно согласиться. Но будьте настороже!;14;;
12;Нам действительно нужна твоя помощь, капитан людей. *зорсанин больше не улыбается, его руки подрагивают* Отказ выглядит подозрительно.;;;
;Он пытается угрожать? Это не поможет. Мы уходим.;13;;
;Лучше его не провоцировать. Да и что может быть такого? Мы всегда сможем улететь. Соглашаемся.;14;;
13;Нет, какая угроза? Просто… *Внезапный взмах руками. Зорсаны направляют оружие на твоих людей.*;;;
;Атакуйте их!;-1;;1
14;Вот и отлично. В таком случае позвольте мне опустить руки. *Зорсанин опускает руки и подзывает к себе одного из своих людей. Они разговаривают между собой. Сначала шепотом, потом чуть более громким тоном. Зорсанин обращается к вам снова, смущенный донельзя.* Ситуация усложняется... Глупо, очень глупо.;;;
;Что такое?;15;;
15;Я — лишь курьер. И доставляю вам послание. Координаты. Но увы… *зорсанин разводит руками* Скажем так: больше их нет. Вам придется искать блуждающую станцию по иным параметрам. Окраинные системы, капитан людей. Отмечаемые красным цветом, уже тронутые Опустошителем. Станцию надо будет искать там.;
;Блуждающая станция, значит?;17
;И никаких подробностей?;16
16;Ищите ее в системах красных гигантов в пространстве зорсан и поблизости от него. Более ничего сказать нельзя. Глупо. Но мы попросту потеряли координаты.;
;В таком случае… А, черт. Ничего не понятно. Возвращайтесь на корабль.;-1
17;Блуждающая станция… Да, все серьезно. Мы не в игрушки играем, капитан людей.;
;И никаких больше подробностей? Как мне ее найти?;16
