0;*Станция внутри не слишком опрятна. Достаточно старая, со следами многочисленных боев и починок. Хотя выглядит вроде бы надежно. Ключевой момент — «вроде бы». И в ней даже есть лифт! Вот уж чудеса. Место оказалось явно под стать повстанцам — тертым парням с напряженными лицами. К «нашему главному» они провожают тебя небольшим конвоем. Повстанцы настороже, твои люди — тоже. В воздухе разлито напряжение.*;interior_dialog
;…;1
1;*вас останавливают перед дверью с надписью «Штурманская» (а ты навострился в инопланетных языках, а?)* Один, капитан людей. Оружие можешь не сдавать.;interior_dialog
;Отлично. *войти*;2
2;*Это действительно кабинет штурмана. Прежде всего ты замечаешь большую динамическую карту системы. Почти как у тебя на корабле (по ней ты прокладываешь курс, очень примитивная реализация, но что поделаешь?), только немного в другом исполнении. Еще здесь куча приборов, совершенно незнакомая тебе техника. Хозяина кабинета так сразу и не увидеть, но если вслушаться, то можно услышать натужное кряхтение, доносящееся из раскрытой приборной панели, вмонтированной в стену. Как видно, он залез туда чуть ли не полностью, с упоением ковыряясь в электронике.* Капитан людей! Прости! Секунду! *надо же... он тебя заметил*;
;Эм… Ну, хорошо.;3
;Поторопитесь.;3
3;Да-да! *Кряхтенье сменяется треском, лязгом, а затем небольшим хлопком. Зорсанин смешно подпрыгивает, гулко стукнув тяжелыми ботинками, и отскакивает от панели.* Вроде… вроде… *внимательно смотрит* Да… Все. *Подходит к панели и захлопывает ее. Ты видишь, что хозяин кабинета гол по пояс. Какой-то непропорционально широкий, как и все зорсане. Видимо, такое строение скелета. И не сказать, что он очень мускулистый. Жилистый, скорее. А еще лысый. Ростом примерно тебе по плечо.* Прости еще раз, капитан людей. Я неплохой электронщик, и свой кабинет обслуживаю сам.;
;Ловко у… ладно… у тебя это вышло. Еще и током ударило. Сильно?;4
4;Нет. *он показывает тебе свои толстые руки, покрытые следами ожогов* Не в первый раз. *подойдя к своему столу, одевается* Ты нашел это место. Замечательно, капитан людей. Я рад, что мы будем сотрудничать!;
;Рано об этом говорить. Скажем так, ты меня заинтересовал, но я все еще не понимаю толком, кто вы? Что это вообще такое? Очень странное сообщение…;5
5;Стоп! *зорсанин улыбается* Давай хотя бы по одному вопросу. Не все сразу.;
;Начнем с малого. Как к тебе обращаться?;10
;Ладно. Твое письмо.;6
;Кто вы такие?;12
;Что это за станция?;14
;В принципе, мне все понятно.;15
6;Что с ним не так? ;
;Что ты имел в виду? «Соратник», «деньги», «месть обидчикам».;7
;И действительно… Ладно. Не будем об этом.;99
7;*В ответ флегматичное покачивание головой. Зорсанин откидывается на спинку кресла.* Между нашими народами идет война. Она никому не нужна, понимаешь? Ни мне, ни тебе. Ни твоему народу, ни моему. Она нужна им. *показывает рукой вверх, болезненно щурится, и опускает руку* В смысле, системе, всем им. Императору и всяким другим типа Жэурде. Именно поэтому в данной ситуации ты — мой соратник, пусть даже и невольный.;
;Деньги? Месть?;8
;Хорошо. Это не единственный мой вопрос.;99
8;Я считаю, что ты можешь сослужить нам неплохую службу. А твои услуги стоят денег, что логично и правильно. Работая на нас, ты сможешь и хорошо заработать, и отомстить императорской зорсанской системе. Выгодно, да?;
;Должен быть подвох.;9
;Действительно. Я хочу спросить еще кое-что.;99
9;Нет никакого подвоха. Работа опасная, и можно умереть, но… *зорсанин разводит руками* В нашем деле не без этого, да?;
;Действительно. Я хочу спросить еще кое-что.;99
99;*зорсанин терпеливо молчит, испытующе глядя на тебя*;
;Начнем с малого. Как к тебе обращаться?;10
;Ладно. Твое письмо.;6
;Кто вы такие?;12
;Что это за станция?;14
;В принципе, мне все понятно.;15
10;Фолие. Просто Фолие. Меня так все зовут. И я тут главный. Уж не знаю, к худу или к добру. Хотя мы еще живы. Значит, к добру.;
;И что, больше ничего не расскажешь?;11
11;*Фолие улыбается* Нет, капитан людей. Я же не допрашиваю тебя? Обойдемся без этого.;
;Понятно.;99
12;Мы? Мы — простые зорсаны. Мы не хотим власти, мы не хотим богатства. Мы хотим лишь того, чтобы жилось нам просто и хорошо. А при Императоре это невозможно. Именно поэтому я здесь. И ты. И все-все-все.;
;А если конкретнее?;13
13;*зорсанин качает головой* Террористы, если верить официальному определению. Я считаю себя просто тем, кто прав. А моих соратников  — борцами за свободу. Понимаешь? Если нет, то еще поймешь, вот как я тебе скажу.;
;Ладно… Есть еще кое-что.;99
14;А… Мы отбили ее, с год как. *хмурится, но затем расплывается в улыбке* Блуждающая станция. Такие бродяги используют, для добычи всякого. Старая модель, но надежная. В гипере может месяцами сидеть. Ублюдки нас до сих пор взять не могут.;
;Понятно.;99
15;И что же ты понял? Готов ты рискнуть собой и попытаться отвоевать кусочек свободы — не для себя, но для хороших зорсан? Готов ты ради этого немного замарать руки? Сразу скажу, дела у нас будут не самые чистые. Но ведь надо иногда такое делать, надо! Иначе нельзя! Иначе все это... Иначе зачем тогда сила, если ей могут пользоваться только богачи и крысы?;
;Я тебя послушал. И я все понимаю. Однако работать на тебя не хочу, извини.;16
;Не знаю, прав ты или нет. Может быть, я это пойму потом. А может, и не пойму вовсе. Не так важно. Я согласен.;18
;Я хочу еще кое-что спросить.;99
16;Ты уверен?;
;Да. Еще раз извини.;17
;Знаешь… Пожалуй, спрошу еще кое-что.;99
17;Жаль. Мне действительно жаль, что так сложилось. Ну, ладно. До шлюза тебя проводят.;
;Удачи в твоем деле. Она тебе пригодится.;-1
18;Уверен? *Фолие щурится* Это война.;
;Я уже ответил. Да.;19
;Знаешь… Пожалуй, спрошу еще кое-что.;99
19;В таком случае, друг мой, добро пожаловать!! *Фолие вскакивает и хлопает тебя по плечу* С тобой… Ух! С тобой-то мы справимся!! Уж точно!;
;Да-да. И с чего начнем?;20
20;"Сейчас? Ни с чего. *Фолие подходит к одному из мониторов, выводящему какой-то график* Нам нужно уходить в гипер на месяц. Профилактика и смена места. Когда вернемся в очередной раз, тогда все и начнется. Я советую тебе уладить свои дела и хорошо вооружиться. Вон, корабль хотя бы оборудуй. Денег тебе я уже, считай, перевел. Насчет места следующей встречи — все остается в силе, системы красных гигантов в космосе зорсан.*На самом деле этот квест еще не готов, так что больше встретить станцию повстанцев вы не сможете. Мы обязательно продолжим эту сюжетную линию в следующих версиях!*";
;А почему именно красные гиганты?;22
;Ох. Замечательное начало.;21
21;Точно! Капитан людей, я рад, что все сложилось так. Удачи тебе. И до свидания.;
;Взаимно, Фолие.;-1
22;А просто так. Мы периодически меняем паттерн наших перелетов, чтобы нас не нашли. В данный момент он вот такой.;
;Понятно. Ну что же, думаю, это было неплохое начало знакомства.;21
