0;*Генри вызывает. Выглядит он, кстати, как с иголочки.* Капитан. У вас есть время?;;
;А что ты хотел?;1;
1;Мы сканировали эту станцию, пока вы там были. Защита у нее не самая лучшая, поэтому кое-что из вашего разговора я услышать смог. Простите.;;
;Это не подобает офицеру, Генри. У меня там был приватный разговор.;2;
;Я понимаю. Лучше перебдеть, чем недобдеть.;3;
2;Виноват. Я не буду оспаривать взыскание или даже гауптическую вахту. Однако позвольте спросить.;;
;Я слушаю.;4;
3;Я рад, что вы меня понимаете. И надеюсь, что вы ответите на вопрос, который я вам сейчас задам.;;
;Слушаю тебя.;4;
4;Вы согласились или отказались?;;
;Да. Мы будем работать на этих повстанцев.;7;rebels_continue
;Нет. Овчинка выделки не стоит.;5;rebels_reject
5;О. Я и думал, что вы откажетесь. Но предложение действительно было выгодным, капитан.;;
;Кровь — не водица. Мы — не дикие гуси. А я — не Боб Денар. У нашего корабля совсем другая миссия.;6;
6;*Генри улыбается. Впервые ты видишь на его лице такую улыбку — по-настоящему светлую, искренне добрую.* Я горжусь тем, что служу под вашим началом, капитан. *помолчав, добавляет* Действительно горжусь. *козыряет тебе и отключается*;;
;Хм…;-1;
7;И вы считаете это правильным?;;
;Не знаю. Но предложение у него выгодное, не так ли? Трудно отказаться. ;8;
8;Действительно. Трудно отказаться. Да и война — это всего лишь контролируемое насилие. *Генри глядит на тебя как-то странно, но видеосвязь не позволяет точно понять его эмоции* Не забывайте, капитан, вы главный. Будьте ответственны. *Козыряет. Отключается.*;;
;Я постараюсь. Да. Я постараюсь.;-1;
