0;*Тебя снова отводят в штурманский кабинет. На этот раз Фолие одет более представительно, можно даже сказать, по форме. Он что-то обсуждает с другими зорсанами и кратко предлагает тебе подождать. О зорсанах: их трое, и все они какие-то схожие, словно грубо выбитые из камня. От всех разит войной. Разит настолько, что Фолие, по сравнению с ними, кажется гражданским.* ...она напряжена, и нам надо действовать, так или иначе, понимаете? Сейчас, когда вышел указ Его Императорского о чрезвычайном положении... *один из зорсан, участвующих в разговоре, качает головой* Народ как взведенный бластер. Осталось лишь выстрелить.;
;*очевидно, тут лучше помолчать*;1
1;*Фолие отвечает. Голос его тверд, но видно, что лидер повстанцев немного смущен.* Я… Да, не спорю. Сейчас самое время что-то делать, потому что... хотя бы тот же самый указ, плюс недавний саботаж на заводе переработки ядерных отходов… Это должно было подорвать авторитет, еще более взбудоражить народ. Но пытаться сразу бить в центр военпрома? Вы уверены?;
;…;2
2;*один из зорсан качает головой* Я не уверен, но решать тебе, ты — главный. Однако иного шанса не будет. Недавнее финансирование, недовольство народа. Хорошая операция не только обрушит деятельность того же конструкторского корабельного, но и спровоцирует беспорядки на Зорсане! *Все одобрительно кивают. Комментарий другого зорсанина.* Если будем действовать, то надо будет делать это с размахом. Не исключено, что будет много крови. *Фолие тут же добавляет* Это плохо. Но, в конце концов, мы тоже рискуем собой. Рискуем ради них, чтобы всем им было лучше! Всех не перестреляют. Мы... Мы победим!;
;*все еще стоять в сторонке, опираясь на стену*;3
3;И с чего же тогда начать? *Фолие взмахнул рукой, пресекая попытки ответа. Видимо, говорил сам с собой. Он тщательно изучает электронную интерактивную карту и небольшой список рядом с ней. Тычет пальцами, что-то неслышно шепчет. После чего громко заявляет.* Конвой! Конвой от конструкторского корабельного! Необходимо узнать, в какую систему он пойдет. *сжимает кулак* И далее, уже уничтожив его, можно будет начинать операцию в системе. Вы за? *Зорсане отвечают одобрительно. Фолие продолжает.* И если уж так все пошло, то поручить это задание я предлагаю нашему новому соратнику!;
;Почему вы так на меня… Ах, вот оно что…;4
4;А он сможет? *немного подумав, Фолие отвечает* Конечно же. А если и не сможет, то это же начальная фаза. Ее можно и запороть. *Это не конец обсуждения. Но далее разговоры зорсан принимают какой-то совсем уж специфичный характер. И так бесконечных пять минут. Перенесемся к важному.* Прости, что так долго. Ты вошел в разгар совещания.;
;Да ничего. Я вижу, у вас какой-то масштабный план?;5
