0;*тебя вызывает Гордон. Он взволнован.* К… к-капитан! Это… это….;
;Успокойся, и объясни нормально.;1
1;*Гордон честно пытается, но получается у него плохо* Там корабль, капитан! Космический корабль! Он как дерево!;
;В смысле, как дерево?;2
2;В смысле, он и есть д-д-д-дерево! Этот корабль - огромное дерево!;
;Хм. Что-то подобное было в докладе капитана Авроры…. Они должны быть мирными. Но надо оставаться настороже. Конец связи.;-1
;Что? Расскажи подробнее.;3
3;Корабль. Судя по нашему анализу - он живой! Это летающее дерево! Листики! Цветочки! Фотосинтез!! И даже плоды!!!;
;Судя по моему анализу, ты похож на пьяного.;4
4;*Гордон смотрит на тебя оскорбленно*;
;Ладно, успокойся. Капитан Авроры докладывал о чем-то похожем, но я относился к этому скептически. Выходит, зря. В общем, надо с ними связаться. И быть настороже. Конец связи, Гордон.;-1
