0;Ты хочешь обсудить что-то еще?;
;Думаю, начать стоит с инопланетного контакта.;2
;Мне кажется, мы смогли найти неплохую планету на роль сырьевого придатка.;8
;Есть информация не терпящая отлагательств. Она касается «Авроры-1».;21
;Да нет, ничего особенного. Всю информацию я уже приказал отослать в аналитический отдел, так что профессиональный отчет будет у тебя с минуты на минуту.;31
2;Я весь внимание. *всем своим видом Килмови показывает, что он действительно обратился в слух*;
;Что же. Мы таки встретились с представителями других видов. Их всего пять. Быть может, больше. Но даже если и так, то серьезной роли они не играют.;3
3;*Килмови молча слушает дальше*;
;Клиски, борки, зорсаны, бродяги, и садовники. Все они очень мутные, мне трудно сказать что-то полноценное. Нормальный отчет, сам понимаешь, будет позже.;4
4;Хорошо. Каковы отношения между ними всеми? Как была встречена ими ваша экспедиция?;
;Конфликтов нет, не считая локальных инцидентов. Встретили нас относительно нормально, с поправкой на ту самую мутность.;5
5;Подробнее, капитан.;
;Не могу описать точно. Может быть, мне кажется — просто потому, что они действительно другие. А может быть, все действительно очень странно. Я подробно расписал этот факт в своем отчете.;6
6;*Килмови морщится* Слушай. Мы с тобой не первый год знакомы. И оба знаем, что такое отчет. Давай как в старые времена — кратко, своими словами.;
;Мартан, они кажутся мне нелогичными. Те же клиски, которые при своей репутации вселенских торговцев и дипломатов почему-то подчинены штуке под названием Торговый Кодекс. Я сам точно не знаю, что это такое, но даже называйся оно по-иному — Библией, Кораном, Талмудом, — все это в любом случае выглядело бы странно, признай. Для того уровня развития, на котором они находятся, такое просто нелогично.;7
7;Ладно. Я зайду к аналитикам лично, когда будет свободное время. Надеюсь, ты привез достаточно данных для нормального анализа. С этим пока все. Что дальше?;
;Насчет добычи ресурсов на другой планете — есть неплохой вариант.;8;
;Есть информация, не терпящая отлагательств. Она касается «Авроры-1».;21;
;Более ничего такого, что требует личного доклада. Вся информация уже у аналитиков, тебе лучше будет просто прочесть отчет.;31;
8;Отлично. Я тебя слушаю.;;
;Ну-у-у… Это очень сильно сказано, на самом деле. Просто есть координаты, и мы еще их не проверяли.;9;colony_search.found
;Планетка — просто сказка, честно говоря. Кислородная атмосфера, оптимальная температура. Расположение не слишком далекое даже для обычных кораблей. Каустобиолиты можно буквально голыми руками добывать. Включая нефть.;11;colony_search.explored
;Планета неплохая, очень похожа на Землю, но ископаемый потенциал в разы выше. Отличное место для колонии. Впрочем, как понимаешь, не без минусов. Исследовали мы эту крошку вдоль и поперек, и вот что касается другой стороны медали…;13;colony_search.explored_fully
9;Я не понял, тебе что, мозги солнечным ветром продуло? Или у тебя времени много?! Молодец! Мо-ло-дец! Так держать! Черт возьми… Ладно. Не будем. Как только уйдешь во второй полет, исследование этой планеты станет задачей первостепенной важности.;;
;Извини, Мартан. За всем и не успел.;10;
10;А надо успевать. Что у тебя еще?;;
;Касательно контактов с инопланетянами.;2;
;Кое-что про «Аврору-1».;21;
;Больше ничего. Болтовней заниматься — лишь время тратить. Вся информация уже отослана в нужный отдел, скоро тебе принесут отчет.;31;
11;Минусы?;;
;Звери там агрессивные. Ничего такого серьезного, я полагаю. Просто выдайте колонистам пугачи. Где наша не пропадала.;12;
12;Это не так уж и плохо. Если все настолько радужно, то одной проблемой у нас, считай, меньше. Что еще?;;
;Пара слов про инопланетян.;2
;Важная информация, которая может помочь в поисках «Авроры-1».;21
;В принципе, это все. Ничего такого, что стоит персонального доклада.;31
13;Так-так?;
;Мы исследовали нескольких представителей тамошней фауны, и новости удручающие. Сильные и опасные зверюги. Даже тяжеловооруженному человеку там придется нелегко. Дополнительные данные отослал в аналитический отдел.;14
14;Черт. Только проблем с колонизацией нам еще и не хватало. Как считаешь, игра стоит свеч?;
;Ты же меня знаешь — конечно, стоит, черт побери! Возможно, будут некоторые жертвы, но ты сам знаешь, что от этого зависит очень многое. В данной ситуации необходимо быть решительным.;15
;Э, нет, Мартан, ты знаешь меня очень давно, зачем спрашиваешь? У нас тут некий затык. Паритет. Агрессивная фауна против огромного количества ресурсов. Стоит ли идти на риск и пытаться развернуть там колонию? Я не знаю. Я не буду отвечать.;17
;Ты знаешь меня очень много лет, и думаю, что ты не удивишься. Мой ответ — нет. Эта планета не стоит того, чтобы посылать людей на смерть. Будь она хоть самой что ни на есть ценной, в нашей бесконечной Вселенной таких найдется великое множество.;19
15;И в этом весь ты. Какой напор, какой напор. *Килмори сжимает кулаки, и разжимает их*;
;Что такое?;16
16;Да так. Твой энтузиазм, как всегда, похвален, но я не считаю, что стоит обменивать ресурсы на кровь. Конечно, ты полностью прав, но… Ладно. Просто не стоит так беспечно на это смотреть. Кровь — не водица. Что там у нас дальше?;
;Пара слов про инопланетян.;2
;Важная информация, которая может помочь в поисках «Авроры-1».;21
;В принципе, это все. Ничего такого, что стоит персонального доклада.;31
17;Примерно такой реакции я от тебя и ждал, в этом весь ты. Весьма правильная позиция: сначала все хорошенько обдумать и лишь потом действовать. Но в данной ситуации я не требовал от тебя решения, а просил совета.;
;Прости, но я действительно так думаю.;18
18;Да ладно. Все нормально. Просто тебе, как лицу далеко не последнему в данной проблеме, стоит порой высказываться более решительно. Но суть я понял: не стоит гнать коней. Что там у нас дальше?;
;Пара слов про инопланетян.;2
;Важная информация, которая может помочь в поисках «Авроры-1».;21
;В принципе, это все. Ничего такого, что стоит персонального доклада.;31
19;Как и ожидалось, точно по психологической характеристике. Да и знаю я тебя не первый год, так что не удивлен. Очень правильное мнение. Нельзя просто так жертвовать людьми. Но ты очень однобоко смотришь на проблему.;
;Это плохо?;20
