0;Do you want to discuss something else?;;;;
;I think we should start with the alien contact.;2;;;
;I believe we've found a raw-material appendage planet.;8;;;
;There's an urgent information about the Aurora-1.;21;;;
;Nothing special. I've told them to send all the information to the Analysis Cell. So, you'll have the professional report in a few minutes.;31;;;
2;I'm all ears. *Kilmovi tries to show his attention, and he really listens*;;;;
;Well. We've met other species' representatives. There were five of them. Maybe more, that didn't play a major role anyway.;3;;;
3;*Kilmovi listens silently*;;;;
;Klisks, borks, zorsans, rogues and gardeners. They are all way too closed, I can't tell you something certain about them. You'll see a normal report later.;4;;;
4;Good. What's their attitude towards each other? How did they react to your expedition?;;;;
;Beside some local incidents, there are no conflicts. Even though they are so reserved, their reaction was normal.;5;;;
5;Be more specific, commander.;;;;
;I can't tell more. Maybe, it's just my impression because they are so different. Maybe, I am right and it's really strange. I included the description of this fact in my report.;6;;;
6;*Kilmovi wrinkles* Listen. We've known each other for years and we know what common reports are like. Let's do it like in the great days of old, briefly and in a few words.;;;;
;Martan, they seem to be illogical. Even klisks are depending on the Trade Codex, though they have a reputation of great dealers and diplomats. I don't know for sure, what is that Codex. You can name this thing the Codex, the Bible, the Koran, I don't care, but sounds really strange. Taking into account the level of their development, it is just illogical.;7;;;
7;Okay. I'll visit the analysts when I have time. I believe you've brought enough information for analyzing. So far, so good. Anything else?;;;;
;As for the resourse extraction on other planets, we've found a nice place.;8;;;
;There's an urgent information about the Aurora-1.;21;;;
;There is nothing more. Analysts have the information, you'd better read the report.;31;;;
8;Brilliant. I'm listening.;;;;
;Well… don't get your hopes too high. We just have their coordinates, we haven't checked them yet.;9;colony_search.found;;
;The planet is fantastic, to be honest. It has oxygen atmosphere and comfort temperature. Its position isn't so far away even for our spaceships. You can get caustobiolith with your bare hands. And there are a lof of black gold, also.;11;colony_search.explored;;
;The planet is not bad, it is similar to Earth, but its mineral potential is much higher. A perfect place for a colony. Though, it has its drawbacks. We've explored this babe throughout, and as for the other side of the coin…;13;colony_search.explored_fully;;
9;Wait, did the solar wind blew your brain out? Or do you have bags of time?! Good job! Fine! Well done! Damn it... Well, okay. When you start your second flight, your main goal is going to be the exploration of that planet.;;;;
;Sorry for that, Martan. I just ran out of time.;10;;;
10;You have to make it. Anything else?;;;;
;Concerning the alien contrat.;2;;;
;Some things about the Aurora-1.;21;;;
;Nothing left, but idle talk. I've sent the information to the Analysis Cell, so you'll have the report soon.;31;;;
11;Drawbacks?;;;;
;Animals there are aggressive. Nothing serious, just give the colonists popguns. They will handle this problem.;12;;;
12;That's not so bad. If it is as good as you say, then we have one trouble less. Do you have something else?;;;;
;A little something about the aliens.;2;;;
;An important information that can help us to find the Aurora-1.;21;;;
