0;*Существо появляется на экране. Его внешность совпадает с описанием, оставленным капитаном «Авроры». Действительно, выглядит слишком уж… по-человечески. Глаза, посверкивающие из под темного провала шляпы. Серый плащ, скрывающий тело. Это создание можно принять за человека. И оно ждет, пока ты что-то скажешь.*;
;Вы... вы меня понимаете?;1
1;*существо отвечает очень коротко, и его голос трудно назвать привычным для человеческого слуха* Это так.;
;Тогда от имени всей Земли и всего человечества вас приветствует первый из кораблей…;2
2;*хмыканье прерывает тебя* Не первый. Триста семьдесят четыре дня назад — ваших дней, земных — мы видели другой корабль. Почти такой же, как и у вас.;
;Что?! «Аврора»?!! Вы видели «Аврору»?!!;3
3;Да. «Аврора». Оно называлось «Аврора». Красивое название. «Аврора». «Аврора». Нам приятно его произносить.;
;А… где она!? Где «Аврора» сейчас?! Вы знаете? Вы можете ответить на этот вопрос?!;4
4;*существо говорит необычно, хотя и правильно строит фразы и не ошибается с ударениями* Нам жаль, но открыть это невозможно.;
;Почему?;5
5;Потому что «Аврора» идет по своему пути. Вы идете по своему.;
;Расскажите мне, где находится «Аврора»!! Где она?!! Я… я прошу вас! На нашей родной планете… нужен, необходим этот корабль! Он выполнял важную миссию!! Вся наша планета… буквально зависит от «Авроры»!!;6
6;Мы не можем рассказать вам. Вы следуете по своему пути. И, вполне возможно, еще встретите «Аврору».;
;Я прошу вежливо. Но могу потребовать силой.;7
;Хорошо. Свой путь. Мне кажется, вы употребляете это выражение не просто так. Что оно означает?;8
;Я соглашусь с вами и проследую своим путем. Вполне возможно, что вы правы. Но я не понимаю вас. Что значит «свой путь»?;9
7;*ни малейшей нотки злости в голосе* Вы… необычны. Экипаж того, прошлого, корабля тоже был необычным. Они тоже начали нам угрожать, но потом оказались способны нас понять.;
;А я не способен!! Ты по-прежнему отказываешься сообщить мне координаты «Авроры»?!;10
;Но поймите, множество людей умрут без данных, имеющихся у «Авроры». От нее очень многое зависит! Вы понимаете, как благодарна вам будет наша планета?!;11
10;Да. Вы правы.;
;В таком случае пеняй на себя!! ;-1
11;Не вступайте на чужой путь. Кроме того, ваша планета ничего не способна нам дать. Мы узнали это еще от «Авроры».;
;Я пытался!! Кто бы вы ни были, я вынужден вас атаковать!! Обстоятельства превыше меня! ;-1
;Мне тяжело это признавать, но хорошо, хорошо! Что за путь? О чем вы говорите?!;8
8;Путь. Мы считаем, что каждое существо идет по своему пути. Тот, кто видит пути других и свои пути, не должен вольно или невольно пересекать их. Мы — видим. Мы — не пересекаем.;
;Вы… Кто такие «вы»? Что за «вы»? Кто вы такие?;12
;Я не понял. Что вы хотите мне сказать? Что я должен сделать, чтобы найти «Аврору»?!;13
;Видим… Пересекаем… Вы хотите сказать, что можете видеть будущее?;14
12;Мы — садовники. Это самое близкое по смыслу слово в вашем языке. Все вокруг — сад. Он не наш, мы просто выращиваем растения. Только для того, чтобы наблюдать. По-иному этого не объяснить на вашем языке. Нам жаль.;
;Я не понял. Что вы хотите мне сказать? Что я должен сделать, чтобы найти «Аврору»?!;13
;Видим… Пересекаем… Вы хотите сказать, что можете видеть будущее?;14
13;Мы уже говорили — следовать своему пути. Умный и сильный найдет дорогу… или проложит ее.;
;Вы… Кто такие «вы»? Что за «вы»? Кто вы такие?;12
;Видим… Пересекаем… Вы хотите сказать, что можете видеть будущее?;14
14;Это не так. Мы не можем рассказать этого полностью, вы просто не поймете нас. Мы разные. Просто поверьте, одно растение не может стать другим. Точно так же легко можно увидеть, кто кем станет. Из яблочного семечка не вырастет слива. Бывают исключения, но они очень редки.;
;Я не понимаю. Вы хотите, чтобы мы следовали своим путем? Хорошо. Отлично. Вы правы. Но что это значит?;9
;Вы… Кто такие «вы»? Что за «вы»? Кто вы такие?;12
;Я не понял. Что вы хотите мне сказать? Что я должен сделать, чтобы найти «Аврору»?!;13
9;Ничего. У вас есть свой путь. Вы должны ему следовать. Мы не можем пересечь вашу дорогу с дорогой «Авроры», но можем поведать нечто иное.;
;«Следовать», говорите?! Хорошо, черт возьми. Тем лучше. Конец связи. ;-1
;Хорошо. Что вы хотите мне рассказать?;15
15;Мы знаем, что ваш народ уже вырос из своей колыбели, именно поэтому вы и находитесь здесь. Мы будем рады предоставить вам помощь. В меру своих сил, конечно.;
;А откуда… А, да. «Аврора»… Хорошо. Приятно такое участие со стороны внеземной цивилизации. Вы хотите нам помочь?;16
16;Мы поможем советом. Если ваша планета бедна ресурсами, вам стоит добывать их. Не бойтесь исчерпания — Вселенная бесконечна. И с каждой секундой она становится все бесконечнее, места в ней хватит всем.;
;Это просто замечательно. А что касается других… таких как вы? Существуют ли еще инопланетяне во Вселенной?;17
17;Конечно. Неужели вы не грезили о городах за небесами?;
;Как с ними связаться? Мы хотим заявить о себе.;18
18;А стоит ли?.. *Садовник задумался. Пауза длится достаточно долго.* Пожалуй. По другую сторону от ближайщей планеты находится космическая станция. Существа на ней специализируются в области общения и торговли. Они будут рады вам помочь.;
;И… И это все?;21
20;Пожалуй, ведь мы действительно многое вам рассказали.;
;Но мне показалось, что вы ДЕЙСТВИТЕЛЬНО хотите нам помочь.;21
21;Следуйте своему пути. Неужели наш разговор был совершенно напрасен?;
;Я все еще вас не понимаю. Но, думаю, наш диалог действительно нельзя назвать бесполезным. Конец связи.;-1
