0;Вы вернулись. Нам жаль, что мы не достигли плодотворности во время нашей предыдущей встречи. Ваша вина. Вы все еще против дельных наставлений?;
;Хорошо. Что вы хотите мне рассказать?;1
;Вы все еще не хотите поделиться координатами «Авроры»?;2
2;Нам нечего сказать. Выше наших сил. Не перекрещивайте пути!;
;В таком случае конец связи.;-1
1;Мы знаем, что ваш народ уже вырос из своей колыбели, именно поэтому вы и находитесь здесь. Мы будем рады предоставить вам помощь. В меру своих сил, конечно.;
;А откуда… А, да. «Аврора»… Хорошо. Приятно такое участие со стороны внеземной цивилизации. Вы хотите нам помочь?;3
3;Мы поможем советом. Если ваша планета бедна ресурсами, вам стоит добывать их. Не бойтесь исчерпания — Вселенная бесконечна. И с каждой секундой она становится все бесконечнее, места в ней хватит всем.;
;Это просто замечательно. А что касается других… таких как вы? Существуют ли еще инопланетяне во Вселенной?;4
4;Конечно. Неужели вы не грезили о городах за небесами?;
;Как с ними связаться? Мы хотим заявить о себе.;5
5;А стоит ли?.. *Садовник задумался. Пауза длится достаточно долго.* Пожалуй. По другую сторону от ближайщей планеты находится космическая станция. Существа на ней специализируются в области общения и торговли. Они будут рады вам помочь.;
;И… И это все?;6
6;Пожалуй, ведь мы действительно многое вам рассказали.;
;Но мне показалось, что вы ДЕЙСТВИТЕЛЬНО хотите нам помочь.;7
7;Следуйте своему пути. Неужели наш разговор был совершенно напрасен?;
;Я все еще вас не понимаю. Но, думаю, наш диалог действительно нельзя назвать бесполезным. Конец связи.;-1
